model,feature,importance_mean,importance_std,importance_mean_minus_std,used_in_retrain,run_date
AAPL_linreg,Adj Close,1.0018661382230876,0.3401568016305958,0.6617093365924918,1,2026-03-06
AAPL_linreg,High,0.5235188956677563,0.1719395945089973,0.351579301158759,1,2026-03-06
AAPL_linreg,Low,-0.061606477056044,0.042793170645158,-0.104399647701202,0,2026-03-06
AAPL_linreg,Open,0.6298251286915437,0.1546603040977056,0.4751648245938381,1,2026-03-06
AAPL_linreg,Volume,-0.0180217606440843,0.0204389663983917,-0.038460727042476,0,2026-03-06
AAPL_linreg,rsi,-0.0477911907081196,0.0657051525037298,-0.1134963432118494,0,2026-03-06
AAPL_linreg,sma_20,-0.035553413105274,0.0544816096531458,-0.0900350227584199,0,2026-03-06
AAPL_linreg,sma_50,-0.1217646701392462,0.0332543691734596,-0.1550190393127059,0,2026-03-06
AAPL_linreg,macd,0.564234106733377,0.1685840025491088,0.3956501041842682,1,2026-03-06
AAPL_linreg,macd_signal,0.0104307106243251,0.0048970663990473,0.0055336442252777,1,2026-03-06
AAPL_linreg,macd_diff,0.2465250597589756,0.0570200724406594,0.1895049873183162,1,2026-03-06
AAPL_linreg,bb_bbm,-0.0355532894926394,0.0544818847588495,-0.090035174251489,0,2026-03-06
AAPL_linreg,bb_bbh,-0.060161717383189,0.0380467576561586,-0.0982084750393476,0,2026-03-06
AAPL_linreg,bb_bbl,0.0038219102818553,0.0049382591259974,-0.0011163488441421,1,2026-03-06
AAPL_linreg,bb_width,1.1529859250458684e-06,1.1059219483369329e-05,-9.90623355832346e-06,1,2026-03-06
AAPL_linreg,stoch,0.5343186293900404,0.1107278684201424,0.4235907609698979,1,2026-03-06
AAPL_linreg,stoch_signal,0.174762418577723,0.2371886344575933,-0.0624262158798702,1,2026-03-06
AAPL_linreg,atr,-0.1358016392404126,0.0172018207725228,-0.1530034600129354,0,2026-03-06
AAPL_linreg,obv,0.092446396204644,0.027387179041577,0.065059217163067,1,2026-03-06
AAPL_linreg,log_return,1.4771485902542736e-05,2.778839642896112e-05,-1.3016910526418386e-05,1,2026-03-06
AAPL_linreg,simple_return,2.0229417872208443e-05,3.8576765164743535e-05,-1.834734729253509e-05,1,2026-03-06
AAPL_linreg,volatility_5,-9.682666220900416e-05,2.4830093764815995e-05,-0.0001216567559738,0,2026-03-06
AAPL_linreg,volatility_10,-1.5230337684002392e-05,4.875238917873576e-06,-2.010557660187597e-05,0,2026-03-06
AAPL_linreg,close_lag_1,0.2027925142890533,0.1493499421835457,0.0534425721055075,1,2026-03-06
AAPL_linreg,close_lag_7,0.0019334764757759,0.0369938825194935,-0.0350604060437175,1,2026-03-06
AAPL_linreg,close_lag_14,0.1637743003598133,0.085150126561307,0.0786241737985063,1,2026-03-06
AAPL_linreg,sma_13,-3.8270720575184215e-05,0.0005261212664633,-0.0005643919870385,0,2026-03-06
AAPL_linreg,sma_26,0.0155847186508415,0.0056297937602618,0.0099549248905796,1,2026-03-06
AAPL_linreg,ma_5,-0.0042768400195132,0.0011501970298872,-0.0054270370494005,0,2026-03-06
AAPL_linreg,min_5,0.8674474646590534,0.133567302855374,0.7338801618036794,1,2026-03-06
AAPL_linreg,q25_5,-0.0661219496060807,0.0257554299802621,-0.0918773795863429,0,2026-03-06
AAPL_linreg,median_5,0.3269606302951366,0.0502635029737284,0.2766971273214083,1,2026-03-06
AAPL_linreg,q75_5,1.3223367829673511,0.6210194466252293,0.7013173363421218,1,2026-03-06
AAPL_linreg,max_5,1.8380303136914355,0.4696484166806318,1.3683818970108037,1,2026-03-06
AAPL_linreg,std_5,0.2109304089278669,0.0555827753519863,0.1553476335758806,1,2026-03-06
AAPL_linreg,ema_5,2.4874711064073085,0.4761223068780313,2.0113487995292774,1,2026-03-06
AAPL_linreg,norm_band_5,0.0345965210571833,0.0210629260399556,0.0135335950172277,1,2026-03-06
AAPL_linreg,skew_5,0.0211568890930244,0.1436731160401196,-0.1225162269470951,1,2026-03-06
AAPL_linreg,kurt_5,0.0099589442094002,0.0079215149081408,0.0020374293012594,1,2026-03-06
AAPL_linreg,ma_10,0.5607509469081904,0.2571241334996765,0.3036268134085139,1,2026-03-06
AAPL_linreg,min_10,0.1560118891887459,0.0392235274258693,0.1167883617628765,1,2026-03-06
AAPL_linreg,q25_10,0.0421567320753082,0.0412077813863862,0.000948950688922,1,2026-03-06
AAPL_linreg,median_10,0.5889349287301433,0.2090258138331688,0.3799091148969745,1,2026-03-06
AAPL_linreg,q75_10,0.9516062516840194,0.1360344991667707,0.8155717525172487,1,2026-03-06
AAPL_linreg,max_10,-0.044364090925279,0.0811028422140358,-0.1254669331393149,0,2026-03-06
AAPL_linreg,std_10,0.057930862207646,0.0227339162743878,0.0351969459332582,1,2026-03-06
AAPL_linreg,ema_10,-0.0676769731614427,0.037921360513958,-0.1055983336754008,0,2026-03-06
AAPL_linreg,norm_band_10,-0.0487750120314625,0.0128344340735268,-0.0616094461049894,0,2026-03-06
AAPL_linreg,skew_10,-0.002514126712678,0.0238973677096937,-0.0264114944223717,0,2026-03-06
AAPL_linreg,kurt_10,-0.0299681848455632,0.0073953140176998,-0.0373634988632631,0,2026-03-06
AAPL_linreg,ma_20,-0.0355534437809209,0.0544815413830593,-0.0900349851639802,0,2026-03-06
AAPL_linreg,min_20,0.013293088335442,0.0134345423452958,-0.0001414540098537,1,2026-03-06
AAPL_linreg,q25_20,0.0029462167130001,0.0534690185628851,-0.050522801849885,1,2026-03-06
AAPL_linreg,median_20,0.2960381052918338,0.1259315163759218,0.1701065889159119,1,2026-03-06
AAPL_linreg,q75_20,0.2735481370200568,0.052135155415906,0.2214129816041508,1,2026-03-06
AAPL_linreg,max_20,-0.0423941389865987,0.0394597775808407,-0.0818539165674394,0,2026-03-06
AAPL_linreg,std_20,0.0003449823596406,0.0136906828344751,-0.0133457004748344,1,2026-03-06
AAPL_linreg,ema_20,0.2930589755775944,0.1994596959885761,0.0935992795890182,1,2026-03-06
AAPL_linreg,norm_band_20,0.6847623666036521,0.2152961823567232,0.4694661842469288,1,2026-03-06
AAPL_linreg,skew_20,-0.0082264159530176,0.0050668070881595,-0.0132932230411771,0,2026-03-06
AAPL_linreg,kurt_20,-0.1209296281259476,0.0290880338168233,-0.150017661942771,0,2026-03-06
AAPL_linreg,ma_50,-0.1217646704834873,0.033254369571236,-0.1550190400547234,0,2026-03-06
AAPL_linreg,min_50,0.1371061832468932,0.0451142190468889,0.0919919642000042,1,2026-03-06
AAPL_linreg,q25_50,0.080169121570613,0.0141515447231246,0.0660175768474884,1,2026-03-06
AAPL_linreg,median_50,-0.1779222056743398,0.1453930589268996,-0.3233152646012394,0,2026-03-06
AAPL_linreg,q75_50,0.0036702842080813,0.0033026458039741,0.0003676384041072,1,2026-03-06
AAPL_linreg,max_50,-0.0229432112638431,0.0201343076371551,-0.0430775189009982,0,2026-03-06
AAPL_linreg,std_50,-0.0408865630665129,0.0198651556114786,-0.0607517186779916,0,2026-03-06
AAPL_linreg,ema_50,0.7182721071274397,0.2451797583545812,0.4730923487728585,1,2026-03-06
AAPL_linreg,norm_band_50,-0.085251562305852,0.0171454078600354,-0.1023969701658875,0,2026-03-06
AAPL_linreg,std_ratio_5_20,-0.0505668640701387,0.0066463321160598,-0.0572131961861985,0,2026-03-06
AAPL_linreg,Close_up,0.0068327116387136,0.0091102821849532,-0.0022775705462395,1,2026-03-06
AAPL_linreg,median_5_up,0.1688489189378613,0.0290286287241391,0.1398202902137221,1,2026-03-06
AAPL_linreg,median_10_up,-0.0626091107877659,0.0234043826464178,-0.0860134934341837,0,2026-03-06
AAPL_linreg,median_20_up,-0.0114293093774305,0.0039994251553017,-0.0154287345327323,0,2026-03-06
AAPL_linreg,median_50_up,0.0047144799603092,0.0062859732804124,-0.0015714933201031,1,2026-03-06
AAPL_linreg,entropy_20,-0.0004824931874217,0.0002732701190041,-0.0007557633064259,0,2026-03-06
AAPL_linreg,dow,0.0378517287843594,0.0278488385392136,0.0100028902451458,1,2026-03-06
AAPL_linreg,dom,-0.0504574129851496,0.0383140503894943,-0.0887714633746439,0,2026-03-06
AAPL_linreg,month,0.1248083428103919,0.0418157960307216,0.0829925467796703,1,2026-03-06
AAPL_linreg,sin_week,0.0281778554992516,0.0470196654818146,-0.0188418099825629,1,2026-03-06
AAPL_linreg,cos_week,-0.0010527046381612,0.0004629486306447,-0.001515653268806,0,2026-03-06
AAPL_linreg,sin_month,-0.0244128278047762,0.0120935788783924,-0.0365064066831686,0,2026-03-06
AAPL_linreg,cos_month,0.1602097522223168,0.0435907756522338,0.116618976570083,1,2026-03-06
AAPL_linreg,sin_quarter,0.2289325920455665,0.0921602488603031,0.1367723431852633,1,2026-03-06
AAPL_linreg,cos_quarter,0.0969777110500769,0.0186468560490281,0.0783308550010488,1,2026-03-06
AAPL_linreg,sin_year,-0.0568993221907751,0.0117906750829306,-0.0686899972737057,0,2026-03-06
AAPL_linreg,cos_year,0.0140130114174434,0.0051309895720915,0.0088820218453519,1,2026-03-06
AAPL_linreg,is_month_end,0.0,0.0,0.0,0,2026-03-06
AAPL_linreg,is_holiday,0.0,0.0,0.0,0,2026-03-06
AAPL_linreg,next_is_holiday,-0.0123746333794212,0.0105015903696385,-0.0228762237490598,0,2026-03-06
AAPL_linreg,prev_is_holiday,-0.0065305049633826,0.0126504908869943,-0.019180995850377,0,2026-03-06
AAPL_linreg,is_election_day,0.0,0.0,0.0,0,2026-03-06
AAPL_linreg,next_is_election_day,0.0,0.0,0.0,0,2026-03-06
AAPL_linreg,trend_line_30,0.8995737287690257,0.2082249923267893,0.6913487364422365,1,2026-03-06
AAPL_linreg,trend_line_60,0.0909438318315901,0.1013491271255526,-0.0104052952939625,1,2026-03-06
AAPL_linreg,trend_line_90,0.0508988943354639,0.1006504249604972,-0.0497515306250333,1,2026-03-06
AAPL_linreg,stl_trend_30,0.0984231414336157,0.1038905314819939,-0.0054673900483781,1,2026-03-06
AAPL_linreg,stl_seasonal_30,0.1215285135455239,0.054811202421857,0.0667173111236669,1,2026-03-06
AAPL_linreg,stl_resid_30,0.0064846619475375,0.0109706604882695,-0.004485998540732,1,2026-03-06
AAPL_linreg,stl_trend_60,2.427922299818511,0.5951088045027157,1.8328134953157955,1,2026-03-06
AAPL_linreg,stl_seasonal_60,0.7478115784178978,0.2254947810902057,0.5223167973276921,1,2026-03-06
AAPL_linreg,stl_resid_60,0.8052133647697387,0.2440198401326371,0.5611935246371016,1,2026-03-06
AAPL_linreg,stl_trend_90,3.1372692040474366,0.8850356134627398,2.2522335905846966,1,2026-03-06
AAPL_linreg,stl_seasonal_90,-0.0036548931193408,0.0042337282896084,-0.0078886214089492,0,2026-03-06
AAPL_linreg,stl_resid_90,-0.03798575895847,0.0264739009944316,-0.0644596599529016,0,2026-03-06
AAPL_linreg,delta,0.3784059116228606,0.191315742921495,0.1870901687013656,1,2026-03-06
AAPL_rf,Adj Close,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,High,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,Low,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,Open,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,Volume,-0.0087015341980984,0.0023437117139232,-0.0110452459120217,0,2026-03-06
AAPL_rf,rsi,0.0145406861083508,0.0084468780479584,0.0060938080603924,1,2026-03-06
AAPL_rf,sma_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,sma_50,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,macd,-0.0011746170590466,0.002152894013949,-0.0033275110729957,0,2026-03-06
AAPL_rf,macd_signal,-0.0050308250105838,0.0090844431984427,-0.0141152682090265,0,2026-03-06
AAPL_rf,macd_diff,0.008340973185852,0.005158629633221,0.0031823435526309,1,2026-03-06
AAPL_rf,bb_bbm,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,bb_bbh,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,bb_bbl,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,bb_width,-0.0012164678538368,0.0045402512162856,-0.0057567190701224,0,2026-03-06
AAPL_rf,stoch,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,stoch_signal,0.0105846734258079,0.0072504391249995,0.0033342343008084,1,2026-03-06
AAPL_rf,atr,0.0041969214938852,0.0027235252202598,0.0014733962736254,1,2026-03-06
AAPL_rf,obv,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,log_return,0.0064910424838426,0.0061171794270231,0.0003738630568194,1,2026-03-06
AAPL_rf,simple_return,0.0137627755016843,0.0069666990953063,0.006796076406378,1,2026-03-06
AAPL_rf,volatility_5,0.0001141553615856,0.0055936369735194,-0.0054794816119338,1,2026-03-06
AAPL_rf,volatility_10,-0.0007229122650501,0.002150253809225,-0.0028731660742751,0,2026-03-06
AAPL_rf,close_lag_1,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,close_lag_7,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,close_lag_14,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,sma_13,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,sma_26,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,ma_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,min_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q25_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,median_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q75_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,max_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,std_5,-0.0066545447007434,0.0027503970192213,-0.0094049417199647,0,2026-03-06
AAPL_rf,ema_5,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,norm_band_5,0.0176396641731296,0.013480639341303,0.0041590248318266,1,2026-03-06
AAPL_rf,skew_5,0.0927757467814297,0.0332755264623184,0.0595002203191112,1,2026-03-06
AAPL_rf,kurt_5,0.0014154130075488,0.0057066849717121,-0.0042912719641632,1,2026-03-06
AAPL_rf,ma_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,min_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q25_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,median_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q75_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,max_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,std_10,-8.070524127763434e-05,0.0010875768658666,-0.0011682821071442,0,2026-03-06
AAPL_rf,ema_10,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,norm_band_10,-0.0016438062420703,0.0081324936656339,-0.0097762999077042,0,2026-03-06
AAPL_rf,skew_10,0.0016299284622127,0.0152277277362458,-0.0135977992740331,1,2026-03-06
AAPL_rf,kurt_10,0.0011220772161742,0.0022729764504333,-0.001150899234259,1,2026-03-06
AAPL_rf,ma_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,min_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q25_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,median_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,q75_20,0.0,0.0,0.0,0,2026-03-06
AAPL_rf,max_20,0.0,0.0,0.0,0,2026-03-06
