model,residual
lgbm,1.2321630185656431
xgb,2.387798011302948
Top3Ensamble,1.8099805149342956
rf,8.46694734748084
lgbm,5.1494937224055946
arima,7.6036153469193835
Top3Ensamble,7.073352138935263
xgb,3.1812798976898193
rf,5.5221442026558805
Top3Ensamble,4.351712050172864
rf,87.06967510660684
xgb,89.83162784576416
arima,77.20553868153479
Top3Ensamble,84.70228054463519
xgb,0.1580040454864502
lgbm,-0.30949913685526553
arima,2.7683257952512577
Top3Ensamble,0.8722769012941285
rf,1.982421279214691
linreg,0.9785966212235735
Top3Ensamble,1.4805089502191322
arima,26.221173437955372
lgbm,25.092432504088947
Top3Ensamble,25.656802971022216
lgbm,-10.217170268946802
rf,-14.345400821139265
xgb,-8.238039970398063
Top3Ensamble,-10.933537020161225
arima,-1.0709845120791783
lgbm,2.045811289055223
xgb,4.81169939041132
Top3Ensamble,1.9288420557957693
lgbm,6.416695144179016
xgb,4.577234745025635
rf,3.058473691126437
Top3Ensamble,4.684134526777029
lgbm,0.05905871148175379
arima,-0.535421153481991
xgb,0.4325982332229046
Top3Ensamble,-0.014588069592406328
rf,3.5846845636068565
lgbm,1.6854860650767591
Top3Ensamble,2.635085314341893
rf,-7.001278090570736
lgbm,-6.295740436794972
arima,-4.6614563303495515
Top3Ensamble,-5.986158285905162
lgbm,-20.33736275867068
arima,-16.92026264778906
Top3Ensamble,-18.62881270322987
lgbm,6.1882763462017465
xgb,1.965190827846527
arima,1.867770148126283
Top3Ensamble,3.34041244072489
arima,-0.6915285626461127
lgbm,-2.96487640697336
rf,-1.495941296034971
Top3Ensamble,-1.7174487552180722
rf,15.648744093515461
lgbm,16.69577219048756
Top3Ensamble,16.17225814200151
arima,0.40388464065449625
lgbm,0.2729495698454514
linreg,-1.9764427421009998
Top3Ensamble,-0.4332028438670221
rf,13.083653728383581
lgbm,5.23865407742818
arima,1.8869415356879813
Top3Ensamble,6.736416447166675
xgb,-0.3271356225013875
lgbm,-0.6212509498767105
arima,0.14959526015032054
Top3Ensamble,-0.266263770742583
lgbm,3.982493329182063
xgb,3.2677583694457724
Top3Ensamble,3.625125849313946
rf,2.124685001450274
arima,1.9309496921995617
Top3Ensamble,2.027817346824918
rf,1.0257084240296308
arima,0.3109864636611235
Top3Ensamble,0.6683474438453914
xgb,-3.8015795946121216
rf,-2.694187616534691
arima,-4.172232430260465
Top3Ensamble,-3.555999880469102
lgbm,4.290927703722957
rf,8.109833995310396
arima,10.166915364345698
Top3Ensamble,7.522559021126369
lgbm,13.109164098233975
rf,15.517420608902512
arima,14.817973556374113
Top3Ensamble,14.481519421170162
xgb,2.8525856137275696
lgbm,4.050867454876197
Top3Ensamble,3.4517265343018835
lgbm,6.075620074961364
arima,2.262244724977222
Top3Ensamble,4.1689323999693215
arima,-0.3671366342188378
rf,-0.350838660806005
Top3Ensamble,-0.3589876475124214
lgbm,-1.9175893502098518
arima,-0.43321168676496313
Top3Ensamble,-1.1754005184874075
rf,-3.300736340991527
lgbm,-3.338140877661182
Top3Ensamble,-3.3194386093263546
xgb,-0.773782457690686
rf,-0.7209527720205458
arima,-0.7444151415140716
Top3Ensamble,-0.7463834570750976
rf,-0.6816656767422131
xgb,-0.6336580463685095
Top3Ensamble,-0.6576618615553542
rf,-19.498594737739154
lgbm,-7.071504709590812
Top3Ensamble,-13.285049723664997
rf,-12.831279296717696
arima,-3.1724653679079893
lgbm,-2.7954665388438116
Top3Ensamble,-6.266403734489927
rf,0.1425929391570122
xgb,0.12267599254847994
linreg,-0.12824942051337018
Top3Ensamble,0.045673170397378726
rf,-8.19657398598713
lgbm,-10.432039808124273
Top3Ensamble,-9.314306897055758
lgbm,-2.962225390284516
rf,0.7590683849662128
Top3Ensamble,-1.1015785026590947
rf,-0.08593511682290966
arima,-0.13427247013179056
Top3Ensamble,-0.11010379347735011
rf,-1.0567169873154185
lgbm,-0.8428467194253884
arima,-1.0079706974319862
Top3Ensamble,-0.9691781347242667
rf,0.7355721763827461
lgbm,0.7339094988218307
Top3Ensamble,0.7347408376022955
xgb,0.8725074641406536
rf,0.8825262971553087
arima,0.8855840192525264
Top3Ensamble,0.8802059268494986
rf,2.925153160218649
xgb,3.158709391951561
Top3Ensamble,3.0419312760851085
rf,3.338311991493441
lgbm,2.427093263968942
Top3Ensamble,2.8827026277312484
rf,21.678177117740915
arima,22.347493128185818
lgbm,23.335849569366246
Top3Ensamble,22.453839938430974
rf,0.056581450942871925
xgb,0.021099530160441304
linreg,-0.28284707625307703
Top3Ensamble,-0.06838869838328776
rf,7.2502367437194835
lgbm,5.469616253579488
Top3Ensamble,6.359926498649429
lgbm,3.902115186643414
rf,4.272044242381412
Top3Ensamble,4.087079714512356
rf,0.42865917376266793
arima,0.4957324126806668
Top3Ensamble,0.4621957932216674
rf,0.3092167561449628
lgbm,0.4953880424645263
arima,0.3520299129195905
Top3Ensamble,0.3855449038430194
rf,0.8443142726366801
lgbm,0.8548414612987187
Top3Ensamble,0.8495778669676994
xgb,0.41555487364530563
rf,0.37202603902733244
arima,0.5355836377827998
