feature,importance_mean
Adj Close,4.58921634601799
ema_5,2.3108881384693443
ema_20,2.077676684578544
sma_13,1.901859923579155
sma_26,1.5545350304550216
close_lag_1,1.540714323913524
stl_trend_60,1.4241000108989894
ma_10,1.2243449696913902
ema_10,1.0795025530912028
q75_50,1.0320057711738264
