model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
EEM_linreg,train,0.3233,0.2202,0.4692,0.0076,0.9247,0.9247,2025-07-02T05:51:26.895741+00:00
EEM_linreg,test,0.3253,0.1889,0.4347,0.0068,-6.611,-2.6636,2025-07-02T05:51:26.895741+00:00
EEM_rf,train,0.2998,0.1787,0.4227,0.007,0.9389,0.9389,2025-07-02T05:51:26.895741+00:00
EEM_rf,test,1.966,3.8901,1.9723,0.0408,-155.7154,0.0,2025-07-02T05:51:26.895741+00:00
EEM_xgb,train,0.1732,0.0511,0.226,0.0041,0.9825,0.9825,2025-07-02T05:51:26.895741+00:00
EEM_xgb,test,1.6375,2.7123,1.6469,0.034,-108.2696,-0.2473,2025-07-02T05:51:26.895741+00:00
EEM_lgbm,train,0.2212,0.094,0.3066,0.0052,0.9679,0.9679,2025-07-02T05:51:26.895741+00:00
EEM_lgbm,test,2.0549,4.2508,2.0617,0.0427,-170.2478,-0.1437,2025-07-02T05:51:26.895741+00:00
EEM_arima,train,0.355,0.2511,0.5011,0.0083,0.9142,0.9142,2025-07-02T05:51:26.895741+00:00
EEM_arima,test,1.4672,2.3602,1.5363,0.0305,-94.0832,-7.3634,2025-07-02T05:51:26.895741+00:00
GLD_linreg,train,2.2817,11.2511,3.3543,0.0088,0.9875,0.9875,2025-07-02T05:51:26.895741+00:00
GLD_linreg,test,2.1118,7.2007,2.6834,0.0069,-0.5637,-0.103,2025-07-02T05:51:26.895741+00:00
GLD_rf,train,2.5761,11.0663,3.3266,0.0101,0.9877,0.9877,2025-07-02T05:51:26.895741+00:00
GLD_rf,test,1.9397,7.6753,2.7704,0.0064,-0.6668,-0.1794,2025-07-02T05:51:26.895741+00:00
GLD_xgb,train,1.6272,5.4655,2.3378,0.0064,0.9939,0.9939,2025-07-02T05:51:26.895741+00:00
GLD_xgb,test,2.4805,10.0527,3.1706,0.0082,-1.1831,-0.5999,2025-07-02T05:51:26.895741+00:00
GLD_lgbm,train,2.113,8.751,2.9582,0.0081,0.9903,0.9903,2025-07-02T05:51:26.895741+00:00
GLD_lgbm,test,2.0349,8.7336,2.9553,0.0067,-0.8966,-0.0311,2025-07-02T05:51:26.895741+00:00
GLD_lstm,train,260.5025,68808.7083,262.3141,1.0244,-75.5634,-0.0539,2025-07-02T05:51:26.895741+00:00
GLD_lstm,test,313.2487,98129.3911,313.2561,1.025,-21308.8552,-0.0034,2025-07-02T05:51:26.895741+00:00
GLD_arima,train,2.4059,15.8903,3.9863,0.0094,0.9823,0.9823,2025-07-02T05:51:26.895741+00:00
GLD_arima,test,6.3459,47.5748,6.8974,0.0208,-9.3314,-0.5861,2025-07-02T05:51:26.895741+00:00
IEF_linreg,train,0.2944,0.1567,0.3959,0.0032,0.951,0.951,2025-07-02T05:51:26.895741+00:00
IEF_linreg,test,0.1927,0.0458,0.214,0.002,-0.3145,-0.2815,2025-07-02T05:51:26.895741+00:00
IEF_rf,train,0.2818,0.1317,0.3629,0.003,0.9588,0.9588,2025-07-02T05:51:26.895741+00:00
IEF_rf,test,0.3468,0.143,0.3782,0.0036,-3.1059,0.3455,2025-07-02T05:51:26.895741+00:00
IEF_xgb,train,0.1928,0.0644,0.2538,0.0021,0.9799,0.9799,2025-07-02T05:51:26.895741+00:00
IEF_xgb,test,0.4527,0.2299,0.4794,0.0048,-5.598,0.2841,2025-07-02T05:51:26.895741+00:00
IEF_lgbm,train,0.2395,0.1021,0.3195,0.0026,0.9681,0.9681,2025-07-02T05:51:26.895741+00:00
IEF_lgbm,test,0.4219,0.221,0.4701,0.0044,-5.3445,-0.2347,2025-07-02T05:51:26.895741+00:00
IEF_arima,train,0.3162,0.1865,0.4319,0.0034,0.9417,0.9417,2025-07-02T05:51:26.895741+00:00
IEF_arima,test,1.094,1.2887,1.1352,0.0115,-35.9907,-1.6341,2025-07-02T05:51:26.895741+00:00
QQQ_linreg,train,5.1854,48.9088,6.9935,0.0108,0.9352,0.9352,2025-07-02T05:51:26.895741+00:00
QQQ_linreg,test,2.219,10.6164,3.2583,0.0041,0.3538,0.4134,2025-07-02T05:51:26.895741+00:00
QQQ_rf,train,4.8685,39.3747,6.2749,0.0101,0.9478,0.9478,2025-07-02T05:51:26.895741+00:00
QQQ_rf,test,16.2753,281.3154,16.7725,0.0298,-16.1236,0.0,2025-07-02T05:51:26.895741+00:00
QQQ_xgb,train,3.1035,16.1566,4.0195,0.0064,0.9786,0.9786,2025-07-02T05:51:26.895741+00:00
QQQ_xgb,test,18.2037,356.0653,18.8697,0.0333,-20.6736,-0.5029,2025-07-02T05:51:26.895741+00:00
QQQ_lgbm,train,3.8597,27.6514,5.2585,0.008,0.9633,0.9633,2025-07-02T05:51:26.895741+00:00
