ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.41,1.9881,1.41,0.0045,,1.0
AMD,_NaiveModel,after_hours,1,7.23,52.2731,7.23,0.0148,,1.0
AMZN,_NaiveModel,after_hours,1,0.39,0.1521,0.39,0.0014,,1.0
ASML,_NaiveModel,after_hours,1,26.15,683.8238,26.15,0.0153,,1.0
AVGO,_NaiveModel,after_hours,1,2.29,5.2441,2.29,0.0054,,1.0
BRK-B,_NaiveModel,after_hours,1,5.76,33.1777,5.76,0.011,,1.0
CAT,_NaiveModel,after_hours,1,14.12,199.3743,14.12,0.0165,,1.0
COST,_NaiveModel,after_hours,1,7.16,51.2661,7.16,0.0075,,1.0
CRM,_NaiveModel,after_hours,1,6.21,38.564,6.21,0.0332,,1.0
GOOGL,_NaiveModel,after_hours,1,4.68,21.9023,4.68,0.0131,,1.0
JNJ,_NaiveModel,after_hours,1,0.61,0.3721,0.61,0.0024,,1.0
JPM,_NaiveModel,after_hours,1,2.94,8.6436,2.94,0.0083,,1.0
LLY,_NaiveModel,after_hours,1,22.08,487.5245,22.08,0.0185,,1.0
LMT,_NaiveModel,after_hours,1,5.25,27.5625,5.25,0.009,,1.0
MA,_NaiveModel,after_hours,1,5.47,29.9212,5.47,0.0095,,1.0
MCD,_NaiveModel,after_hours,1,2.26,5.1076,2.26,0.0082,,1.0
META,_NaiveModel,after_hours,1,1.13,1.2769,1.13,0.0019,,1.0
MRK,_NaiveModel,after_hours,1,0.04,0.0016,0.04,0.0003,,1.0
MSFT,_NaiveModel,after_hours,1,12.4,153.7598,12.4,0.0248,,1.0
NEE,_NaiveModel,after_hours,1,1.31,1.7161,1.31,0.0155,,1.0
NVDA,_NaiveModel,after_hours,1,0.23,0.0529,0.23,0.0011,,1.0
ORCL,_NaiveModel,after_hours,1,0.92,0.8464,0.92,0.0064,,1.0
PG,_NaiveModel,after_hours,1,0.17,0.0289,0.17,0.0012,,1.0
PLTR,_NaiveModel,after_hours,1,2.51,6.3001,2.51,0.0161,,1.0
TSLA,_NaiveModel,after_hours,1,2.02,4.0804,2.02,0.0063,,1.0
TSM,_NaiveModel,after_hours,1,4.2,17.6401,4.2,0.01,,1.0
UNH,_NaiveModel,after_hours,1,8.78,77.0884,8.78,0.0217,,1.0
V,_NaiveModel,after_hours,1,1.93,3.7249,1.93,0.0052,,1.0
WMT,_NaiveModel,after_hours,1,0.27,0.0729,0.27,0.0024,,1.0
XOM,_NaiveModel,after_hours,1,3.21,10.304,3.21,0.0207,,1.0
