ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,4.07,16.565,4.07,0.0136,,1.0
AMD,_NaiveModel,no_event_day,1,2.79,7.7841,2.79,0.0063,,1.0
AMZN,_NaiveModel,no_event_day,1,4.31,18.5761,4.31,0.016,,1.0
ASML,_NaiveModel,no_event_day,1,60.64,3677.2114,60.64,0.0383,,1.0
AVGO,_NaiveModel,no_event_day,1,2.51,6.3,2.51,0.006,,1.0
BRK-B,_NaiveModel,no_event_day,1,0.56,0.3136,0.56,0.0012,,1.0
CAT,_NaiveModel,no_event_day,1,9.84,96.8261,9.84,0.0109,,1.0
COST,_NaiveModel,no_event_day,1,11.2,125.4389,11.2,0.0108,,1.0
CRM,_NaiveModel,no_event_day,1,5.47,29.9209,5.47,0.033,,1.0
GOOGL,_NaiveModel,no_event_day,1,15.27,233.1726,15.27,0.0379,,1.0
JNJ,_NaiveModel,no_event_day,1,6.16,37.9456,6.16,0.0267,,1.0
JPM,_NaiveModel,no_event_day,1,4.63,21.4369,4.63,0.0154,,1.0
LLY,_NaiveModel,no_event_day,1,25.88,669.7747,25.88,0.0255,,1.0
LMT,_NaiveModel,no_event_day,1,1.06,1.1236,1.06,0.002,,1.0
MA,_NaiveModel,no_event_day,1,9.17,84.0886,9.17,0.0187,,1.0
MCD,_NaiveModel,no_event_day,1,0.86,0.7396,0.86,0.0031,,1.0
META,_NaiveModel,no_event_day,1,13.63,185.777,13.63,0.0221,,1.0
MRK,_NaiveModel,no_event_day,1,1.08,1.1664,1.08,0.0095,,1.0
MSFT,_NaiveModel,no_event_day,1,2.56,6.5536,2.56,0.0063,,1.0
NEE,_NaiveModel,no_event_day,1,0.26,0.0676,0.26,0.0027,,1.0
NVDA,_NaiveModel,no_event_day,1,5.05,25.5025,5.05,0.0224,,1.0
ORCL,_NaiveModel,no_event_day,1,2.93,8.5849,2.93,0.0154,,1.0
PG,_NaiveModel,no_event_day,1,1.67,2.7889,1.67,0.0117,,1.0
PLTR,_NaiveModel,no_event_day,1,5.95,35.4025,5.95,0.0458,,1.0
TSLA,_NaiveModel,no_event_day,1,11.82,139.7119,11.82,0.0265,,1.0
TSM,_NaiveModel,no_event_day,1,2.52,6.3503,2.52,0.0063,,1.0
UNH,_NaiveModel,no_event_day,1,4.77,22.7528,4.77,0.0119,,1.0
V,_NaiveModel,no_event_day,1,6.11,37.3323,6.11,0.0191,,1.0
WMT,_NaiveModel,no_event_day,1,1.12,1.2544,1.12,0.0085,,1.0
XOM,_NaiveModel,no_event_day,1,0.94,0.8836,0.94,0.0062,,1.0
