ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
EEM,xgb,58.73967617750167,59.27999877929688,-0.3603222966194153,0.18000030517579546,-0.006096824127283091,0.0030456905215423082,False,2026-02-02,0.5403,0.2919,0.5403,0.0091,,1.0
EEM,rf,59.76973289406006,59.27999877929688,0.6697344199389761,0.18000030517579546,0.011332223980212821,0.0030456905215423082,True,2026-02-02,0.4897,0.2398,0.4897,0.0083,,1.0
EEM,Top3Ensamble,59.25470453578087,59.27999877929688,0.1547060616597804,0.18000030517579546,0.002617699926464865,0.0030456905215423082,True,2026-02-02,0.0253,0.0006,0.0253,0.0004,,1.0
GLD,rf,446.1535539494362,427.1300048828125,1.203541742404866,-17.820007324218807,0.0027048920314331143,-0.04004945911975234,False,2026-02-02,19.0235,361.8954,19.0235,0.0445,,1.0
GLD,lgbm,446.427457184959,427.1300048828125,1.4774449779276893,-17.820007324218807,0.003320474069883264,-0.04004945911975234,False,2026-02-02,19.2975,372.3917,19.2975,0.0452,,1.0
GLD,arima,445.4375199836546,427.1300048828125,0.48750777662331757,-17.820007324218807,0.0010956461697915058,-0.04004945911975234,False,2026-02-02,18.3075,335.1651,18.3075,0.0429,,1.0
GLD,Top3Ensamble,446.00617703935,427.1300048828125,1.0561648323187,-17.820007324218807,0.0023736707570361317,-0.04004945911975234,False,2026-02-02,18.8762,356.3099,18.8762,0.0442,,1.0
IEF,xgb,95.62434619665144,95.44000244140624,-0.31565624475479126,-0.5,-0.0032901421380260344,-0.00521159044482375,True,2026-02-02,0.1843,0.034,0.1843,0.0019,,1.0
IEF,linreg,95.56726087278992,95.44000244140624,-0.3727415686163198,-0.5,-0.003885152794778857,-0.00521159044482375,True,2026-02-02,0.1273,0.0162,0.1273,0.0013,,1.0
IEF,rf,95.97715772877044,95.44000244140624,0.03715528736420026,-0.5,0.00038727628120389343,-0.00521159044482375,False,2026-02-02,0.5372,0.2885,0.5372,0.0056,,1.0
IEF,Top3Ensamble,95.72292159940392,95.44000244140624,-0.2170808420023178,-0.5,-0.0022626728838671473,-0.00521159044482375,True,2026-02-02,0.2829,0.08,0.2829,0.003,,1.0
QQQ,rf,620.75416960535,626.1400146484375,-1.1158255118375564,4.27001953125,-0.0017943067210169645,0.006866418326623624,False,2026-02-02,5.3858,29.0073,5.3858,0.0086,,1.0
QQQ,lgbm,624.2898459111645,626.1400146484375,2.419850793977048,4.27001953125,0.0038912486741236683,0.006866418326623624,True,2026-02-02,1.8502,3.4231,1.8502,0.003,,1.0
QQQ,Top3Ensamble,622.5220077582572,626.1400146484375,0.6520126410697458,4.27001953125,0.001048470976553352,0.006866418326623624,True,2026-02-02,3.618,13.09,3.618,0.0058,,1.0
SPY,rf,690.645247562144,695.4099731445312,-1.3247231409809501,3.44000244140625,-0.0019144228753667902,0.00497131752395381,False,2026-02-02,4.7647,22.7026,4.7647,0.0069,,1.0
SPY,lgbm,692.0517567509335,695.4099731445312,0.08178604780846399,3.44000244140625,0.00011819305933949633,0.00497131752395381,True,2026-02-02,3.3582,11.2776,3.3582,0.0048,,1.0
SPY,Top3Ensamble,691.3485021565388,695.4099731445312,-0.6214685465862431,3.44000244140625,-0.0008981149080136469,0.00497131752395381,False,2026-02-02,4.0615,16.4955,4.0615,0.0058,,1.0
VNQ,rf,90.97055015706476,89.86000061035156,0.17054710530696582,-0.9400024414062358,0.0018782720217503802,-0.010352449447280478,False,2026-02-02,1.1105,1.2333,1.1105,0.0124,,1.0
VNQ,arima,90.78573332820802,89.86000061035156,-0.014269723549773516,-0.9400024414062358,-0.00015715554042040607,-0.010352449447280478,True,2026-02-02,0.9257,0.857,0.9257,0.0103,,1.0
VNQ,Top3Ensamble,90.8781417426364,89.86000061035156,0.07813869087860326,-0.9400024414062358,0.0008605582406650653,-0.010352449447280478,False,2026-02-02,1.0181,1.0366,1.0181,0.0113,,1.0
