ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,8.89,79.0324,8.89,0.0282,,1.0
AMD,_NaiveModel,after_hours,1,11.41,130.1875,11.41,0.0219,,1.0
AMZN,_NaiveModel,after_hours,1,4.74,22.4678,4.74,0.0185,,1.0
ASML,_NaiveModel,after_hours,1,76.8,5898.2475,76.8,0.045,,1.0
AVGO,_NaiveModel,after_hours,1,21.6,466.5603,21.6,0.0449,,1.0
BRK-B,_NaiveModel,after_hours,1,1.22,1.4884,1.22,0.0026,,1.0
CAT,_NaiveModel,after_hours,1,44.45,1975.8036,44.45,0.0489,,1.0
COST,_NaiveModel,after_hours,1,8.16,66.5862,8.16,0.0086,,1.0
CRM,_NaiveModel,after_hours,1,8.76,76.7378,8.76,0.0436,,1.0
GOOGL,_NaiveModel,after_hours,1,14.52,210.8301,14.52,0.0401,,1.0
JNJ,_NaiveModel,after_hours,1,0.62,0.3844,0.62,0.0028,,1.0
JPM,_NaiveModel,after_hours,1,4.38,19.1844,4.38,0.0146,,1.0
LLY,_NaiveModel,after_hours,1,18.0499,325.7999,18.0499,0.017,,1.0
LMT,_NaiveModel,after_hours,1,3.07,9.4249,3.07,0.006,,1.0
MA,_NaiveModel,after_hours,1,17.57,308.7052,17.57,0.0368,,1.0
MCD,_NaiveModel,after_hours,1,0.25,0.0625,0.25,0.0009,,1.0
META,_NaiveModel,after_hours,1,2.84,8.0654,2.84,0.0048,,1.0
MRK,_NaiveModel,after_hours,1,0.48,0.2304,0.48,0.0042,,1.0
MSFT,_NaiveModel,after_hours,1,19.21,369.0238,19.21,0.0435,,1.0
NEE,_NaiveModel,after_hours,1,2.02,4.0804,2.02,0.0236,,1.0
NVDA,_NaiveModel,after_hours,1,1.54,2.3716,1.54,0.0069,,1.0
ORCL,_NaiveModel,after_hours,1,3.57,12.7448,3.57,0.0146,,1.0
PG,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.0038,,1.0
PLTR,_NaiveModel,after_hours,1,8.48,71.9103,8.48,0.0557,,1.0
TSLA,_NaiveModel,after_hours,1,7.86,61.7794,7.86,0.0185,,1.0
TSM,_NaiveModel,after_hours,1,11.06,122.3235,11.06,0.0248,,1.0
UNH,_NaiveModel,after_hours,1,1.94,3.7635,1.94,0.0051,,1.0
V,_NaiveModel,after_hours,1,5.45,29.7023,5.45,0.0172,,1.0
WMT,_NaiveModel,after_hours,1,1.54,2.3716,1.54,0.0136,,1.0
XOM,_NaiveModel,after_hours,1,0.18,0.0324,0.18,0.0012,,1.0
