ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,325.8900146484375,321.6600036621094,2026-07-23 00:00:00,0.0,-4.230010986328125,0.0,-0.01297987295158878,False,2026-07-23,False,False,4.23,17.893,4.23,0.0132,,1.0
AMD,_NaiveModel,552.3300170898438,539.6900024414062,2026-07-23 00:00:00,0.0,-12.6400146484375,0.0,-0.02288489536570205,False,2026-07-23,False,False,12.64,159.77,12.64,0.0234,,1.0
AMZN,_NaiveModel,244.8500061035156,233.66000366210935,2026-07-23 00:00:00,0.0,-11.19000244140625,0.0,-0.045701458699067526,False,2026-07-23,False,False,11.19,125.2162,11.19,0.0479,,1.0
ASML,_NaiveModel,1801.8599853515625,1803.0,2026-07-23 00:00:00,0.0,1.1400146484375,0.0,0.0006326876992138047,False,2026-07-23,False,False,1.14,1.2996,1.14,0.0006,,1.0
AVGO,_NaiveModel,396.80999755859375,392.4700012207031,2026-07-23 00:00:00,0.0,-4.339996337890625,0.0,-0.010937215202723748,False,2026-07-23,False,False,4.34,18.8356,4.34,0.0111,,1.0
BRK-B,_NaiveModel,489.3900146484375,490.8500061035156,2026-07-23 00:00:00,0.0,1.459991455078125,0.0,0.0029832881983236567,False,2026-07-23,False,False,1.46,2.1316,1.46,0.003,,1.0
CAT,_NaiveModel,889.3099975585938,894.5399780273438,2026-07-23 00:00:00,0.0,5.22998046875,0.0,0.005880941947248731,False,2026-07-23,False,False,5.23,27.3527,5.23,0.0058,,1.0
COST,_NaiveModel,927.3099975585938,926.0599975585938,2026-07-23 00:00:00,0.0,-1.25,0.0,-0.0013479850355231574,False,2026-07-23,False,False,1.25,1.5625,1.25,0.0013,,1.0
CRM,_NaiveModel,163.0,156.92999267578125,2026-07-23 00:00:00,0.0,-6.07000732421875,0.0,-0.03723930873753834,False,2026-07-23,False,False,6.07,36.845,6.07,0.0387,,1.0
GOOGL,_NaiveModel,342.0899963378906,317.69000244140625,2026-07-23 00:00:00,0.0,-24.399993896484375,0.0,-0.07132624209327626,False,2026-07-23,False,False,24.4,595.3597,24.4,0.0768,,1.0
