ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,0.17,0.0289,0.17,0.0005,,1.0
AMD,_NaiveModel,after_hours,1,2.55,6.5024,2.55,0.0056,,1.0
AMZN,_NaiveModel,after_hours,1,0.06,0.0036,0.06,0.0002,,1.0
ASML,_NaiveModel,after_hours,1,17.16,294.4668,17.16,0.0102,,1.0
AVGO,_NaiveModel,after_hours,1,2.44,5.9536,2.44,0.0066,,1.0
BRK-B,_NaiveModel,after_hours,1,2.91,8.4681,2.91,0.0058,,1.0
CAT,_NaiveModel,after_hours,1,13.1201,172.1359,13.1201,0.0166,,1.0
COST,_NaiveModel,after_hours,1,11.48,131.7914,11.48,0.0124,,1.0
CRM,_NaiveModel,after_hours,1,1.18,1.3924,1.18,0.0046,,1.0
GOOGL,_NaiveModel,after_hours,1,2.1,4.41,2.1,0.0062,,1.0
JNJ,_NaiveModel,after_hours,1,4.02,16.1603,4.02,0.0146,,1.0
JPM,_NaiveModel,after_hours,1,1.27,1.6129,1.27,0.0036,,1.0
LLY,_NaiveModel,after_hours,1,0.08,0.0064,0.08,0.0001,,1.0
LMT,_NaiveModel,after_hours,1,12.95,167.7028,12.95,0.0244,,1.0
MA,_NaiveModel,after_hours,1,7.04,49.5622,7.04,0.012,,1.0
MCD,_NaiveModel,after_hours,1,0.16,0.0256,0.16,0.0006,,1.0
META,_NaiveModel,after_hours,1,14.31,204.776,14.31,0.0241,,1.0
MRK,_NaiveModel,after_hours,1,1.78,3.1684,1.78,0.0117,,1.0
MSFT,_NaiveModel,after_hours,1,4.2,17.6398,4.2,0.0085,,1.0
NEE,_NaiveModel,after_hours,1,0.17,0.0289,0.17,0.002,,1.0
NVDA,_NaiveModel,after_hours,1,6.97,48.5809,6.97,0.0311,,1.0
ORCL,_NaiveModel,after_hours,1,4.43,19.6248,4.43,0.0304,,1.0
PG,_NaiveModel,after_hours,1,1.43,2.0449,1.43,0.0097,,1.0
PLTR,_NaiveModel,after_hours,1,10.46,109.4114,10.46,0.0617,,1.0
TSLA,_NaiveModel,after_hours,1,0.92,0.8464,0.92,0.0026,,1.0
TSM,_NaiveModel,after_hours,1,1.5,2.25,1.5,0.0036,,1.0
UNH,_NaiveModel,after_hours,1,3.36,11.2897,3.36,0.0084,,1.0
V,_NaiveModel,after_hours,1,5.73,32.8327,5.73,0.0151,,1.0
WMT,_NaiveModel,after_hours,1,0.17,0.0289,0.17,0.0016,,1.0
XOM,_NaiveModel,after_hours,1,0.4,0.16,0.4,0.0024,,1.0
