ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.1,1.2099,1.1,0.0033,,1.0
AMD,_NaiveModel,after_hours,1,14.65,214.6232,14.65,0.0233,,1.0
AMZN,_NaiveModel,after_hours,1,0.11,0.0121,0.11,0.0004,,1.0
ASML,_NaiveModel,after_hours,1,22.11,488.8515,22.11,0.0128,,1.0
AVGO,_NaiveModel,after_hours,1,4.63,21.4369,4.63,0.0132,,1.0
BRK-B,_NaiveModel,after_hours,1,1.99,3.9602,1.99,0.0039,,1.0
CAT,_NaiveModel,after_hours,1,6.77,45.8332,6.77,0.0084,,1.0
COST,_NaiveModel,after_hours,1,8.22,67.5689,8.22,0.0092,,1.0
CRM,_NaiveModel,after_hours,1,0.64,0.4096,0.64,0.0027,,1.0
GOOGL,_NaiveModel,after_hours,1,4.53,20.5209,4.53,0.0132,,1.0
JNJ,_NaiveModel,after_hours,1,1.51,2.28,1.51,0.0056,,1.0
JPM,_NaiveModel,after_hours,1,1.03,1.0609,1.03,0.003,,1.0
LLY,_NaiveModel,after_hours,1,30.9,954.8115,30.9,0.0261,,1.0
LMT,_NaiveModel,after_hours,1,0.98,0.9604,0.98,0.0019,,1.0
MA,_NaiveModel,after_hours,1,6.16,37.946,6.16,0.0109,,1.0
MCD,_NaiveModel,after_hours,1,1.3,1.69,1.3,0.0055,,1.0
META,_NaiveModel,after_hours,1,33.4901,1121.5835,33.4901,0.0431,,1.0
MRK,_NaiveModel,after_hours,1,0.1,0.01,0.1,0.0007,,1.0
MSFT,_NaiveModel,after_hours,1,2.66,7.0756,2.66,0.0053,,1.0
NEE,_NaiveModel,after_hours,1,1.4,1.96,1.4,0.0185,,1.0
NVDA,_NaiveModel,after_hours,1,0.93,0.8649,0.93,0.0041,,1.0
ORCL,_NaiveModel,after_hours,1,5.02,25.2004,5.02,0.036,,1.0
PG,_NaiveModel,after_hours,1,1.71,2.9241,1.71,0.0117,,1.0
PLTR,_NaiveModel,after_hours,1,0.8,0.64,0.8,0.0042,,1.0
TSLA,_NaiveModel,after_hours,1,2.18,4.7524,2.18,0.0058,,1.0
TSM,_NaiveModel,after_hours,1,4.58,20.9763,4.58,0.0102,,1.0
UNH,_NaiveModel,after_hours,1,3.72,13.8384,3.72,0.0099,,1.0
V,_NaiveModel,after_hours,1,6.46,41.7319,6.46,0.0176,,1.0
WMT,_NaiveModel,after_hours,1,2.94,8.6436,2.94,0.0273,,1.0
XOM,_NaiveModel,after_hours,1,0.91,0.8281,0.91,0.0056,,1.0
