model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
BIMBOA.MX_linreg,train,0.5874,0.6695,0.8182,0.0102,0.9648,0.9648,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_linreg,test,1.0793,1.9154,1.384,0.0181,0.6063,0.7129,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_linreg,train,0.6049,0.7232,0.8504,0.0105,0.962,0.962,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
BIMBOA.MX_linreg,test,1.0142,1.5744,1.2548,0.017,0.6764,0.7688,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
BIMBOA.MX_rf,train,0.602,0.7124,0.8441,0.0105,0.9626,0.9626,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_rf,test,0.8583,1.1112,1.0541,0.0142,0.7716,0.7717,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_rf,train,0.674,0.8281,0.91,0.0117,0.9565,0.9565,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
BIMBOA.MX_rf,test,0.839,1.1084,1.0528,0.0139,0.7722,0.7722,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
BIMBOA.MX_xgb,train,0.3086,0.1774,0.4212,0.0054,0.9907,0.9907,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_xgb,test,0.9651,1.3824,1.1758,0.016,0.7158,0.7164,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,0
BIMBOA.MX_xgb,train,0.5801,0.6124,0.7825,0.0101,0.9678,0.9678,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
BIMBOA.MX_xgb,test,0.9254,1.2299,1.109,0.0154,0.7472,0.7569,2026-01-01T02:10:58.716572+00:00,2024-11-12 a 2025-12-30,2024-11-12 a 2025-11-03,2025-11-04 a 2025-12-30,2025-12-30,1
