ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,267.6099853515625,270.7099914550781,2026-04-28 00:00:00,0.0,3.100006103515625,0.0,0.011584044965448913,False,2026-04-28,False,False,3.1,9.61,3.1,0.0115,,1.0
AMD,_NaiveModel,334.6300048828125,323.2099914550781,2026-04-28 00:00:00,0.0,-11.420013427734375,0.0,-0.03412728464601872,False,2026-04-28,False,False,11.42,130.4167,11.42,0.0353,,1.0
AMZN,_NaiveModel,261.1199951171875,259.70001220703125,2026-04-28 00:00:00,0.0,-1.41998291015625,0.0,-0.005438047398549387,False,2026-04-28,False,False,1.42,2.0164,1.42,0.0055,,1.0
ASML,_NaiveModel,1432.43994140625,1384.56005859375,2026-04-28 00:00:00,0.0,-47.8798828125,0.0,-0.033425403347448916,False,2026-04-28,False,False,47.8799,2292.4832,47.8799,0.0346,,1.0
AVGO,_NaiveModel,418.2000122070313,399.8299865722656,2026-04-28 00:00:00,0.0,-18.370025634765682,0.0,-0.04392641104388954,False,2026-04-28,False,False,18.37,337.4578,18.37,0.0459,,1.0
BRK-B,_NaiveModel,472.80999755859375,478.1600036621094,2026-04-28 00:00:00,0.0,5.350006103515625,0.0,0.011315340477445418,False,2026-04-28,False,False,5.35,28.6226,5.35,0.0112,,1.0
CAT,_NaiveModel,828.7899780273438,817.8699951171875,2026-04-28 00:00:00,0.0,-10.91998291015625,0.0,-0.013175814379594216,False,2026-04-28,False,False,10.92,119.246,10.92,0.0134,,1.0
COST,_NaiveModel,998.010009765625,994.0,2026-04-28 00:00:00,0.0,-4.010009765625,0.0,-0.004018005557445982,False,2026-04-28,False,False,4.01,16.0802,4.01,0.004,,1.0
CRM,_NaiveModel,180.17999267578125,181.32000732421875,2026-04-28 00:00:00,0.0,1.1400146484375,0.0,0.0063270878831084235,False,2026-04-28,False,False,1.14,1.2996,1.14,0.0063,,1.0
GOOGL,_NaiveModel,350.3399963378906,349.7799987792969,2026-04-28 00:00:00,0.0,-0.55999755859375,0.0,-0.0015984402707296143,False,2026-04-28,False,False,0.56,0.3136,0.56,0.0016,,1.0
JNJ,_NaiveModel,225.33999633789065,227.7899932861328,2026-04-28 00:00:00,0.0,2.449996948242159,0.0,0.010872446028482495,False,2026-04-28,False,False,2.45,6.0025,2.45,0.0108,,1.0
JPM,_NaiveModel,311.6300048828125,311.45001220703125,2026-04-28 00:00:00,0.0,-0.17999267578125,0.0,-0.0005775845488592657,False,2026-04-28,False,False,0.18,0.0324,0.18,0.0006,,1.0
LLY,_NaiveModel,868.27001953125,874.0,2026-04-28 00:00:00,0.0,5.72998046875,0.0,0.00659930705869981,False,2026-04-28,False,False,5.73,32.8327,5.73,0.0066,,1.0
LMT,_NaiveModel,513.3499755859375,512.2899780273438,2026-04-28 00:00:00,0.0,-1.05999755859375,0.0,-0.0020648633661350994,False,2026-04-28,False,False,1.06,1.1236,1.06,0.0021,,1.0
MA,_NaiveModel,506.4299926757813,507.6199951171875,2026-04-28 00:00:00,0.0,1.1900024414061932,0.0,0.002349786660775516,False,2026-04-28,False,False,1.19,1.4161,1.19,0.0023,,1.0
MCD,_NaiveModel,290.2099914550781,292.3900146484375,2026-04-28 00:00:00,0.0,2.180023193359375,0.0,0.007511881939105542,False,2026-04-28,False,False,2.18,4.7525,2.18,0.0075,,1.0
META,_NaiveModel,678.6199951171875,671.3400268554688,2026-04-28 00:00:00,0.0,-7.27996826171875,0.0,-0.010727606486840412,False,2026-04-28,False,False,7.28,52.9979,7.28,0.0108,,1.0
MRK,_NaiveModel,110.2300033569336,110.02999877929688,2026-04-28 00:00:00,0.0,-0.20000457763671875,0.0,-0.0018144295704055082,False,2026-04-28,False,False,0.2,0.04,0.2,0.0018,,1.0
MSFT,_NaiveModel,424.8200073242188,429.25,2026-04-28 00:00:00,0.0,4.429992675781193,0.0,0.010427928533036963,False,2026-04-28,False,False,4.43,19.6248,4.43,0.0103,,1.0
NEE,_NaiveModel,94.83000183105467,96.51000213623048,2026-04-28 00:00:00,0.0,1.6800003051758097,0.0,0.01771591556192133,False,2026-04-28,False,False,1.68,2.8224,1.68,0.0174,,1.0
NVDA,_NaiveModel,216.6100006103516,213.1699981689453,2026-04-28 00:00:00,0.0,-3.4400024414062784,0.0,-0.015881087815489733,False,2026-04-28,False,False,3.44,11.8336,3.44,0.0161,,1.0
ORCL,_NaiveModel,172.9600067138672,165.9600067138672,2026-04-28 00:00:00,0.0,-7.0,0.0,-0.040471783812892105,False,2026-04-28,False,False,7.0,49.0,7.0,0.0422,,1.0
PG,_NaiveModel,148.39999389648438,149.1699981689453,2026-04-28 00:00:00,0.0,0.7700042724609375,0.0,0.005188708248856465,False,2026-04-28,False,False,0.77,0.5929,0.77,0.0052,,1.0
PLTR,_NaiveModel,143.10000610351562,141.17999267578125,2026-04-28 00:00:00,0.0,-1.920013427734375,0.0,-0.013417284038027758,False,2026-04-28,False,False,1.92,3.6865,1.92,0.0136,,1.0
TSLA,_NaiveModel,378.6700134277344,376.0199890136719,2026-04-28 00:00:00,0.0,-2.6500244140625,0.0,-0.006998242057971227,False,2026-04-28,False,False,2.65,7.0226,2.65,0.007,,1.0
TSM,_NaiveModel,404.9800109863281,392.3399963378906,2026-04-28 00:00:00,0.0,-12.6400146484375,0.0,-0.031211453171855977,False,2026-04-28,False,False,12.64,159.77,12.64,0.0322,,1.0
UNH,_NaiveModel,354.69000244140625,366.7699890136719,2026-04-28 00:00:00,0.0,12.079986572265625,0.0,0.03405787163189412,False,2026-04-28,False,False,12.08,145.9261,12.08,0.0329,,1.0
V,_NaiveModel,309.6499938964844,309.29998779296875,2026-04-28 00:00:00,0.0,-0.350006103515625,0.0,-0.0011303281460184095,False,2026-04-28,False,False,0.35,0.1225,0.35,0.0011,,1.0
WMT,_NaiveModel,127.58999633789062,127.58999633789062,2026-04-28 00:00:00,0.0,0.0,0.0,0.0,False,2026-04-28,False,False,0.0,0.0,0.0,0.0,,1.0
XOM,_NaiveModel,148.19000244140625,150.55999755859375,2026-04-28 00:00:00,0.0,2.3699951171875,0.0,0.015992948769432587,False,2026-04-28,False,False,2.37,5.6169,2.37,0.0157,,1.0
