ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,2.37,5.6169,2.37,0.0087,,1.0
AMD,_NaiveModel,after_hours,1,42.48,1804.5513,42.48,0.1221,,1.0
AMZN,_NaiveModel,after_hours,1,8.91,79.3879,8.91,0.0338,,1.0
ASML,_NaiveModel,after_hours,1,39.8999,1592.0022,39.8999,0.0274,,1.0
AVGO,_NaiveModel,after_hours,1,2.82,7.9524,2.82,0.0067,,1.0
BRK-B,_NaiveModel,after_hours,1,1.23,1.5129,1.23,0.0026,,1.0
CAT,_NaiveModel,after_hours,1,4.45,19.8026,4.45,0.0054,,1.0
COST,_NaiveModel,after_hours,1,3.23,10.4328,3.23,0.0032,,1.0
CRM,_NaiveModel,after_hours,1,4.86,23.6196,4.86,0.0273,,1.0
GOOGL,_NaiveModel,after_hours,1,5.51,30.3599,5.51,0.016,,1.0
JNJ,_NaiveModel,after_hours,1,3.15,9.9225,3.15,0.0138,,1.0
JPM,_NaiveModel,after_hours,1,3.41,11.6281,3.41,0.0111,,1.0
LLY,_NaiveModel,after_hours,1,33.69,1135.0163,33.69,0.0381,,1.0
LMT,_NaiveModel,after_hours,1,16.34,266.9945,16.34,0.0318,,1.0
MA,_NaiveModel,after_hours,1,1.79,3.2041,1.79,0.0036,,1.0
MCD,_NaiveModel,after_hours,1,3.17,10.049,3.17,0.0106,,1.0
META,_NaiveModel,after_hours,1,15.88,252.1746,15.88,0.0235,,1.0
MRK,_NaiveModel,after_hours,1,2.72,7.3984,2.72,0.0243,,1.0
MSFT,_NaiveModel,after_hours,1,8.87,78.6768,8.87,0.0209,,1.0
NEE,_NaiveModel,after_hours,1,0.97,0.9409,0.97,0.0102,,1.0
NVDA,_NaiveModel,after_hours,1,8.63,74.477,8.63,0.0414,,1.0
ORCL,_NaiveModel,after_hours,1,3.0,9.0,3.0,0.0173,,1.0
PG,_NaiveModel,after_hours,1,2.47,6.1008,2.47,0.0167,,1.0
PLTR,_NaiveModel,after_hours,1,1.52,2.3104,1.52,0.0106,,1.0
TSLA,_NaiveModel,after_hours,1,2.58,6.6563,2.58,0.0069,,1.0
TSM,_NaiveModel,after_hours,1,19.8,392.0395,19.8,0.0492,,1.0
UNH,_NaiveModel,after_hours,1,0.36,0.1296,0.36,0.001,,1.0
V,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.0017,,1.0
WMT,_NaiveModel,after_hours,1,2.11,4.4521,2.11,0.0162,,1.0
XOM,_NaiveModel,after_hours,1,1.62,2.6244,1.62,0.0109,,1.0
