ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,3.1,9.61,3.1,0.0115,,1.0
AMD,_NaiveModel,after_hours,1,11.42,130.4167,11.42,0.0353,,1.0
AMZN,_NaiveModel,after_hours,1,1.42,2.0164,1.42,0.0055,,1.0
ASML,_NaiveModel,after_hours,1,47.8799,2292.4832,47.8799,0.0346,,1.0
AVGO,_NaiveModel,after_hours,1,18.37,337.4578,18.37,0.0459,,1.0
BRK-B,_NaiveModel,after_hours,1,5.35,28.6226,5.35,0.0112,,1.0
CAT,_NaiveModel,after_hours,1,10.92,119.246,10.92,0.0134,,1.0
COST,_NaiveModel,after_hours,1,4.01,16.0802,4.01,0.004,,1.0
CRM,_NaiveModel,after_hours,1,1.14,1.2996,1.14,0.0063,,1.0
GOOGL,_NaiveModel,after_hours,1,0.56,0.3136,0.56,0.0016,,1.0
JNJ,_NaiveModel,after_hours,1,2.45,6.0025,2.45,0.0108,,1.0
JPM,_NaiveModel,after_hours,1,0.18,0.0324,0.18,0.0006,,1.0
LLY,_NaiveModel,after_hours,1,5.73,32.8327,5.73,0.0066,,1.0
LMT,_NaiveModel,after_hours,1,1.06,1.1236,1.06,0.0021,,1.0
MA,_NaiveModel,after_hours,1,1.19,1.4161,1.19,0.0023,,1.0
MCD,_NaiveModel,after_hours,1,2.18,4.7525,2.18,0.0075,,1.0
META,_NaiveModel,after_hours,1,7.28,52.9979,7.28,0.0108,,1.0
MRK,_NaiveModel,after_hours,1,0.2,0.04,0.2,0.0018,,1.0
MSFT,_NaiveModel,after_hours,1,4.43,19.6248,4.43,0.0103,,1.0
NEE,_NaiveModel,after_hours,1,1.68,2.8224,1.68,0.0174,,1.0
NVDA,_NaiveModel,after_hours,1,3.44,11.8336,3.44,0.0161,,1.0
ORCL,_NaiveModel,after_hours,1,7.0,49.0,7.0,0.0422,,1.0
PG,_NaiveModel,after_hours,1,0.77,0.5929,0.77,0.0052,,1.0
PLTR,_NaiveModel,after_hours,1,1.92,3.6865,1.92,0.0136,,1.0
TSLA,_NaiveModel,after_hours,1,2.65,7.0226,2.65,0.007,,1.0
TSM,_NaiveModel,after_hours,1,12.64,159.77,12.64,0.0322,,1.0
UNH,_NaiveModel,after_hours,1,12.08,145.9261,12.08,0.0329,,1.0
V,_NaiveModel,after_hours,1,0.35,0.1225,0.35,0.0011,,1.0
WMT,_NaiveModel,after_hours,1,0.0,0.0,0.0,0.0,,1.0
XOM,_NaiveModel,after_hours,1,2.37,5.6169,2.37,0.0157,,1.0
