ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,5.53,30.5809,5.53,0.0178,,1.0
AMD,_NaiveModel,after_hours,1,3.035,9.2111,3.035,0.0065,,1.0
AMZN,_NaiveModel,after_hours,1,5.73,32.833,5.73,0.022,,1.0
ASML,_NaiveModel,after_hours,1,1.4199,2.0162,1.4199,0.0008,,1.0
AVGO,_NaiveModel,after_hours,1,1.55,2.4025,1.55,0.0043,,1.0
BRK-B,_NaiveModel,after_hours,1,2.76,7.6177,2.76,0.0056,,1.0
CAT,_NaiveModel,after_hours,1,0.76,0.5776,0.76,0.0009,,1.0
COST,_NaiveModel,after_hours,1,23.48,551.3095,23.48,0.0252,,1.0
CRM,_NaiveModel,after_hours,1,0.66,0.4356,0.66,0.0032,,1.0
GOOGL,_NaiveModel,after_hours,1,4.05,16.4024,4.05,0.0119,,1.0
JNJ,_NaiveModel,after_hours,1,6.04,36.4817,6.04,0.0226,,1.0
JPM,_NaiveModel,after_hours,1,5.71,32.6044,5.71,0.0162,,1.0
LLY,_NaiveModel,after_hours,1,35.9399,1291.6794,35.9399,0.0289,,1.0
LMT,_NaiveModel,after_hours,1,17.67,312.2305,17.67,0.0309,,1.0
MA,_NaiveModel,after_hours,1,0.13,0.0169,0.13,0.0002,,1.0
MCD,_NaiveModel,after_hours,1,1.68,2.8224,1.68,0.0062,,1.0
META,_NaiveModel,after_hours,1,0.2,0.04,0.2,0.0004,,1.0
MRK,_NaiveModel,after_hours,1,3.21,10.304,3.21,0.0215,,1.0
MSFT,_NaiveModel,after_hours,1,3.16,9.9856,3.16,0.0066,,1.0
NEE,_NaiveModel,after_hours,1,0.88,0.7744,0.88,0.0103,,1.0
NVDA,_NaiveModel,after_hours,1,0.71,0.5041,0.71,0.0033,,1.0
ORCL,_NaiveModel,after_hours,1,1.74,3.0276,1.74,0.0122,,1.0
PG,_NaiveModel,after_hours,1,1.41,1.9881,1.41,0.0099,,1.0
PLTR,_NaiveModel,after_hours,1,1.23,1.5129,1.23,0.0071,,1.0
TSLA,_NaiveModel,after_hours,1,5.99,35.88,5.99,0.0174,,1.0
TSM,_NaiveModel,after_hours,1,3.91,15.2881,3.91,0.0094,,1.0
UNH,_NaiveModel,after_hours,1,3.76,14.1374,3.76,0.0098,,1.0
V,_NaiveModel,after_hours,1,0.19,0.0361,0.19,0.0005,,1.0
WMT,_NaiveModel,after_hours,1,10.46,109.4117,10.46,0.1007,,1.0
XOM,_NaiveModel,after_hours,1,1.38,1.9044,1.38,0.0083,,1.0
