model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
BIMBOA.MX_linreg,train,0.742,1.0012,1.0006,0.0119,0.9688,0.9688,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_linreg,test,2.9695,13.5966,3.6874,0.0569,-2.616,-0.3251,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_linreg,train,0.8087,1.1614,1.0777,0.013,0.9638,0.9638,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_linreg,test,1.7203,5.2141,2.2834,0.0329,-0.3867,0.3013,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_rf,train,0.7975,1.1732,1.0831,0.0128,0.9634,0.9634,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_rf,test,0.5244,0.5646,0.7514,0.0099,0.8498,0.8694,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_rf,train,0.7983,1.141,1.0682,0.0128,0.9644,0.9644,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_rf,test,0.5192,0.5682,0.7538,0.0098,0.8489,0.8725,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_xgb,train,0.4824,0.4166,0.6455,0.0078,0.987,0.987,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_xgb,test,0.47,0.4903,0.7002,0.0089,0.8696,0.8786,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
BIMBOA.MX_xgb,train,0.6949,0.8803,0.9383,0.0111,0.9726,0.9726,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_xgb,test,0.6068,0.7529,0.8677,0.0114,0.7998,0.8269,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,1
BIMBOA.MX_lgbm,train,0.5978,0.6581,0.8113,0.0096,0.9795,0.9795,2025-07-12T04:27:15.900613+00:00,2024-05-23 a 2025-07-10,2024-05-23 a 2025-05-14,2025-05-15 a 2025-07-10,2025-07-10,0
