model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
BIMBOA.MX_linreg,train,0.9104,1.561,1.2494,0.0146,0.9519,0.9519,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_linreg,test,0.5195,0.5912,0.7689,0.0098,0.8767,0.8899,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_rf,train,0.8703,1.4069,1.1861,0.014,0.9566,0.9567,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_rf,test,0.5198,0.5584,0.7472,0.0097,0.8835,0.8988,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_xgb,train,0.8809,1.4683,1.2117,0.0141,0.9548,0.9548,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_xgb,test,0.4955,0.5292,0.7274,0.0093,0.8896,0.8952,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_lgbm,train,0.9045,1.5374,1.2399,0.0145,0.9526,0.9526,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_lgbm,test,0.4934,0.528,0.7266,0.0093,0.8899,0.8954,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_lstm,train,1.7003,3.9951,1.9988,0.0277,0.8769,0.9492,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_lstm,test,1.6531,3.2511,1.8031,0.031,0.3219,0.8918,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_arima,train,0.9295,1.6447,1.2825,0.0149,0.9493,0.9493,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
BIMBOA.MX_arima,test,0.5117,0.5409,0.7355,0.0096,0.8872,0.8901,2025-07-09T05:46:13.809461+00:00,2024-05-21 a 2025-07-07,2024-05-21 a 2025-05-09,2025-05-12 a 2025-07-07,2025-07-07
