ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,0.64,0.4096,0.64,0.0022,,1.0
AMD,_NaiveModel,no_event_day,1,3.6,12.96,3.6,0.0078,,1.0
AMZN,_NaiveModel,no_event_day,1,3.69,13.6161,3.69,0.0137,,1.0
ASML,_NaiveModel,no_event_day,1,26.21,686.9621,26.21,0.0167,,1.0
AVGO,_NaiveModel,no_event_day,1,1.57,2.4649,1.57,0.0037,,1.0
BRK-B,_NaiveModel,no_event_day,1,3.61,13.032,3.61,0.0075,,1.0
CAT,_NaiveModel,no_event_day,1,29.34,860.8336,29.34,0.0317,,1.0
COST,_NaiveModel,no_event_day,1,9.32,86.8625,9.32,0.0093,,1.0
CRM,_NaiveModel,no_event_day,1,4.33,18.7489,4.33,0.0244,,1.0
GOOGL,_NaiveModel,no_event_day,1,12.16,147.8649,12.16,0.0313,,1.0
JNJ,_NaiveModel,no_event_day,1,0.11,0.0121,0.11,0.0005,,1.0
JPM,_NaiveModel,no_event_day,1,2.1,4.41,2.1,0.007,,1.0
LLY,_NaiveModel,no_event_day,1,18.54,343.7308,18.54,0.0192,,1.0
LMT,_NaiveModel,no_event_day,1,5.74,32.9475,5.74,0.0112,,1.0
MA,_NaiveModel,no_event_day,1,2.33,5.4288,2.33,0.0047,,1.0
MCD,_NaiveModel,no_event_day,1,1.15,1.3225,1.15,0.0042,,1.0
META,_NaiveModel,no_event_day,1,10.77,115.9933,10.77,0.018,,1.0
MRK,_NaiveModel,no_event_day,1,0.1,0.01,0.1,0.0009,,1.0
MSFT,_NaiveModel,no_event_day,1,2.46,6.0516,2.46,0.006,,1.0
NEE,_NaiveModel,no_event_day,1,1.74,3.0276,1.74,0.0183,,1.0
NVDA,_NaiveModel,no_event_day,1,4.24,17.9776,4.24,0.0193,,1.0
ORCL,_NaiveModel,no_event_day,1,2.11,4.4521,2.11,0.0109,,1.0
PG,_NaiveModel,no_event_day,1,3.06,9.3636,3.06,0.0213,,1.0
PLTR,_NaiveModel,no_event_day,1,0.91,0.8281,0.91,0.0066,,1.0
TSLA,_NaiveModel,no_event_day,1,16.65,277.2223,16.65,0.0374,,1.0
TSM,_NaiveModel,no_event_day,1,7.14,50.9794,7.14,0.0176,,1.0
UNH,_NaiveModel,no_event_day,1,4.46,19.8915,4.46,0.0116,,1.0
V,_NaiveModel,no_event_day,1,5.07,25.7047,5.07,0.0157,,1.0
WMT,_NaiveModel,no_event_day,1,2.84,8.0656,2.84,0.0223,,1.0
XOM,_NaiveModel,no_event_day,1,5.11,26.112,5.11,0.0341,,1.0
