ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,0.48,0.2304,0.48,0.0014,,1.0
AMD,_NaiveModel,no_event_day,1,5.18,26.8323,5.18,0.0104,,1.0
AMZN,_NaiveModel,no_event_day,1,2.66,7.0756,2.66,0.0108,,1.0
ASML,_NaiveModel,no_event_day,1,37.29,1390.547,37.29,0.0213,,1.0
AVGO,_NaiveModel,no_event_day,1,3.62,13.1046,3.62,0.0098,,1.0
BRK-B,_NaiveModel,no_event_day,1,2.21,4.8841,2.21,0.0045,,1.0
CAT,_NaiveModel,no_event_day,1,3.11,9.6724,3.11,0.0035,,1.0
COST,_NaiveModel,no_event_day,1,4.7,22.0901,4.7,0.005,,1.0
CRM,_NaiveModel,no_event_day,1,1.91,3.6481,1.91,0.0112,,1.0
GOOGL,_NaiveModel,no_event_day,1,7.69,59.1361,7.69,0.0222,,1.0
JNJ,_NaiveModel,no_event_day,1,3.07,9.4249,3.07,0.0121,,1.0
JPM,_NaiveModel,no_event_day,1,2.05,4.2024,2.05,0.006,,1.0
LLY,_NaiveModel,no_event_day,1,9.9399,98.8024,9.9399,0.0084,,1.0
LMT,_NaiveModel,no_event_day,1,4.75,22.5628,4.75,0.0093,,1.0
MA,_NaiveModel,no_event_day,1,7.94,63.0436,7.94,0.0146,,1.0
MCD,_NaiveModel,no_event_day,1,5.75,33.0625,5.75,0.0215,,1.0
META,_NaiveModel,no_event_day,1,18.53,343.3597,18.53,0.0287,,1.0
MRK,_NaiveModel,no_event_day,1,0.13,0.0169,0.13,0.001,,1.0
MSFT,_NaiveModel,no_event_day,1,7.28,52.9984,7.28,0.0185,,1.0
NEE,_NaiveModel,no_event_day,1,0.55,0.3025,0.55,0.0062,,1.0
NVDA,_NaiveModel,no_event_day,1,4.59,21.0681,4.59,0.0226,,1.0
ORCL,_NaiveModel,no_event_day,1,2.2,4.84,2.2,0.0174,,1.0
PG,_NaiveModel,no_event_day,1,1.52,2.3104,1.52,0.0101,,1.0
PLTR,_NaiveModel,no_event_day,1,2.06,4.2436,2.06,0.0156,,1.0
TSLA,_NaiveModel,no_event_day,1,10.22,104.4484,10.22,0.0268,,1.0
TSM,_NaiveModel,no_event_day,1,11.37,129.2768,11.37,0.0285,,1.0
UNH,_NaiveModel,no_event_day,1,2.71,7.3441,2.71,0.0064,,1.0
V,_NaiveModel,no_event_day,1,6.58,43.2966,6.58,0.0184,,1.0
WMT,_NaiveModel,no_event_day,1,0.71,0.5041,0.71,0.0062,,1.0
XOM,_NaiveModel,no_event_day,1,1.41,1.9881,1.41,0.0096,,1.0
