ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,5.02,25.2006,5.02,0.0171,,1.0
AMD,_NaiveModel,after_hours,1,40.03,1602.3984,40.03,0.074,,1.0
AMZN,_NaiveModel,after_hours,1,3.36,11.2896,3.36,0.0139,,1.0
ASML,_NaiveModel,after_hours,1,146.3999,21432.9314,146.3999,0.0794,,1.0
AVGO,_NaiveModel,after_hours,1,8.41,70.7282,8.41,0.0228,,1.0
BRK-B,_NaiveModel,after_hours,1,0.65,0.4225,0.65,0.0013,,1.0
CAT,_NaiveModel,after_hours,1,73.4901,5400.7876,73.4901,0.0741,,1.0
COST,_NaiveModel,after_hours,1,10.8,116.6397,10.8,0.0117,,1.0
CRM,_NaiveModel,after_hours,1,6.57,43.1648,6.57,0.0402,,1.0
GOOGL,_NaiveModel,after_hours,1,3.84,14.7456,3.84,0.0106,,1.0
JNJ,_NaiveModel,after_hours,1,0.01,0.0001,0.01,0.0,,1.0
JPM,_NaiveModel,after_hours,1,6.74,45.4279,6.74,0.0202,,1.0
LLY,_NaiveModel,after_hours,1,7.6901,59.1371,7.6901,0.0065,,1.0
LMT,_NaiveModel,after_hours,1,12.36,152.77,12.36,0.0237,,1.0
MA,_NaiveModel,after_hours,1,8.84,78.1461,8.84,0.0169,,1.0
MCD,_NaiveModel,after_hours,1,0.88,0.7744,0.88,0.0033,,1.0
META,_NaiveModel,after_hours,1,49.62,2462.1439,49.62,0.081,,1.0
MRK,_NaiveModel,after_hours,1,3.13,9.7969,3.13,0.025,,1.0
MSFT,_NaiveModel,after_hours,1,11.26,126.7878,11.26,0.0293,,1.0
NEE,_NaiveModel,after_hours,1,1.4,1.96,1.4,0.0162,,1.0
NVDA,_NaiveModel,after_hours,1,2.51,6.3001,2.51,0.0127,,1.0
ORCL,_NaiveModel,after_hours,1,4.05,16.4025,4.05,0.0284,,1.0
PG,_NaiveModel,after_hours,1,0.79,0.6241,0.79,0.0054,,1.0
PLTR,_NaiveModel,after_hours,1,9.06,82.0837,9.06,0.0721,,1.0
TSLA,_NaiveModel,after_hours,1,4.7,22.0898,4.7,0.0111,,1.0
TSM,_NaiveModel,after_hours,1,33.34,1111.5554,33.34,0.0751,,1.0
UNH,_NaiveModel,after_hours,1,10.91,119.0282,10.91,0.0256,,1.0
V,_NaiveModel,after_hours,1,7.99,63.8399,7.99,0.0228,,1.0
WMT,_NaiveModel,after_hours,1,4.44,19.7136,4.44,0.0408,,1.0
XOM,_NaiveModel,after_hours,1,0.44,0.1936,0.44,0.0032,,1.0
