ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.84,3.3856,1.84,0.0072,,1.0
AMD,_NaiveModel,after_hours,1,6.78,45.9686,6.78,0.0323,,1.0
AMZN,_NaiveModel,after_hours,1,2.3,5.29,2.3,0.0109,,1.0
ASML,_NaiveModel,after_hours,1,38.9301,1515.5491,38.9301,0.0286,,1.0
AVGO,_NaiveModel,after_hours,1,3.98,15.8402,3.98,0.0127,,1.0
BRK-B,_NaiveModel,after_hours,1,0.7,0.49,0.7,0.0015,,1.0
CAT,_NaiveModel,after_hours,1,21.86,477.859,21.86,0.0299,,1.0
COST,_NaiveModel,after_hours,1,0.13,0.0169,0.13,0.0001,,1.0
CRM,_NaiveModel,after_hours,1,0.43,0.1849,0.43,0.0023,,1.0
GOOGL,_NaiveModel,after_hours,1,9.83,96.6292,9.83,0.0331,,1.0
JNJ,_NaiveModel,after_hours,1,0.32,0.1024,0.32,0.0013,,1.0
JPM,_NaiveModel,after_hours,1,1.22,1.4884,1.22,0.0041,,1.0
LLY,_NaiveModel,after_hours,1,34.75,1207.5625,34.75,0.0364,,1.0
LMT,_NaiveModel,after_hours,1,13.25,175.5625,13.25,0.0215,,1.0
MA,_NaiveModel,after_hours,1,8.01,64.1603,8.01,0.0163,,1.0
MCD,_NaiveModel,after_hours,1,3.5,12.25,3.5,0.0114,,1.0
META,_NaiveModel,after_hours,1,7.1,50.4097,7.1,0.0123,,1.0
MRK,_NaiveModel,after_hours,1,0.55,0.3025,0.55,0.0046,,1.0
MSFT,_NaiveModel,after_hours,1,0.8,0.64,0.8,0.0022,,1.0
NEE,_NaiveModel,after_hours,1,0.03,0.0009,0.03,0.0003,,1.0
NVDA,_NaiveModel,after_hours,1,1.35,1.8225,1.35,0.0077,,1.0
ORCL,_NaiveModel,after_hours,1,1.88,3.5344,1.88,0.0129,,1.0
PG,_NaiveModel,after_hours,1,0.35,0.1225,0.35,0.0024,,1.0
PLTR,_NaiveModel,after_hours,1,0.21,0.0441,0.21,0.0014,,1.0
TSLA,_NaiveModel,after_hours,1,9.51,90.4403,9.51,0.0249,,1.0
TSM,_NaiveModel,after_hours,1,3.54,12.5314,3.54,0.0104,,1.0
UNH,_NaiveModel,after_hours,1,3.39,11.4922,3.39,0.0124,,1.0
V,_NaiveModel,after_hours,1,3.73,13.9128,3.73,0.0125,,1.0
WMT,_NaiveModel,after_hours,1,0.46,0.2116,0.46,0.0037,,1.0
XOM,_NaiveModel,after_hours,1,8.88,78.8545,8.88,0.0552,,1.0
