model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
CEMEXCPO.MX_rf,train,0.1671,0.0525,0.2291,0.0137,0.9599,0.9599,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_rf,test,0.1772,0.05,0.2237,0.0106,0.8442,0.8447,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_rf,train,0.1492,0.0394,0.1984,0.0123,0.9699,0.9699,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_rf,test,0.1763,0.0477,0.2183,0.0105,0.8516,0.8518,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_xgb,train,0.1027,0.0193,0.1388,0.0084,0.9853,0.9853,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_xgb,test,0.1965,0.0589,0.2426,0.0117,0.8167,0.8287,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_xgb,train,0.1428,0.0372,0.1929,0.0117,0.9716,0.9716,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_xgb,test,0.1802,0.0522,0.2285,0.0108,0.8374,0.8386,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
CEMEXCPO.MX_lgbm,train,0.1216,0.0285,0.1689,0.01,0.9782,0.9782,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
CEMEXCPO.MX_lgbm,test,0.1926,0.0588,0.2426,0.0115,0.8168,0.8172,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
