model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
AAPL_linreg,train,2.2445,8.9811,2.9969,0.0099,0.9876,0.9876,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_linreg,test,6.345,67.2985,8.2036,0.0238,0.0262,0.4518,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_linreg,train,2.3637,10.5259,3.2444,0.0104,0.9855,0.9855,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_linreg,test,5.2952,42.6796,6.533,0.0199,0.3824,0.6635,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_rf,train,2.4603,13.2358,3.6381,0.0109,0.9818,0.9818,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_rf,test,3.0798,20.0174,4.4741,0.0117,0.7104,0.7104,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_rf,train,2.5157,12.5843,3.5474,0.0112,0.9827,0.9827,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_rf,test,3.119,19.649,4.4327,0.0118,0.7157,0.7202,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_xgb,train,1.3236,3.8272,1.9563,0.0058,0.9947,0.9947,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_xgb,test,2.9781,18.6772,4.3217,0.0113,0.7297,0.7303,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_xgb,train,2.1416,8.5708,2.9276,0.0095,0.9882,0.9882,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_xgb,test,3.0396,19.5194,4.4181,0.0115,0.7176,0.7176,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_lgbm,train,1.7978,7.0726,2.6594,0.008,0.9903,0.9903,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_lgbm,test,3.1182,19.8541,4.4558,0.0119,0.7127,0.7137,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_lgbm,train,2.2779,11.3889,3.3747,0.0101,0.9843,0.9843,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_lgbm,test,2.6734,17.4143,4.173,0.0102,0.748,0.7481,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
AAPL_arima,train,2.8368,18.5578,4.3079,0.0127,0.9745,0.9745,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AAPL_arima,test,3.1064,20.3625,4.5125,0.0118,0.7054,0.7054,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AMD_linreg,train,3.0164,17.2591,4.1544,0.0208,0.9932,0.9932,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AMD_linreg,test,11.2362,240.6517,15.513,0.0514,0.4345,0.4345,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,0
AMD_linreg,train,3.3156,21.2974,4.6149,0.0224,0.9916,0.9916,2026-03-06T20:44:16.588836+00:00,2025-01-15 a 2026-03-04,2025-01-15 a 2026-01-06,2026-01-07 a 2026-03-04,2026-03-04,1
