ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,2.74,7.5075,2.74,0.009,,1.0
AMD,_NaiveModel,no_event_day,1,2.01,4.0401,2.01,0.0045,,1.0
AMZN,_NaiveModel,no_event_day,1,3.45,11.9024,3.45,0.0129,,1.0
ASML,_NaiveModel,no_event_day,1,41.87,1753.0965,41.87,0.0263,,1.0
AVGO,_NaiveModel,no_event_day,1,3.19,10.1761,3.19,0.0077,,1.0
BRK-B,_NaiveModel,no_event_day,1,0.92,0.8464,0.92,0.0019,,1.0
CAT,_NaiveModel,no_event_day,1,6.61,43.6919,6.61,0.0076,,1.0
COST,_NaiveModel,no_event_day,1,23.5601,555.0764,23.5601,0.0224,,1.0
CRM,_NaiveModel,no_event_day,1,3.79,14.3642,3.79,0.0215,,1.0
GOOGL,_NaiveModel,no_event_day,1,1.25,1.5625,1.25,0.0032,,1.0
JNJ,_NaiveModel,no_event_day,1,2.41,5.808,2.41,0.0104,,1.0
JPM,_NaiveModel,no_event_day,1,1.02,1.0404,1.02,0.0034,,1.0
LLY,_NaiveModel,no_event_day,1,22.78,518.9297,22.78,0.0219,,1.0
LMT,_NaiveModel,no_event_day,1,0.2,0.04,0.2,0.0004,,1.0
MA,_NaiveModel,no_event_day,1,1.58,2.4964,1.58,0.0032,,1.0
MCD,_NaiveModel,no_event_day,1,3.91,15.2881,3.91,0.0138,,1.0
META,_NaiveModel,no_event_day,1,2.32,5.3824,2.32,0.0038,,1.0
MRK,_NaiveModel,no_event_day,1,2.88,8.2944,2.88,0.0249,,1.0
MSFT,_NaiveModel,no_event_day,1,1.97,3.8809,1.97,0.0047,,1.0
NEE,_NaiveModel,no_event_day,1,1.42,2.0164,1.42,0.0158,,1.0
NVDA,_NaiveModel,no_event_day,1,3.96,15.6817,3.96,0.018,,1.0
ORCL,_NaiveModel,no_event_day,1,1.61,2.5921,1.61,0.0085,,1.0
PG,_NaiveModel,no_event_day,1,0.96,0.9216,0.96,0.0067,,1.0
PLTR,_NaiveModel,no_event_day,1,0.265,0.0702,0.265,0.0019,,1.0
TSLA,_NaiveModel,no_event_day,1,0.59,0.3481,0.59,0.0014,,1.0
TSM,_NaiveModel,no_event_day,1,5.53,30.5809,5.53,0.0136,,1.0
UNH,_NaiveModel,no_event_day,1,0.82,0.6724,0.82,0.0021,,1.0
V,_NaiveModel,no_event_day,1,0.37,0.1369,0.37,0.0011,,1.0
WMT,_NaiveModel,no_event_day,1,9.51,90.4403,9.51,0.0784,,1.0
XOM,_NaiveModel,no_event_day,1,0.99,0.9801,0.99,0.0064,,1.0
