ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,arima,65.13642130121683,64.9800033569336,-0.013580224662078422,-0.1699981689453125,-0.00020844550029187767,-0.0026093348421148657,True,2025-09-15,0.1564,0.0245,0.1564,0.0024,,1.0
BIMBOA.MX,lgbm,64.64763098698624,64.9800033569336,-0.5023705388926629,-0.1699981689453125,-0.007710982764798726,-0.0026093348421148657,True,2025-09-15,0.3324,0.1105,0.3324,0.0051,,1.0
BIMBOA.MX,xgb,64.92022475600243,64.9800033569336,-0.2297767698764801,-0.1699981689453125,-0.003526888173367242,-0.0026093348421148657,True,2025-09-15,0.0598,0.0036,0.0598,0.0009,,1.0
BIMBOA.MX,Top3Ensamble,64.90142568140183,64.9800033569336,-0.24857584447707382,-0.1699981689453125,-0.003815438812819282,-0.0026093348421148657,True,2025-09-15,0.0786,0.0062,0.0786,0.0012,,1.0
CEMEXCPO.MX,linreg,16.15100826206736,17.389999389648438,-1.1189921956963111,0.11999893188476562,-0.06479398761065301,0.006948403514999358,False,2025-09-15,1.239,1.5351,1.239,0.0712,,1.0
CEMEXCPO.MX,lgbm,17.232052551069586,17.389999389648438,-0.03794790669408599,0.11999893188476562,-0.0021973309605227385,0.006948403514999358,False,2025-09-15,0.1579,0.0249,0.1579,0.0091,,1.0
CEMEXCPO.MX,arima,17.275100012902147,17.389999389648438,0.005099555138475154,0.11999893188476562,0.0002952840187206055,0.006948403514999358,True,2025-09-15,0.1149,0.0132,0.1149,0.0066,,1.0
CEMEXCPO.MX,Top3Ensamble,16.8860536086797,17.389999389648438,-0.3839468490839728,0.11999893188476562,-0.022232011517484978,0.006948403514999358,False,2025-09-15,0.5039,0.254,0.5039,0.029,,1.0
EEM,rf,52.20275571569645,52.63999938964844,-0.057242605836755445,0.3800010681152344,-0.0010953426650450009,0.007271356301568398,False,2025-09-15,0.4372,0.1912,0.4372,0.0083,,1.0
EEM,lgbm,52.44097875427408,52.63999938964844,0.18098043274087416,0.3800010681152344,0.0034630776608024307,0.007271356301568398,True,2025-09-15,0.199,0.0396,0.199,0.0038,,1.0
EEM,arima,52.27228701609064,52.63999938964844,0.012288694557433644,0.3800010681152344,0.0002351453301208816,0.007271356301568398,True,2025-09-15,0.3677,0.1352,0.3677,0.007,,1.0
EEM,Top3Ensamble,52.305340495353725,52.63999938964844,0.04534217382052219,0.3800010681152344,0.0008676267752928612,0.007271356301568398,True,2025-09-15,0.3347,0.112,0.3347,0.0064,,1.0
GFNORTEO.MX,lgbm,180.2312410782424,184.88999938964844,-1.768758921757609,2.8899993896484375,-0.009718455614052797,0.015879117525540866,False,2025-09-15,4.6588,21.704,4.6588,0.0252,,1.0
GFNORTEO.MX,arima,181.9333753452504,184.88999938964844,-0.066624654749603,2.8899993896484375,-0.00036606953159122526,0.015879117525540866,False,2025-09-15,2.9566,8.7416,2.9566,0.016,,1.0
GFNORTEO.MX,Top3Ensamble,181.0823082117464,184.88999938964844,-0.9176917882535918,2.8899993896484375,-0.005042262572821933,0.015879117525540866,False,2025-09-15,3.8077,14.4985,3.8077,0.0206,,1.0
GLD,lgbm,335.016116639964,338.9100036621094,-0.4038967877703499,3.489990234375,-0.0012041523212727695,0.01040483601055878,False,2025-09-15,3.8939,15.1624,3.8939,0.0115,,1.0
GLD,arima,335.8519357400345,338.9100036621094,0.4319223123001166,3.489990234375,0.0012877058464287894,0.01040483601055878,True,2025-09-15,3.0581,9.3518,3.0581,0.009,,1.0
GLD,Top3Ensamble,335.43402618999926,338.9100036621094,0.01401276226488335,3.489990234375,4.1776762578009895e-05,0.01040483601055878,True,2025-09-15,3.476,12.0824,3.476,0.0103,,1.0
IEF,xgb,96.81427299976347,97.13999938964844,-0.1657303571701192,0.15999603271484375,-0.0017089126771851187,0.0016497837407365363,False,2025-09-15,0.3257,0.1061,0.3257,0.0034,,1.0
IEF,lgbm,96.82189955188502,97.13999938964844,-0.1581038050485688,0.15999603271484375,-0.0016302722167029617,0.0016497837407365363,False,2025-09-15,0.3181,0.1012,0.3181,0.0033,,1.0
IEF,rf,96.8213526966668,97.13999938964844,-0.15865066026678676,0.15999603271484375,-0.0016359110618183333,0.0016497837407365363,False,2025-09-15,0.3186,0.1015,0.3186,0.0033,,1.0
IEF,Top3Ensamble,96.81917508277178,97.13999938964844,-0.16082827416181544,0.15999603271484375,-0.001658365318568707,0.0016497837407365363,False,2025-09-15,0.3208,0.1029,0.3208,0.0033,,1.0
QQQ,lgbm,585.327288256204,591.6799926757812,-1.3326848883272078,5.02001953125,-0.0022716478869078795,0.00855694910348563,False,2025-09-15,6.3527,40.3569,6.3527,0.0107,,1.0
QQQ,arima,586.7390424011677,591.6799926757812,0.07906925663644415,5.02001953125,0.00013477867973952335,0.00855694910348563,True,2025-09-15,4.941,24.413,4.941,0.0084,,1.0
QQQ,xgb,580.9081320762634,591.6799926757812,-5.751841068267822,5.02001953125,-0.009804386410474918,0.00855694910348563,False,2025-09-15,10.7719,116.033,10.7719,0.0182,,1.0
QQQ,Top3Ensamble,584.3248209112118,591.6799926757812,-2.3351522333194907,5.02001953125,-0.00398041853921436,0.00855694910348563,False,2025-09-15,7.3552,54.0986,7.3552,0.0124,,1.0
SPY,xgb,652.1815090179443,660.9099731445312,-5.228464126586914,3.5,-0.007953125660047506,0.00532392288370491,False,2025-09-15,8.7285,76.1861,8.7285,0.0132,,1.0
