ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.13,1.2768,1.13,0.0036,,1.0
AMD,_NaiveModel,after_hours,1,4.26,18.1474,4.26,0.0089,,1.0
AMZN,_NaiveModel,after_hours,1,4.02,16.1603,4.02,0.0157,,1.0
ASML,_NaiveModel,after_hours,1,10.63,112.997,10.63,0.0061,,1.0
AVGO,_NaiveModel,after_hours,1,15.95,254.4029,15.95,0.0429,,1.0
BRK-B,_NaiveModel,after_hours,1,1.21,1.4641,1.21,0.0024,,1.0
CAT,_NaiveModel,after_hours,1,4.93,24.3048,4.93,0.006,,1.0
COST,_NaiveModel,after_hours,1,21.46,460.5325,21.46,0.023,,1.0
CRM,_NaiveModel,after_hours,1,46.43,2155.7456,46.43,0.1842,,1.0
GOOGL,_NaiveModel,after_hours,1,1.35,1.8225,1.35,0.004,,1.0
JNJ,_NaiveModel,after_hours,1,4.23,17.893,4.23,0.0159,,1.0
JPM,_NaiveModel,after_hours,1,2.28,5.1984,2.28,0.0064,,1.0
LLY,_NaiveModel,after_hours,1,13.3101,177.1577,13.3101,0.0113,,1.0
LMT,_NaiveModel,after_hours,1,0.27,0.0729,0.27,0.0005,,1.0
MA,_NaiveModel,after_hours,1,6.74,45.4275,6.74,0.0114,,1.0
MCD,_NaiveModel,after_hours,1,6.87,47.1968,6.87,0.0264,,1.0
META,_NaiveModel,after_hours,1,5.04,25.402,5.04,0.0088,,1.0
MRK,_NaiveModel,after_hours,1,3.56,12.6737,3.56,0.0238,,1.0
MSFT,_NaiveModel,after_hours,1,8.69,75.5161,8.69,0.0172,,1.0
NEE,_NaiveModel,after_hours,1,0.75,0.5625,0.75,0.009,,1.0
NVDA,_NaiveModel,after_hours,1,18.32,335.6221,18.32,0.0804,,1.0
ORCL,_NaiveModel,after_hours,1,3.07,9.4249,3.07,0.0202,,1.0
PG,_NaiveModel,after_hours,1,1.86,3.4596,1.86,0.013,,1.0
PLTR,_NaiveModel,after_hours,1,8.43,71.0648,8.43,0.0453,,1.0
TSLA,_NaiveModel,after_hours,1,8.99,80.8199,8.99,0.0253,,1.0
TSM,_NaiveModel,after_hours,1,9.61,92.3518,9.61,0.0225,,1.0
UNH,_NaiveModel,after_hours,1,5.96,35.5219,5.96,0.0151,,1.0
V,_NaiveModel,after_hours,1,4.24,17.9775,4.24,0.0112,,1.0
WMT,_NaiveModel,after_hours,1,1.71,2.9241,1.71,0.0167,,1.0
XOM,_NaiveModel,after_hours,1,1.75,3.0625,1.75,0.0112,,1.0
