model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
CEMEXCPO.MX_arima,train,0.198,0.0745,0.2729,0.0168,0.8522,0.8522,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_arima,test,0.1452,0.0351,0.1873,0.011,0.6704,0.6752,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
EEM_linreg,train,0.3528,0.2373,0.4872,0.0082,0.8772,0.8772,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_linreg,test,0.4706,0.3253,0.5704,0.01,0.6734,0.8562,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_rf,train,0.3519,0.2354,0.4852,0.0081,0.8782,0.8782,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_rf,test,0.2979,0.1574,0.3968,0.0064,0.842,0.8736,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_xgb,train,0.3411,0.2316,0.4812,0.0079,0.8802,0.8802,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_xgb,test,0.2752,0.1442,0.3798,0.0059,0.8552,0.8728,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lgbm,train,0.3527,0.2452,0.4952,0.0082,0.8731,0.8731,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lgbm,test,0.2747,0.1436,0.3789,0.0059,0.8559,0.8715,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lstm,train,0.8068,0.8635,0.9293,0.0186,0.5531,0.8569,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lstm,test,0.8672,0.8786,0.9373,0.0185,0.118,0.8729,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_arima,train,0.3745,0.2765,0.5258,0.0087,0.8569,0.8569,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_arima,test,0.2653,0.137,0.3702,0.0057,0.8625,0.8728,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GFNORTEO.MX_linreg,train,2.337,9.6598,3.108,0.016,0.8544,0.8544,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_linreg,test,4.5404,24.3166,4.9312,0.0263,-1.8362,0.5682,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_rf,train,2.2354,9.2243,3.0372,0.0153,0.861,0.8611,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_rf,test,2.1746,7.3067,2.7031,0.0126,0.1478,0.4541,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_xgb,train,2.2712,9.6239,3.1022,0.0156,0.855,0.855,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_xgb,test,1.8742,5.3376,2.3103,0.0109,0.3775,0.4432,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lgbm,train,2.3182,10.1141,3.1803,0.0159,0.8476,0.8476,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lgbm,test,1.8628,5.3862,2.3208,0.0108,0.3718,0.4328,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lstm,train,2.4394,11.2784,3.3583,0.0167,0.8301,0.8307,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lstm,test,1.7888,4.9635,2.2279,0.0104,0.4211,0.4233,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_arima,train,2.4276,11.1358,3.337,0.0166,0.8322,0.8322,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_arima,test,1.7131,4.5341,2.1293,0.0099,0.4712,0.4843,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GLD_linreg,train,2.0705,7.3041,2.7026,0.0082,0.9884,0.9884,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_linreg,test,3.1562,16.5503,4.0682,0.0104,0.3401,0.4411,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_rf,train,1.9781,6.8699,2.621,0.0079,0.9891,0.9891,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_rf,test,3.1145,15.3705,3.9205,0.0102,0.3872,0.4112,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_xgb,train,2.04,7.5338,2.7448,0.0081,0.988,0.988,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_xgb,test,3.1388,15.2901,3.9102,0.0103,0.3904,0.4042,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_lgbm,train,2.0145,7.3911,2.7187,0.008,0.9882,0.9882,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_lgbm,test,3.1709,15.5817,3.9474,0.0104,0.3788,0.3861,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_lstm,train,2.1499,8.2912,2.8794,0.0085,0.9868,0.9871,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_lstm,test,3.1464,14.6215,3.8238,0.0103,0.417,0.417,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_arima,train,2.1072,8.082,2.8429,0.0083,0.9871,0.9871,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_arima,test,3.1315,14.8325,3.8513,0.0103,0.4086,0.4176,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_linreg,train,0.2977,0.1486,0.3855,0.0031,0.9543,0.9543,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_linreg,test,0.3135,0.1423,0.3772,0.0033,0.6537,0.6537,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_rf,train,0.2828,0.1334,0.3653,0.003,0.959,0.959,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_rf,test,0.3174,0.1488,0.3858,0.0034,0.6377,0.65,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_xgb,train,0.2859,0.135,0.3674,0.003,0.9585,0.9585,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_xgb,test,0.3137,0.1469,0.3833,0.0033,0.6424,0.6512,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_lgbm,train,0.2918,0.1396,0.3736,0.0031,0.9571,0.9571,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_lgbm,test,0.3163,0.1456,0.3816,0.0034,0.6455,0.654,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_lstm,train,0.4302,0.2835,0.5325,0.0045,0.9129,0.9513,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_lstm,test,0.4094,0.2809,0.53,0.0043,0.3162,0.6425,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_arima,train,0.3057,0.1559,0.3948,0.0032,0.9521,0.9521,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
IEF_arima,test,0.3225,0.1512,0.3888,0.0034,0.632,0.6323,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_linreg,train,5.0062,52.3954,7.2385,0.0104,0.9231,0.9231,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_linreg,test,4.9103,39.4248,6.2789,0.0093,0.819,0.8802,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_rf,train,4.7892,48.318,6.9511,0.0099,0.9291,0.9291,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_rf,test,4.0362,29.9858,5.4759,0.0077,0.8623,0.8847,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_xgb,train,4.7951,49.703,7.05,0.01,0.927,0.927,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_xgb,test,3.9123,28.8422,5.3705,0.0074,0.8676,0.8849,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_lgbm,train,4.9357,52.5665,7.2503,0.0102,0.9228,0.9228,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_lgbm,test,3.9419,28.8552,5.3717,0.0075,0.8675,0.8838,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_lstm,train,5.26,56.5132,7.5175,0.0109,0.9171,0.9185,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_lstm,test,4.1565,31.2052,5.5862,0.0079,0.8567,0.8796,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_arima,train,5.0923,55.247,7.4328,0.0106,0.9189,0.9189,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
QQQ_arima,test,4.0574,31.4769,5.6104,0.0077,0.8555,0.8696,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_linreg,train,4.3403,41.5031,6.4423,0.0077,0.9395,0.9395,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_linreg,test,4.3727,31.6098,5.6223,0.0073,0.8139,0.8525,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_rf,train,4.1814,41.295,6.4261,0.0075,0.9398,0.9398,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_rf,test,3.7789,26.9245,5.1889,0.0063,0.8415,0.8579,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_xgb,train,4.2709,44.7856,6.6922,0.0076,0.9347,0.9347,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_xgb,test,3.6888,26.0525,5.1042,0.0062,0.8466,0.8601,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_lgbm,train,4.2819,44.8189,6.6947,0.0076,0.9347,0.9347,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
SPY_lgbm,test,3.7701,26.4368,5.1417,0.0063,0.8444,0.8585,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
