ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,Top3Ensamble,after_hours,1,1.9796,3.9188,1.9796,0.0078,,1.0
AAPL,arima,after_hours,1,1.3713,1.8803,1.3713,0.0054,,1.0
AAPL,lgbm,after_hours,1,3.6116,13.0439,3.6116,0.0143,,1.0
AAPL,linreg,after_hours,1,8.0419,64.6721,8.0419,0.0318,,1.0
AAPL,rf,after_hours,1,1.1731,1.3763,1.1731,0.0046,,1.0
AAPL,xgb,after_hours,1,1.154,1.3317,1.154,0.0046,,1.0
AMD,Top3Ensamble,after_hours,1,14.7841,218.5696,14.7841,0.0671,,1.0
AMD,arima,after_hours,1,14.3164,204.9593,14.3164,0.065,,1.0
AMD,lgbm,after_hours,1,15.9067,253.0236,15.9067,0.0722,,1.0
AMD,linreg,after_hours,1,15.3005,234.1059,15.3005,0.0695,,1.0
AMD,rf,after_hours,1,14.1292,199.6339,14.1292,0.0641,,1.0
AMD,xgb,after_hours,1,14.8798,221.4093,14.8798,0.0676,,1.0
AMZN,Top3Ensamble,after_hours,1,4.6195,21.3398,4.6195,0.0218,,1.0
AMZN,arima,after_hours,1,4.7912,22.956,4.7912,0.0226,,1.0
AMZN,lgbm,after_hours,1,4.3972,19.3356,4.3972,0.0208,,1.0
AMZN,linreg,after_hours,1,8.1356,66.1884,8.1356,0.0384,,1.0
AMZN,rf,after_hours,1,4.0197,16.1576,4.0197,0.019,,1.0
AMZN,xgb,after_hours,1,5.4416,29.6113,5.4416,0.0257,,1.0
ASML,Top3Ensamble,after_hours,1,6.0899,37.0873,6.0899,0.0044,,1.0
ASML,arima,after_hours,1,7.1756,51.4897,7.1756,0.0051,,1.0
ASML,lgbm,after_hours,1,2.9548,8.7306,2.9548,0.0021,,1.0
ASML,linreg,after_hours,1,115.4755,13334.5993,115.4755,0.0828,,1.0
ASML,rf,after_hours,1,5.8523,34.2495,5.8523,0.0042,,1.0
ASML,xgb,after_hours,1,5.2419,27.4771,5.2419,0.0038,,1.0
AVGO,Top3Ensamble,after_hours,1,0.1982,0.0393,0.1982,0.0006,,1.0
AVGO,arima,after_hours,1,0.0416,0.0017,0.0416,0.0001,,1.0
AVGO,lgbm,after_hours,1,1.1481,1.3182,1.1481,0.0036,,1.0
AVGO,linreg,after_hours,1,3.664,13.4246,3.664,0.0115,,1.0
AVGO,rf,after_hours,1,7.4341,55.2654,7.4341,0.0233,,1.0
AVGO,xgb,after_hours,1,0.5118,0.2619,0.5118,0.0016,,1.0
BRK-B,Top3Ensamble,after_hours,1,5.2339,27.3941,5.2339,0.011,,1.0
BRK-B,arima,after_hours,1,3.2816,10.769,3.2816,0.0069,,1.0
BRK-B,lgbm,after_hours,1,5.4785,30.0142,5.4785,0.0115,,1.0
BRK-B,linreg,after_hours,1,6.7963,46.1899,6.7963,0.0143,,1.0
BRK-B,rf,after_hours,1,3.427,11.7442,3.427,0.0072,,1.0
BRK-B,xgb,after_hours,1,7.7313,59.7725,7.7313,0.0162,,1.0
CAT,Top3Ensamble,after_hours,1,5.8012,33.6538,5.8012,0.0081,,1.0
CAT,arima,after_hours,1,1.3688,1.8736,1.3688,0.0019,,1.0
CAT,lgbm,after_hours,1,6.1426,37.7319,6.1426,0.0085,,1.0
CAT,linreg,after_hours,1,1.3139,1.7263,1.3139,0.0018,,1.0
CAT,rf,after_hours,1,9.8921,97.8546,9.8921,0.0138,,1.0
CAT,xgb,after_hours,1,21.953,481.9324,21.953,0.0305,,1.0
COST,Top3Ensamble,after_hours,1,3.5729,12.7658,3.5729,0.0037,,1.0
COST,arima,after_hours,1,0.9211,0.8485,0.9211,0.0009,,1.0
