model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
EEM_linreg,train,0.2338,0.095,0.3083,0.0055,0.967,0.967,2025-07-01T06:22:16.852763+00:00
EEM_linreg,test,0.2824,0.1433,0.3785,0.0059,0.4971,0.4995,2025-07-01T06:22:16.852763+00:00
EEM_rf,train,0.1236,0.0302,0.1739,0.0029,0.9895,0.9895,2025-07-01T06:22:16.852763+00:00
EEM_rf,test,1.321,1.9612,1.4004,0.0275,-5.8833,0.2418,2025-07-01T06:22:16.852763+00:00
EEM_xgb,train,0.0693,0.008,0.0895,0.0016,0.9972,0.9972,2025-07-01T06:22:16.852763+00:00
EEM_xgb,test,1.3257,1.9845,1.4087,0.0276,-5.9652,0.2031,2025-07-01T06:22:16.852763+00:00
EEM_lgbm,train,0.1718,0.0542,0.2328,0.004,0.9812,0.9812,2025-07-01T06:22:16.852763+00:00
EEM_lgbm,test,1.4432,2.3433,1.5308,0.03,-7.2245,0.0856,2025-07-01T06:22:16.852763+00:00
EEM_arima,train,0.3544,0.2507,0.5007,0.0083,0.9131,0.9131,2025-07-01T06:22:16.852763+00:00
EEM_arima,test,1.1976,1.6666,1.291,0.0249,-4.8493,-1.0098,2025-07-01T06:22:16.852763+00:00
GLD_linreg,train,1.6609,4.7058,2.1693,0.0064,0.9947,0.9947,2025-07-01T06:22:16.852763+00:00
GLD_linreg,test,3.432,13.8808,3.7257,0.0112,-0.6117,-0.3332,2025-07-01T06:22:16.852763+00:00
GLD_rf,train,2.4732,9.8441,3.1375,0.0098,0.9889,0.9889,2025-07-01T06:22:16.852763+00:00
GLD_rf,test,1.8174,7.0154,2.6487,0.006,0.1854,0.2439,2025-07-01T06:22:16.852763+00:00
GLD_xgb,train,1.0889,1.9625,1.4009,0.0043,0.9978,0.9978,2025-07-01T06:22:16.852763+00:00
GLD_xgb,test,3.1505,14.8889,3.8586,0.0103,-0.7288,0.0409,2025-07-01T06:22:16.852763+00:00
GLD_lgbm,train,1.5725,4.4383,2.1067,0.0061,0.995,0.995,2025-07-01T06:22:16.852763+00:00
GLD_lgbm,test,2.2728,10.1055,3.1789,0.0075,-0.1734,0.0078,2025-07-01T06:22:16.852763+00:00
GLD_arima,train,2.3876,13.8931,3.7273,0.0093,0.9844,0.9844,2025-07-01T06:22:16.852763+00:00
GLD_arima,test,6.3969,47.6841,6.9054,0.021,-4.5367,-1.0961,2025-07-01T06:22:16.852763+00:00
IEF_linreg,train,0.2156,0.0752,0.2742,0.0023,0.9766,0.9766,2025-07-01T06:22:16.852763+00:00
IEF_linreg,test,0.1157,0.0369,0.192,0.0012,0.5007,0.5722,2025-07-01T06:22:16.852763+00:00
IEF_rf,train,0.1736,0.052,0.228,0.0019,0.9838,0.9838,2025-07-01T06:22:16.852763+00:00
IEF_rf,test,0.3588,0.1606,0.4007,0.0038,-1.1743,0.4388,2025-07-01T06:22:16.852763+00:00
IEF_xgb,train,0.1464,0.0348,0.1865,0.0016,0.9892,0.9892,2025-07-01T06:22:16.852763+00:00
IEF_xgb,test,0.3229,0.1399,0.374,0.0034,-0.8945,0.4429,2025-07-01T06:22:16.852763+00:00
IEF_lgbm,train,0.1515,0.0362,0.1902,0.0016,0.9887,0.9887,2025-07-01T06:22:16.852763+00:00
IEF_lgbm,test,0.2229,0.0629,0.2508,0.0023,0.1481,0.3606,2025-07-01T06:22:16.852763+00:00
IEF_arima,train,0.3169,0.1868,0.4322,0.0034,0.9418,0.9419,2025-07-01T06:22:16.852763+00:00
IEF_arima,test,1.0497,1.2133,1.1015,0.011,-15.4304,-0.5104,2025-07-01T06:22:16.852763+00:00
QQQ_linreg,train,3.6129,23.3726,4.8345,0.0074,0.9689,0.9689,2025-07-01T06:22:16.852763+00:00
QQQ_linreg,test,4.0889,24.8802,4.988,0.0075,0.411,0.6642,2025-07-01T06:22:16.852763+00:00
QQQ_rf,train,2.8887,17.2928,4.1585,0.006,0.977,0.977,2025-07-01T06:22:16.852763+00:00
QQQ_rf,test,11.2654,165.9676,12.8828,0.0206,-2.9289,0.0754,2025-07-01T06:22:16.852763+00:00
QQQ_xgb,train,1.937,6.0208,2.4537,0.004,0.992,0.992,2025-07-01T06:22:16.852763+00:00
QQQ_xgb,test,12.0522,183.7599,13.5558,0.0221,-3.3501,0.0885,2025-07-01T06:22:16.852763+00:00
QQQ_lgbm,train,3.3005,19.5263,4.4189,0.0068,0.974,0.974,2025-07-01T06:22:16.852763+00:00
QQQ_lgbm,test,15.5576,284.4607,16.866,0.0285,-5.734,-0.0042,2025-07-01T06:22:16.852763+00:00
QQQ_arima,train,5.073,59.1825,7.693,0.0105,0.9212,0.9212,2025-07-01T06:22:16.852763+00:00
QQQ_arima,test,14.081,258.2162,16.0691,0.0258,-5.1127,-0.419,2025-07-01T06:22:16.852763+00:00
SPY_linreg,train,3.1021,17.594,4.1945,0.0055,0.9759,0.9759,2025-07-01T06:22:16.852763+00:00
SPY_linreg,test,3.0274,14.9709,3.8692,0.005,0.561,0.7505,2025-07-01T06:22:16.852763+00:00
SPY_rf,train,1.6227,6.0551,2.4607,0.0029,0.9917,0.9917,2025-07-01T06:22:16.852763+00:00
SPY_rf,test,12.8821,188.5511,13.7314,0.0211,-4.5288,0.3373,2025-07-01T06:22:16.852763+00:00
SPY_xgb,train,1.2661,2.7091,1.6459,0.0023,0.9963,0.9963,2025-07-01T06:22:16.852763+00:00
SPY_xgb,test,13.7906,222.8653,14.9287,0.0225,-5.535,0.0416,2025-07-01T06:22:16.852763+00:00
SPY_lgbm,train,3.783,28.1535,5.306,0.0068,0.9615,0.9615,2025-07-01T06:22:16.852763+00:00
SPY_lgbm,test,14.6583,236.2668,15.371,0.024,-5.9279,0.3725,2025-07-01T06:22:16.852763+00:00
SPY_arima,train,4.4499,52.3687,7.2366,0.008,0.9283,0.9284,2025-07-01T06:22:16.852763+00:00
SPY_arima,test,12.5385,212.5975,14.5807,0.0205,-5.2339,-0.6239,2025-07-01T06:22:16.852763+00:00
VNQ_linreg,train,0.4808,0.3766,0.6137,0.0055,0.9812,0.9812,2025-07-01T06:22:16.852763+00:00
VNQ_linreg,test,0.6925,0.6586,0.8115,0.0077,0.2199,0.2298,2025-07-01T06:22:16.852763+00:00
VNQ_rf,train,0.39,0.312,0.5586,0.0045,0.9844,0.9844,2025-07-01T06:22:16.852763+00:00
VNQ_rf,test,0.7019,0.6997,0.8365,0.0078,0.1713,0.1816,2025-07-01T06:22:16.852763+00:00
VNQ_xgb,train,0.4649,0.3618,0.6015,0.0053,0.9819,0.9819,2025-07-01T06:22:16.852763+00:00
VNQ_xgb,test,0.6093,0.6132,0.7831,0.0068,0.2737,0.3257,2025-07-01T06:22:16.852763+00:00
VNQ_lgbm,train,0.5622,0.5759,0.7589,0.0064,0.9712,0.9712,2025-07-01T06:22:16.852763+00:00
VNQ_lgbm,test,0.6896,0.7285,0.8535,0.0077,0.1372,0.1853,2025-07-01T06:22:16.852763+00:00
VNQ_arima,train,0.7258,1.1172,1.057,0.0083,0.9442,0.9442,2025-07-01T06:22:16.852763+00:00
