ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,5.7,32.4898,5.7,0.0172,,1.0
AMD,_NaiveModel,after_hours,1,12.53,157.0009,12.53,0.0243,,1.0
AMZN,_NaiveModel,after_hours,1,4.89,23.9121,4.89,0.019,,1.0
ASML,_NaiveModel,after_hours,1,10.87,118.1568,10.87,0.0064,,1.0
AVGO,_NaiveModel,after_hours,1,1.16,1.3456,1.16,0.0032,,1.0
BRK-B,_NaiveModel,after_hours,1,3.37,11.3569,3.37,0.0066,,1.0
CAT,_NaiveModel,after_hours,1,13.57,184.1451,13.57,0.0166,,1.0
COST,_NaiveModel,after_hours,1,2.39,5.7122,2.39,0.0026,,1.0
CRM,_NaiveModel,after_hours,1,4.72,22.2784,4.72,0.0191,,1.0
GOOGL,_NaiveModel,after_hours,1,5.9,34.8099,5.9,0.0174,,1.0
JNJ,_NaiveModel,after_hours,1,0.77,0.5929,0.77,0.0029,,1.0
JPM,_NaiveModel,after_hours,1,2.67,7.129,2.67,0.0075,,1.0
LLY,_NaiveModel,after_hours,1,7.3,53.2907,7.3,0.0065,,1.0
LMT,_NaiveModel,after_hours,1,5.93,35.1648,5.93,0.0113,,1.0
MA,_NaiveModel,after_hours,1,3.82,14.5925,3.82,0.0067,,1.0
MCD,_NaiveModel,after_hours,1,0.52,0.2704,0.52,0.0021,,1.0
META,_NaiveModel,after_hours,1,3.65,13.3227,3.65,0.0056,,1.0
MRK,_NaiveModel,after_hours,1,0.78,0.6084,0.78,0.0054,,1.0
MSFT,_NaiveModel,after_hours,1,3.19,10.1761,3.19,0.0064,,1.0
NEE,_NaiveModel,after_hours,1,0.13,0.0169,0.13,0.0016,,1.0
NVDA,_NaiveModel,after_hours,1,0.07,0.0049,0.07,0.0003,,1.0
ORCL,_NaiveModel,after_hours,1,2.66,7.0756,2.66,0.0177,,1.0
PG,_NaiveModel,after_hours,1,2.3,5.29,2.3,0.0158,,1.0
PLTR,_NaiveModel,after_hours,1,1.37,1.8769,1.37,0.0082,,1.0
TSLA,_NaiveModel,after_hours,1,1.88,3.5344,1.88,0.0051,,1.0
TSM,_NaiveModel,after_hours,1,5.21,27.144,5.21,0.012,,1.0
UNH,_NaiveModel,after_hours,1,9.19,84.4561,9.19,0.0242,,1.0
V,_NaiveModel,after_hours,1,3.24,10.4977,3.24,0.0087,,1.0
WMT,_NaiveModel,after_hours,1,1.42,2.0164,1.42,0.0133,,1.0
XOM,_NaiveModel,after_hours,1,0.76,0.5776,0.76,0.0046,,1.0
