ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,xgb,58.53525909781456,58.0,-0.2847405970096588,-0.8199996948242188,-0.004840880627116259,-0.013940831334216641,True,2025-08-26,0.5353,0.2865,0.5353,0.0092,,1.0
BIMBOA.MX,lgbm,58.17724374117693,58.0,-0.6427559536472884,-0.8199996948242188,-0.010927506919110827,-0.013940831334216641,True,2025-08-26,0.1772,0.0314,0.1772,0.0031,,1.0
BIMBOA.MX,arima,58.98641977533793,58.0,0.16642008051370993,-0.8199996948242188,0.0028293111420800267,-0.013940831334216641,False,2025-08-26,0.9864,0.973,0.9864,0.017,,1.0
BIMBOA.MX,Top3Ensamble,58.56630753810981,58.0,-0.2536921567144077,-0.8199996948242188,-0.00431302546804894,-0.013940831334216641,True,2025-08-26,0.5663,0.3207,0.5663,0.0098,,1.0
CEMEXCPO.MX,arima,16.575099249962694,16.690000534057617,0.06509902108085797,0.18000030517578125,0.003943005462045768,0.010902501676583685,True,2025-08-26,0.1149,0.0132,0.1149,0.0069,,1.0
CEMEXCPO.MX,lgbm,16.41504123875388,16.690000534057617,-0.09495899012795661,0.18000030517578125,-0.0057516044101465075,0.010902501676583685,False,2025-08-26,0.275,0.0756,0.275,0.0165,,1.0
CEMEXCPO.MX,linreg,15.413355823382464,16.690000534057617,-1.0966444054993723,0.18000030517578125,-0.06642303999372168,0.010902501676583685,False,2025-08-26,1.2766,1.6298,1.2766,0.0765,,1.0
CEMEXCPO.MX,Top3Ensamble,16.13449877069968,16.690000534057617,-0.37550145818215697,0.18000030517578125,-0.02274387964727414,0.010902501676583685,False,2025-08-26,0.5555,0.3086,0.5555,0.0333,,1.0
EEM,rf,50.25651482908839,50.209999084472656,-0.08348532349950233,-0.13000106811523438,-0.0016584291467311506,-0.0025824606221927326,True,2025-08-26,0.0465,0.0022,0.0465,0.0009,,1.0
EEM,lgbm,50.31049452929026,50.209999084472656,-0.029505623297630734,-0.13000106811523438,-0.0005861268019109035,-0.0025824606221927326,True,2025-08-26,0.1005,0.0101,0.1005,0.002,,1.0
EEM,arima,50.35228884714533,50.209999084472656,0.012288694557440749,-0.13000106811523438,0.00024411391577655784,-0.0025824606221927326,False,2025-08-26,0.1423,0.0202,0.1423,0.0028,,1.0
EEM,Top3Ensamble,50.30643273517466,50.209999084472656,-0.03356741741323077,-0.13000106811523438,-0.0006668140109551654,-0.0025824606221927326,True,2025-08-26,0.0964,0.0093,0.0964,0.0019,,1.0
GFNORTEO.MX,lgbm,165.2395010507713,166.1699981689453,-0.8004922353615029,0.1300048828125,-0.004821080870450491,0.0007829733080539557,False,2025-08-26,0.9305,0.8658,0.9305,0.0056,,1.0
GFNORTEO.MX,arima,166.1533765659535,166.1699981689453,0.11338327982068108,0.1300048828125,0.0006828672874329159,0.0007829733080539557,True,2025-08-26,0.0166,0.0003,0.0166,0.0001,,1.0
GFNORTEO.MX,Top3Ensamble,165.69643880836242,166.1699981689453,-0.3435544777703967,0.1300048828125,-0.002069106791508702,0.0007829733080539557,False,2025-08-26,0.4736,0.2243,0.4736,0.0028,,1.0
GLD,arima,310.26190888456574,312.0799865722656,0.4319223123001166,2.25,0.0013940623277901275,0.00726204724369119,True,2025-08-26,1.8181,3.3054,1.8181,0.0058,,1.0
GLD,lgbm,310.0666253062391,312.0799865722656,0.23663873397345014,2.25,0.0007637696292455406,0.00726204724369119,True,2025-08-26,2.0134,4.0536,2.0134,0.0065,,1.0
GLD,Top3Ensamble,310.1642670954024,312.0799865722656,0.33428052313678336,2.25,0.001078915978517834,0.00726204724369119,True,2025-08-26,1.9157,3.67,1.9157,0.0061,,1.0
IEF,xgb,95.50727480649948,95.83000183105467,-0.07272702455519209,0.25,-0.0007609021046446823,0.0026156099101347064,False,2025-08-26,0.3227,0.1042,0.3227,0.0034,,1.0
IEF,rf,95.56748953837022,95.83000183105467,-0.012512292684448312,0.25,-0.00013090910697579597,0.0026156099101347064,False,2025-08-26,0.2625,0.0689,0.2625,0.0027,,1.0
IEF,lgbm,95.44780304460252,95.83000183105467,-0.13219878645215033,0.25,-0.0013831218238081048,0.0026156099101347064,False,2025-08-26,0.3822,0.1461,0.3822,0.004,,1.0
IEF,Top3Ensamble,95.5075224631574,95.83000183105467,-0.07247936789727305,0.25,-0.0007583110118096267,0.0026156099101347064,False,2025-08-26,0.3225,0.104,0.3225,0.0034,,1.0
QQQ,lgbm,565.3266868913106,572.6099853515625,-4.993320432908149,2.28997802734375,-0.00875529591945302,0.00401525108348852,False,2025-08-26,7.2833,53.0464,7.2833,0.0127,,1.0
QQQ,xgb,568.6416445970535,572.6099853515625,-1.6783627271652222,2.28997802734375,-0.0029428438518922535,0.00401525108348852,False,2025-08-26,3.9683,15.7477,3.9683,0.0069,,1.0
QQQ,arima,570.3990765808552,572.6099853515625,0.07906925663644415,2.28997802734375,0.00013864015924570995,0.00401525108348852,True,2025-08-26,2.2109,4.8881,2.2109,0.0039,,1.0
QQQ,Top3Ensamble,568.1224693564064,572.6099853515625,-2.197537967812309,2.28997802734375,-0.0038531665373665214,0.00401525108348852,False,2025-08-26,4.4875,20.1378,4.4875,0.0078,,1.0
SPY,arima,642.6890884371843,645.1599731445312,0.2191177340592958,2.69000244140625,0.00034105521510910674,0.004186969919329127,True,2025-08-26,2.4709,6.1053,2.4709,0.0038,,1.0
SPY,lgbm,641.7999693880513,645.1599731445312,-0.670001315073705,2.69000244140625,-0.0010428523442744715,0.004186969919329127,False,2025-08-26,3.36,11.2896,3.36,0.0052,,1.0
SPY,xgb,641.6068440675735,645.1599731445312,-0.8631266355514526,2.69000244140625,-0.0013434505500807127,0.004186969919329127,False,2025-08-26,3.5531,12.6247,3.5531,0.0055,,1.0
SPY,Top3Ensamble,642.031967297603,645.1599731445312,-0.43800340552195394,2.69000244140625,-0.0006817492264153592,0.004186969919329127,False,2025-08-26,3.128,9.7844,3.128,0.0048,,1.0
VNQ,rf,91.63518517090206,91.41000366210938,-0.014816354976844082,-0.23999786376953125,-0.00016166235384797498,-0.0026186345856389743,True,2025-08-26,0.2252,0.0507,0.2252,0.0025,,1.0
VNQ,xgb,91.62882864661516,91.41000366210938,-0.02117287926374445,-0.23999786376953125,-0.00023101886427973417,-0.0026186345856389743,True,2025-08-26,0.2188,0.0479,0.2188,0.0024,,1.0
VNQ,lgbm,91.52728235475146,91.41000366210938,-0.1227191711274429,-0.23999786376953125,-0.0013389980260152107,-0.0026186345856389743,True,2025-08-26,0.1173,0.0138,0.1173,0.0013,,1.0
VNQ,Top3Ensamble,91.59709872408956,91.41000366210938,-0.05290280178934381,-0.23999786376953125,-0.0005772264147143066,-0.0026186345856389743,True,2025-08-26,0.1871,0.035,0.1871,0.002,,1.0
WALMEX.MX,linreg,57.68084013226218,55.18000030517578,1.770840284850074,-0.7299995422363281,0.031673051147969915,-0.013056690113193005,False,2025-08-26,2.5008,6.2542,2.5008,0.0453,,1.0
WALMEX.MX,rf,56.116867492383136,55.18000030517578,0.20686764497102672,-0.7299995422363281,0.0037000115459775297,-0.013056690113193005,False,2025-08-26,0.9369,0.8777,0.9369,0.017,,1.0
WALMEX.MX,arima,55.71704224242357,55.18000030517578,-0.19295760498854264,-0.7299995422363281,-0.0034512181276186143,-0.013056690113193005,True,2025-08-26,0.537,0.2884,0.537,0.0097,,1.0
WALMEX.MX,Top3Ensamble,56.50491662235629,55.18000030517578,0.5949167749441813,-0.7299995422363281,0.010640614855442859,-0.013056690113193005,False,2025-08-26,1.3249,1.7554,1.3249,0.024,,1.0
