ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.74,3.0276,1.74,0.0053,,1.0
AMD,_NaiveModel,after_hours,1,10.79,116.4243,10.79,0.0214,,1.0
AMZN,_NaiveModel,after_hours,1,5.12,26.2144,5.12,0.0206,,1.0
ASML,_NaiveModel,after_hours,1,16.33,266.6675,16.33,0.0103,,1.0
AVGO,_NaiveModel,after_hours,1,5.45,29.7026,5.45,0.0161,,1.0
BRK-B,_NaiveModel,after_hours,1,1.81,3.2761,1.81,0.0035,,1.0
CAT,_NaiveModel,after_hours,1,0.46,0.2116,0.46,0.0006,,1.0
COST,_NaiveModel,after_hours,1,17.56,308.3535,17.56,0.0195,,1.0
CRM,_NaiveModel,after_hours,1,3.78,14.2884,3.78,0.0148,,1.0
GOOGL,_NaiveModel,after_hours,1,4.41,19.4481,4.41,0.0128,,1.0
JNJ,_NaiveModel,after_hours,1,0.88,0.7744,0.88,0.0033,,1.0
JPM,_NaiveModel,after_hours,1,2.36,5.5695,2.36,0.0067,,1.0
LLY,_NaiveModel,after_hours,1,2.17,4.7091,2.17,0.0019,,1.0
LMT,_NaiveModel,after_hours,1,4.08,16.6465,4.08,0.0076,,1.0
MA,_NaiveModel,after_hours,1,1.15,1.3224,1.15,0.002,,1.0
MCD,_NaiveModel,after_hours,1,4.71,22.184,4.71,0.0186,,1.0
META,_NaiveModel,after_hours,1,4.64,21.5297,4.64,0.0069,,1.0
MRK,_NaiveModel,after_hours,1,1.06,1.1236,1.06,0.0074,,1.0
MSFT,_NaiveModel,after_hours,1,8.29,68.7242,8.29,0.0167,,1.0
NEE,_NaiveModel,after_hours,1,0.56,0.3136,0.56,0.0069,,1.0
NVDA,_NaiveModel,after_hours,1,1.21,1.4641,1.21,0.0057,,1.0
ORCL,_NaiveModel,after_hours,1,4.44,19.7135,4.44,0.0316,,1.0
PG,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.0037,,1.0
PLTR,_NaiveModel,after_hours,1,0.75,0.5625,0.75,0.0043,,1.0
TSLA,_NaiveModel,after_hours,1,2.39,5.7122,2.39,0.0067,,1.0
TSM,_NaiveModel,after_hours,1,4.26,18.1477,4.26,0.0103,,1.0
UNH,_NaiveModel,after_hours,1,7.62,58.0643,7.62,0.0203,,1.0
V,_NaiveModel,after_hours,1,0.34,0.1156,0.34,0.0009,,1.0
WMT,_NaiveModel,after_hours,1,0.99,0.9801,0.99,0.0092,,1.0
XOM,_NaiveModel,after_hours,1,4.24,17.9776,4.24,0.025,,1.0
