ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,0.81,0.6561,0.81,0.0024,,1.0
AMD,_NaiveModel,after_hours,1,22.72,516.1985,22.72,0.046,,1.0
AMZN,_NaiveModel,after_hours,1,3.24,10.4976,3.24,0.0128,,1.0
ASML,_NaiveModel,after_hours,1,123.15,15165.9285,123.15,0.0782,,1.0
AVGO,_NaiveModel,after_hours,1,17.27,298.2525,17.27,0.0501,,1.0
BRK-B,_NaiveModel,after_hours,1,4.58,20.9766,4.58,0.0089,,1.0
CAT,_NaiveModel,after_hours,1,34.57,1195.0854,34.57,0.0441,,1.0
COST,_NaiveModel,after_hours,1,14.14,199.9383,14.14,0.0154,,1.0
CRM,_NaiveModel,after_hours,1,11.71,137.1239,11.71,0.0451,,1.0
GOOGL,_NaiveModel,after_hours,1,10.89,118.5924,10.89,0.0312,,1.0
JNJ,_NaiveModel,after_hours,1,0.74,0.5476,0.74,0.0028,,1.0
JPM,_NaiveModel,after_hours,1,6.1,37.2101,6.1,0.0174,,1.0
LLY,_NaiveModel,after_hours,1,22.5801,509.8599,22.5801,0.0198,,1.0
LMT,_NaiveModel,after_hours,1,5.19,26.9361,5.19,0.0098,,1.0
MA,_NaiveModel,after_hours,1,5.23,27.3527,5.23,0.0091,,1.0
MCD,_NaiveModel,after_hours,1,4.96,24.6015,4.96,0.0193,,1.0
META,_NaiveModel,after_hours,1,17.5699,308.703,17.5699,0.0264,,1.0
MRK,_NaiveModel,after_hours,1,0.92,0.8464,0.92,0.0064,,1.0
MSFT,_NaiveModel,after_hours,1,9.78,95.6484,9.78,0.0194,,1.0
NEE,_NaiveModel,after_hours,1,0.68,0.4624,0.68,0.0083,,1.0
NVDA,_NaiveModel,after_hours,1,7.33,53.7287,7.33,0.0347,,1.0
ORCL,_NaiveModel,after_hours,1,5.49,30.1402,5.49,0.0379,,1.0
PG,_NaiveModel,after_hours,1,0.86,0.7396,0.86,0.0059,,1.0
PLTR,_NaiveModel,after_hours,1,6.08,36.9664,6.08,0.0351,,1.0
TSLA,_NaiveModel,after_hours,1,6.47,41.8609,6.47,0.018,,1.0
TSM,_NaiveModel,after_hours,1,15.23,231.9523,15.23,0.0364,,1.0
UNH,_NaiveModel,after_hours,1,4.46,19.8915,4.46,0.0116,,1.0
V,_NaiveModel,after_hours,1,4.83,23.3288,4.83,0.0129,,1.0
WMT,_NaiveModel,after_hours,1,1.93,3.7249,1.93,0.0177,,1.0
XOM,_NaiveModel,after_hours,1,0.91,0.8281,0.91,0.0055,,1.0
