ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,1.62,2.6244,1.62,0.0052,,1.0
AMD,_NaiveModel,after_hours,1,36.53,1334.443,36.53,0.0758,,1.0
AMZN,_NaiveModel,after_hours,1,4.77,22.7531,4.77,0.0175,,1.0
ASML,_NaiveModel,after_hours,1,33.67,1133.6719,33.67,0.0201,,1.0
AVGO,_NaiveModel,after_hours,1,0.12,0.0144,0.12,0.0003,,1.0
BRK-B,_NaiveModel,after_hours,1,1.63,2.6569,1.63,0.0031,,1.0
CAT,_NaiveModel,after_hours,1,5.46,29.8112,5.46,0.0063,,1.0
COST,_NaiveModel,after_hours,1,5.86,34.3394,5.86,0.0062,,1.0
CRM,_NaiveModel,after_hours,1,1.99,3.9601,1.99,0.0103,,1.0
GOOGL,_NaiveModel,after_hours,1,15.22,231.6484,15.22,0.042,,1.0
JNJ,_NaiveModel,after_hours,1,2.66,7.0756,2.66,0.0103,,1.0
JPM,_NaiveModel,after_hours,1,1.72,2.9584,1.72,0.0048,,1.0
LLY,_NaiveModel,after_hours,1,54.1799,2935.465,54.1799,0.0463,,1.0
LMT,_NaiveModel,after_hours,1,11.73,137.5939,11.73,0.0203,,1.0
MA,_NaiveModel,after_hours,1,0.62,0.3844,0.62,0.0011,,1.0
MCD,_NaiveModel,after_hours,1,5.66,32.0356,5.66,0.0207,,1.0
META,_NaiveModel,after_hours,1,0.83,0.6889,0.83,0.0014,,1.0
MRK,_NaiveModel,after_hours,1,0.33,0.1089,0.33,0.0026,,1.0
MSFT,_NaiveModel,after_hours,1,5.35,28.6226,5.35,0.011,,1.0
NEE,_NaiveModel,after_hours,1,1.29,1.6641,1.29,0.015,,1.0
NVDA,_NaiveModel,after_hours,1,7.28,52.9984,7.28,0.0332,,1.0
ORCL,_NaiveModel,after_hours,1,1.35,1.8225,1.35,0.0093,,1.0
PG,_NaiveModel,after_hours,1,1.21,1.4641,1.21,0.0082,,1.0
PLTR,_NaiveModel,after_hours,1,4.23,17.893,4.23,0.0267,,1.0
TSLA,_NaiveModel,after_hours,1,5.8,33.6402,5.8,0.018,,1.0
TSM,_NaiveModel,after_hours,1,3.17,10.049,3.17,0.0077,,1.0
UNH,_NaiveModel,after_hours,1,5.2,27.0401,5.2,0.0126,,1.0
V,_NaiveModel,after_hours,1,1.05,1.1025,1.05,0.0028,,1.0
WMT,_NaiveModel,after_hours,1,0.79,0.6241,0.79,0.007,,1.0
XOM,_NaiveModel,after_hours,1,2.33,5.4289,2.33,0.0154,,1.0
