ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,2.71,7.3442,2.71,0.0092,,1.0
AMD,_NaiveModel,no_event_day,1,31.78,1009.9703,31.78,0.0611,,1.0
AMZN,_NaiveModel,no_event_day,1,1.32,1.7424,1.32,0.0056,,1.0
ASML,_NaiveModel,no_event_day,1,150.79,22737.6359,150.79,0.0848,,1.0
AVGO,_NaiveModel,no_event_day,1,11.98,143.5207,11.98,0.0315,,1.0
BRK-B,_NaiveModel,no_event_day,1,4.12,16.9744,4.12,0.0084,,1.0
CAT,_NaiveModel,no_event_day,1,38.04,1447.0446,38.04,0.0386,,1.0
COST,_NaiveModel,no_event_day,1,6.33,40.0691,6.33,0.0066,,1.0
CRM,_NaiveModel,no_event_day,1,3.3,10.89,3.3,0.0215,,1.0
GOOGL,_NaiveModel,no_event_day,1,3.55,12.6024,3.55,0.0103,,1.0
JNJ,_NaiveModel,no_event_day,1,7.79,60.6842,7.79,0.0326,,1.0
JPM,_NaiveModel,no_event_day,1,2.66,7.0756,2.66,0.008,,1.0
LLY,_NaiveModel,no_event_day,1,5.0,25.0,5.0,0.0045,,1.0
LMT,_NaiveModel,no_event_day,1,10.07,101.405,10.07,0.02,,1.0
MA,_NaiveModel,no_event_day,1,3.98,15.8405,3.98,0.0082,,1.0
MCD,_NaiveModel,no_event_day,1,1.56,2.4336,1.56,0.0057,,1.0
META,_NaiveModel,no_event_day,1,1.65,2.7224,1.65,0.0029,,1.0
MRK,_NaiveModel,no_event_day,1,4.12,16.9744,4.12,0.0344,,1.0
MSFT,_NaiveModel,no_event_day,1,6.6,43.5601,6.6,0.0176,,1.0
NEE,_NaiveModel,no_event_day,1,0.35,0.1225,0.35,0.004,,1.0
NVDA,_NaiveModel,no_event_day,1,8.61,74.1321,8.61,0.043,,1.0
ORCL,_NaiveModel,no_event_day,1,9.91,98.2082,9.91,0.06,,1.0
PG,_NaiveModel,no_event_day,1,3.18,10.1125,3.18,0.0211,,1.0
PLTR,_NaiveModel,no_event_day,1,2.8,7.84,2.8,0.024,,1.0
TSLA,_NaiveModel,no_event_day,1,23.44,549.4337,23.44,0.0614,,1.0
TSM,_NaiveModel,no_event_day,1,31.28,978.4383,31.28,0.0717,,1.0
UNH,_NaiveModel,no_event_day,1,2.57,6.6049,2.57,0.0063,,1.0
V,_NaiveModel,no_event_day,1,1.88,3.5344,1.88,0.0057,,1.0
WMT,_NaiveModel,no_event_day,1,2.24,5.0176,2.24,0.0188,,1.0
XOM,_NaiveModel,no_event_day,1,1.26,1.5876,1.26,0.009,,1.0
