ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,4.94,24.4036,4.94,0.0159,,1.0
AMD,_NaiveModel,after_hours,1,20.98,440.1621,20.98,0.0387,,1.0
AMZN,_NaiveModel,after_hours,1,6.5,42.2498,6.5,0.026,,1.0
ASML,_NaiveModel,after_hours,1,20.99,440.5797,20.99,0.0122,,1.0
AVGO,_NaiveModel,after_hours,1,2.34,5.4756,2.34,0.0049,,1.0
BRK-B,_NaiveModel,after_hours,1,3.86,14.8995,3.86,0.0081,,1.0
CAT,_NaiveModel,after_hours,1,16.37,267.9767,16.37,0.0177,,1.0
COST,_NaiveModel,after_hours,1,7.56,57.1536,7.56,0.0079,,1.0
CRM,_NaiveModel,after_hours,1,10.23,104.6528,10.23,0.0537,,1.0
GOOGL,_NaiveModel,after_hours,1,2.86,8.1797,2.86,0.008,,1.0
JNJ,_NaiveModel,after_hours,1,0.35,0.1225,0.35,0.0016,,1.0
JPM,_NaiveModel,after_hours,1,0.11,0.0121,0.11,0.0004,,1.0
LLY,_NaiveModel,after_hours,1,14.63,214.037,14.63,0.0136,,1.0
LMT,_NaiveModel,after_hours,1,1.4,1.9599,1.4,0.0027,,1.0
MA,_NaiveModel,after_hours,1,6.13,37.577,6.13,0.013,,1.0
MCD,_NaiveModel,after_hours,1,3.07,9.4248,3.07,0.0112,,1.0
META,_NaiveModel,after_hours,1,25.35,642.6213,25.35,0.0407,,1.0
MRK,_NaiveModel,after_hours,1,0.95,0.9025,0.95,0.0083,,1.0
MSFT,_NaiveModel,after_hours,1,13.97,195.1609,13.97,0.0327,,1.0
NEE,_NaiveModel,after_hours,1,1.1,1.21,1.1,0.013,,1.0
NVDA,_NaiveModel,after_hours,1,8.07,65.125,8.07,0.0376,,1.0
ORCL,_NaiveModel,after_hours,1,14.25,203.0625,14.25,0.0619,,1.0
PG,_NaiveModel,after_hours,1,0.63,0.3969,0.63,0.0045,,1.0
PLTR,_NaiveModel,after_hours,1,9.97,99.4009,9.97,0.0701,,1.0
TSLA,_NaiveModel,after_hours,1,0.04,0.0016,0.04,0.0001,,1.0
TSM,_NaiveModel,after_hours,1,10.0,100.0,10.0,0.0229,,1.0
UNH,_NaiveModel,after_hours,1,0.92,0.8464,0.92,0.0024,,1.0
V,_NaiveModel,after_hours,1,4.92,24.2065,4.92,0.0157,,1.0
WMT,_NaiveModel,after_hours,1,3.83,14.6689,3.83,0.0328,,1.0
XOM,_NaiveModel,after_hours,1,2.97,8.8209,2.97,0.0195,,1.0
