ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,5.76,33.1777,5.76,0.0173,,1.0
AMD,_NaiveModel,after_hours,1,28.2,795.2407,28.2,0.0563,,1.0
AMZN,_NaiveModel,after_hours,1,5.07,25.705,5.07,0.0203,,1.0
ASML,_NaiveModel,after_hours,1,30.4,924.1615,30.4,0.017,,1.0
AVGO,_NaiveModel,after_hours,1,19.83,393.2284,19.83,0.053,,1.0
BRK-B,_NaiveModel,after_hours,1,4.77,22.7528,4.77,0.0097,,1.0
CAT,_NaiveModel,after_hours,1,37.13,1378.6373,37.13,0.0423,,1.0
COST,_NaiveModel,after_hours,1,29.03,842.7426,29.03,0.0307,,1.0
CRM,_NaiveModel,after_hours,1,5.68,32.2623,5.68,0.0329,,1.0
GOOGL,_NaiveModel,after_hours,1,16.46,270.9323,16.46,0.0464,,1.0
JNJ,_NaiveModel,after_hours,1,2.95,8.7025,2.95,0.0118,,1.0
JPM,_NaiveModel,after_hours,1,3.76,14.1377,3.76,0.011,,1.0
LLY,_NaiveModel,after_hours,1,12.54,157.2526,12.54,0.0107,,1.0
LMT,_NaiveModel,after_hours,1,0.94,0.8836,0.94,0.0018,,1.0
MA,_NaiveModel,after_hours,1,16.33,266.6675,16.33,0.0296,,1.0
MCD,_NaiveModel,after_hours,1,8.51,72.4197,8.51,0.0311,,1.0
META,_NaiveModel,after_hours,1,16.77,281.2336,16.77,0.0252,,1.0
MRK,_NaiveModel,after_hours,1,4.02,16.1604,4.02,0.0315,,1.0
MSFT,_NaiveModel,after_hours,1,5.47,29.9209,5.47,0.0136,,1.0
NEE,_NaiveModel,after_hours,1,0.25,0.0625,0.25,0.0028,,1.0
NVDA,_NaiveModel,after_hours,1,5.1,26.0101,5.1,0.0246,,1.0
ORCL,_NaiveModel,after_hours,1,8.28,68.5585,8.28,0.0667,,1.0
PG,_NaiveModel,after_hours,1,3.45,11.9025,3.45,0.0228,,1.0
PLTR,_NaiveModel,after_hours,1,0.68,0.4624,0.68,0.0051,,1.0
TSLA,_NaiveModel,after_hours,1,3.4,11.56,3.4,0.0087,,1.0
TSM,_NaiveModel,after_hours,1,9.74,94.868,9.74,0.0238,,1.0
UNH,_NaiveModel,after_hours,1,4.86,23.6198,4.86,0.0115,,1.0
V,_NaiveModel,after_hours,1,10.0,100.0,10.0,0.0274,,1.0
WMT,_NaiveModel,after_hours,1,2.42,5.8564,2.42,0.0211,,1.0
XOM,_NaiveModel,after_hours,1,1.44,2.0736,1.44,0.0099,,1.0
