ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,5.88,34.5745,5.88,0.02,,1.0
AMD,_NaiveModel,no_event_day,1,46.73,2183.6939,46.73,0.1027,,1.0
AMZN,_NaiveModel,no_event_day,1,1.51,2.28,1.51,0.0055,,1.0
ASML,_NaiveModel,no_event_day,1,75.42,5688.183,75.42,0.0474,,1.0
AVGO,_NaiveModel,no_event_day,1,17.44,304.1537,17.44,0.0406,,1.0
BRK-B,_NaiveModel,no_event_day,1,0.86,0.7396,0.86,0.0018,,1.0
CAT,_NaiveModel,no_event_day,1,1.76,3.0976,1.76,0.002,,1.0
COST,_NaiveModel,no_event_day,1,3.27,10.693,3.27,0.0032,,1.0
CRM,_NaiveModel,no_event_day,1,4.52,20.4303,4.52,0.0249,,1.0
GOOGL,_NaiveModel,no_event_day,1,2.81,7.8961,2.81,0.007,,1.0
JNJ,_NaiveModel,no_event_day,1,1.19,1.4161,1.19,0.0054,,1.0
JPM,_NaiveModel,no_event_day,1,4.17,17.3888,4.17,0.0138,,1.0
LLY,_NaiveModel,no_event_day,1,26.51,702.7806,26.51,0.028,,1.0
LMT,_NaiveModel,no_event_day,1,5.9,34.8096,5.9,0.0116,,1.0
MA,_NaiveModel,no_event_day,1,5.46,29.8115,5.46,0.011,,1.0
MCD,_NaiveModel,no_event_day,1,7.95,63.2027,7.95,0.0288,,1.0
META,_NaiveModel,no_event_day,1,7.18,51.5523,7.18,0.0118,,1.0
MRK,_NaiveModel,no_event_day,1,0.92,0.8464,0.92,0.0083,,1.0
MSFT,_NaiveModel,no_event_day,1,5.65,31.9224,5.65,0.0136,,1.0
NEE,_NaiveModel,no_event_day,1,0.22,0.0484,0.22,0.0024,,1.0
NVDA,_NaiveModel,no_event_day,1,3.7,13.69,3.7,0.0172,,1.0
ORCL,_NaiveModel,no_event_day,1,1.36,1.8496,1.36,0.0069,,1.0
PG,_NaiveModel,no_event_day,1,0.36,0.1296,0.36,0.0025,,1.0
PLTR,_NaiveModel,no_event_day,1,0.75,0.5625,0.75,0.0054,,1.0
TSLA,_NaiveModel,no_event_day,1,16.56,274.2335,16.56,0.0387,,1.0
TSM,_NaiveModel,no_event_day,1,2.47,6.1009,2.47,0.006,,1.0
UNH,_NaiveModel,no_event_day,1,10.24,104.858,10.24,0.0269,,1.0
V,_NaiveModel,no_event_day,1,2.49,6.2001,2.49,0.0078,,1.0
WMT,_NaiveModel,no_event_day,1,0.23,0.0529,0.23,0.0018,,1.0
XOM,_NaiveModel,no_event_day,1,2.01,4.0401,2.01,0.0139,,1.0
