ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,lgbm,49.75528636682592,50.709999084472656,0.33528819788060815,1.2900009155273438,0.006784463988331298,0.02610281188431849,True,2025-07-23,0.9547,0.9115,0.9547,0.0188,,1.0
BIMBOA.MX,arima,49.18642053827738,50.709999084472656,-0.2335776306679307,1.2900009155273438,-0.004726378780295199,0.02610281188431849,False,2025-07-23,1.5236,2.3213,1.5236,0.03,,1.0
BIMBOA.MX,xgb,50.1312068104744,50.709999084472656,0.7112086415290904,1.2900009155273438,0.014391110236341566,0.02610281188431849,True,2025-07-23,0.5788,0.335,0.5788,0.0114,,1.0
BIMBOA.MX,Top3Ensamble,49.6909712385259,50.709999084472656,0.27097306958058454,1.2900009155273438,0.0054830651481257925,0.02610281188431849,True,2025-07-23,1.019,1.0384,1.019,0.0201,,1.0
CEMEXCPO.MX,arima,14.685099860314256,14.75,-0.03490040671455219,0.029999732971191406,-0.0023709515000978148,0.0020380253007459197,False,2025-07-23,0.0649,0.0042,0.0649,0.0044,,1.0
CEMEXCPO.MX,linreg,14.212079480060874,14.75,-0.5079207869679347,0.029999732971191406,-0.03450548761915594,0.0020380253007459197,False,2025-07-23,0.5379,0.2894,0.5379,0.0365,,1.0
CEMEXCPO.MX,lgbm,14.640474764559434,14.75,-0.07952550246937484,0.029999732971191406,-0.005402547624099116,0.0020380253007459197,False,2025-07-23,0.1095,0.012,0.1095,0.0074,,1.0
CEMEXCPO.MX,Top3Ensamble,14.51255136831152,14.75,-0.20744889871728844,0.029999732971191406,-0.014092995581117705,0.0020380253007459197,False,2025-07-23,0.2374,0.0564,0.2374,0.0161,,1.0
EEM,rf,49.34205572066202,49.93000030517578,-0.08794458451376386,0.5,-0.001779174266049018,0.010115314523832712,False,2025-07-23,0.5879,0.3457,0.5879,0.0118,,1.0
EEM,arima,49.442288999733215,49.93000030517578,0.012288694557433644,0.5,0.0002486080210715051,0.010115314523832712,True,2025-07-23,0.4877,0.2379,0.4877,0.0098,,1.0
EEM,lgbm,49.310700922047694,49.93000030517578,-0.1192993831280873,0.5,-0.0024135015656796496,0.010115314523832712,False,2025-07-23,0.6193,0.3835,0.6193,0.0124,,1.0
EEM,Top3Ensamble,49.36501521414764,49.93000030517578,-0.06498509102814154,0.5,-0.001314689270219102,0.010115314523832712,False,2025-07-23,0.565,0.3192,0.565,0.0113,,1.0
GFNORTEO.MX,lgbm,158.7289055637802,165.0399932861328,-1.2210913844619995,5.089996337890625,-0.007634206988182246,0.03182242222572648,False,2025-07-23,6.3111,39.8298,6.3111,0.0382,,1.0
GFNORTEO.MX,arima,159.48337839700818,165.0399932861328,-0.4666185512340064,5.089996337890625,-0.0029172776501208584,0.03182242222572648,False,2025-07-23,5.5566,30.876,5.5566,0.0337,,1.0
GFNORTEO.MX,lstm,159.4869175925851,165.0399932861328,-0.4630793556571007,5.089996337890625,-0.0028951507626908384,0.03182242222572648,False,2025-07-23,5.5531,30.8366,5.5531,0.0336,,1.0
GFNORTEO.MX,Top3Ensamble,159.2330671844578,165.0399932861328,-0.7169297637843783,5.089996337890625,-0.004482211800331374,0.03182242222572648,False,2025-07-23,5.8069,33.7204,5.8069,0.0352,,1.0
GLD,arima,316.53192841581574,312.17999267578125,0.4319223123001166,-3.920013427734375,0.0013664103257203727,-0.01240118112003661,False,2025-07-23,4.3519,18.9393,4.3519,0.0139,,1.0
GLD,lgbm,315.3621597045074,312.17999267578125,-0.7378463990082196,-3.920013427734375,-0.0023342182371442013,-0.01240118112003661,True,2025-07-23,3.1822,10.1262,3.1822,0.0102,,1.0
GLD,Top3Ensamble,315.9470440601616,312.17999267578125,-0.15296204335402308,-3.920013427734375,-0.0004839039557118245,-0.01240118112003661,True,2025-07-23,3.7671,14.1907,3.7671,0.0121,,1.0
IEF,lgbm,95.0263937971606,94.66000366210938,0.02639379716059409,-0.339996337890625,0.00027782944379572727,-0.0035789088199013157,False,2025-07-23,0.3664,0.1342,0.3664,0.0039,,1.0
IEF,rf,95.0736290377932,94.66000366210938,0.07362903779319652,-0.339996337890625,0.0007750425030862791,-0.0035789088199013157,False,2025-07-23,0.4136,0.1711,0.4136,0.0044,,1.0
IEF,xgb,94.92414405941965,94.66000366210938,-0.07585594058035383,-0.339996337890625,-0.0007984835850563561,-0.0035789088199013157,True,2025-07-23,0.2641,0.0698,0.2641,0.0028,,1.0
IEF,Top3Ensamble,95.00805563145782,94.66000366210938,0.008055631457821733,-0.339996337890625,8.479612060864981e-05,-0.0035789088199013157,False,2025-07-23,0.3481,0.1211,0.3481,0.0037,,1.0
QQQ,arima,561.3290692566364,563.8099975585938,0.07906925663644415,2.55999755859375,0.0001408806354324172,0.004561242866091314,True,2025-07-23,2.4809,6.155,2.4809,0.0044,,1.0
QQQ,lgbm,561.2033297286955,563.8099975585938,-0.04667027130449242,2.55999755859375,-8.315415822626711e-05,0.004561242866091314,False,2025-07-23,2.6067,6.7947,2.6067,0.0046,,1.0
QQQ,xgb,558.5702068805695,563.8099975585938,-2.679793119430542,2.55999755859375,-0.004774687072482035,0.004561242866091314,False,2025-07-23,5.2398,27.4554,5.2398,0.0093,,1.0
QQQ,Top3Ensamble,560.3675352886338,563.8099975585938,-0.8824647113661968,2.55999755859375,-0.001572320198425295,0.004561242866091314,False,2025-07-23,3.4425,11.8505,3.4425,0.0061,,1.0
SPY,lgbm,628.069379931448,634.2100219726562,-0.7906054201145025,5.35003662109375,-0.0012572042084574942,0.00850751637203125,False,2025-07-23,6.1406,37.7075,6.1406,0.0097,,1.0
SPY,arima,629.0791030856218,634.2100219726562,0.2191177340592958,5.35003662109375,0.0003484364392127742,0.00850751637203125,True,2025-07-23,5.1309,26.3263,5.1309,0.0081,,1.0
SPY,xgb,627.6670180559158,634.2100219726562,-1.1929672956466675,5.35003662109375,-0.001897031650025788,0.00850751637203125,False,2025-07-23,6.543,42.8109,6.543,0.0103,,1.0
SPY,Top3Ensamble,628.2718336909952,634.2100219726562,-0.5881516605672914,5.35003662109375,-0.0009352664730901693,0.00850751637203125,False,2025-07-23,5.9382,35.2621,5.9382,0.0094,,1.0
VNQ,rf,91.94662816926916,92.04000091552734,0.08662755891759844,0.18000030517578125,0.0009430389543001648,0.0019595069015871233,True,2025-07-23,0.0934,0.0087,0.0934,0.001,,1.0
VNQ,xgb,91.80321195721626,92.04000091552734,-0.05678865313529968,0.18000030517578125,-0.0006182087171562706,0.0019595069015871233,False,2025-07-23,0.2368,0.0561,0.2368,0.0026,,1.0
VNQ,lgbm,91.530439666383,92.04000091552734,-0.3295609439685592,0.18000030517578125,-0.0035876436074334344,0.0019595069015871233,False,2025-07-23,0.5096,0.2597,0.5096,0.0055,,1.0
VNQ,Top3Ensamble,91.76009326428948,92.04000091552734,-0.09990734606208207,0.18000030517578125,-0.0010876044567631287,0.0019595069015871233,False,2025-07-23,0.2799,0.0783,0.2799,0.003,,1.0
WALMEX.MX,linreg,53.029885468003,54.04999923706055,1.489884552475658,2.509998321533203,0.02890734431529286,0.04870000537343843,True,2025-07-23,1.0201,1.0406,1.0201,0.0189,,1.0
WALMEX.MX,rf,51.85477509017621,54.04999923706055,0.3147741746488677,2.509998321533203,0.006107376194361618,0.04870000537343843,True,2025-07-23,2.1952,4.819,2.1952,0.0406,,1.0
WALMEX.MX,arima,51.51704147948412,54.04999923706055,-0.022959436043223036,2.509998321533203,-0.00044546828939434684,0.04870000537343843,False,2025-07-23,2.533,6.4159,2.533,0.0469,,1.0
WALMEX.MX,Top3Ensamble,52.13390067922111,54.04999923706055,0.5938997636937628,2.509998321533203,0.011523084073419952,0.04870000537343843,True,2025-07-23,1.9161,3.6714,1.9161,0.0355,,1.0
