ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,7.35,54.0226,7.35,0.0259,,1.0
AMD,_NaiveModel,no_event_day,1,13.72,188.2384,13.72,0.0386,,1.0
AMZN,_NaiveModel,no_event_day,1,1.5,2.25,1.5,0.0055,,1.0
ASML,_NaiveModel,no_event_day,1,56.7101,3216.0335,56.7101,0.0393,,1.0
AVGO,_NaiveModel,no_event_day,1,10.86,117.9393,10.86,0.0254,,1.0
BRK-B,_NaiveModel,no_event_day,1,3.0,9.0,3.0,0.0064,,1.0
CAT,_NaiveModel,no_event_day,1,29.81,888.636,29.81,0.033,,1.0
COST,_NaiveModel,no_event_day,1,3.63,13.1769,3.63,0.0036,,1.0
CRM,_NaiveModel,no_event_day,1,1.51,2.2801,1.51,0.0081,,1.0
GOOGL,_NaiveModel,no_event_day,1,5.18,26.8323,5.18,0.0133,,1.0
JNJ,_NaiveModel,no_event_day,1,1.35,1.8225,1.35,0.006,,1.0
JPM,_NaiveModel,no_event_day,1,1.75,3.0625,1.75,0.0057,,1.0
LLY,_NaiveModel,no_event_day,1,20.94,438.4837,20.94,0.0212,,1.0
LMT,_NaiveModel,no_event_day,1,9.22,85.009,9.22,0.0181,,1.0
MA,_NaiveModel,no_event_day,1,7.66,58.6757,7.66,0.0154,,1.0
MCD,_NaiveModel,no_event_day,1,1.07,1.1449,1.07,0.0038,,1.0
META,_NaiveModel,no_event_day,1,5.45,29.702,5.45,0.009,,1.0
MRK,_NaiveModel,no_event_day,1,0.04,0.0016,0.04,0.0004,,1.0
MSFT,_NaiveModel,no_event_day,1,2.24,5.0176,2.24,0.0054,,1.0
NEE,_NaiveModel,no_event_day,1,0.77,0.5929,0.77,0.008,,1.0
NVDA,_NaiveModel,no_event_day,1,1.98,3.9204,1.98,0.0101,,1.0
ORCL,_NaiveModel,no_event_day,1,5.06,25.6037,5.06,0.0273,,1.0
PG,_NaiveModel,no_event_day,1,1.48,2.1904,1.48,0.0102,,1.0
PLTR,_NaiveModel,no_event_day,1,10.12,102.4143,10.12,0.0745,,1.0
TSLA,_NaiveModel,no_event_day,1,3.14,9.8597,3.14,0.0081,,1.0
TSM,_NaiveModel,no_event_day,1,7.2,51.8397,7.2,0.0183,,1.0
UNH,_NaiveModel,no_event_day,1,6.88,47.3345,6.88,0.0189,,1.0
V,_NaiveModel,no_event_day,1,4.82,23.2325,4.82,0.015,,1.0
WMT,_NaiveModel,no_event_day,1,0.46,0.2116,0.46,0.0035,,1.0
XOM,_NaiveModel,no_event_day,1,1.19,1.4161,1.19,0.0077,,1.0
