ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,0.88,0.7744,0.88,0.0028,,1.0
AMD,_NaiveModel,no_event_day,1,15.36,235.9292,15.36,0.0295,,1.0
AMZN,_NaiveModel,no_event_day,1,4.57,20.885,4.57,0.0181,,1.0
ASML,_NaiveModel,no_event_day,1,35.33,1248.2058,35.33,0.0204,,1.0
AVGO,_NaiveModel,no_event_day,1,4.18,17.4723,4.18,0.0115,,1.0
BRK-B,_NaiveModel,no_event_day,1,0.89,0.7921,0.89,0.0018,,1.0
CAT,_NaiveModel,no_event_day,1,6.92,47.8862,6.92,0.0085,,1.0
COST,_NaiveModel,no_event_day,1,7.58,57.4567,7.58,0.0084,,1.0
CRM,_NaiveModel,no_event_day,1,4.96,24.6015,4.96,0.0203,,1.0
GOOGL,_NaiveModel,no_event_day,1,7.71,59.444,7.71,0.0233,,1.0
JNJ,_NaiveModel,no_event_day,1,2.04,4.1616,2.04,0.0076,,1.0
JPM,_NaiveModel,no_event_day,1,1.2,1.44,1.2,0.0034,,1.0
LLY,_NaiveModel,no_event_day,1,0.2999,0.09,0.2999,0.0003,,1.0
LMT,_NaiveModel,no_event_day,1,11.69,136.6562,11.69,0.0223,,1.0
MA,_NaiveModel,no_event_day,1,3.39,11.4922,3.39,0.006,,1.0
MCD,_NaiveModel,no_event_day,1,2.33,5.4289,2.33,0.0092,,1.0
META,_NaiveModel,no_event_day,1,40.21,1616.8459,40.21,0.0615,,1.0
MRK,_NaiveModel,no_event_day,1,0.93,0.8649,0.93,0.0063,,1.0
MSFT,_NaiveModel,no_event_day,1,2.3,5.2901,2.3,0.0047,,1.0
NEE,_NaiveModel,no_event_day,1,1.18,1.3924,1.18,0.0143,,1.0
NVDA,_NaiveModel,no_event_day,1,2.06,4.2436,2.06,0.0092,,1.0
ORCL,_NaiveModel,no_event_day,1,0.89,0.7921,0.89,0.0055,,1.0
PG,_NaiveModel,no_event_day,1,2.94,8.6436,2.94,0.0206,,1.0
PLTR,_NaiveModel,no_event_day,1,0.77,0.5929,0.77,0.0045,,1.0
TSLA,_NaiveModel,no_event_day,1,0.35,0.1225,0.35,0.001,,1.0
TSM,_NaiveModel,no_event_day,1,3.64,13.2497,3.64,0.0084,,1.0
UNH,_NaiveModel,no_event_day,1,7.78,60.5284,7.78,0.0198,,1.0
V,_NaiveModel,no_event_day,1,1.25,1.5625,1.25,0.0034,,1.0
WMT,_NaiveModel,no_event_day,1,0.22,0.0484,0.22,0.0021,,1.0
XOM,_NaiveModel,no_event_day,1,3.57,12.7448,3.57,0.0217,,1.0
