ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,1.13,1.2769,1.13,0.0038,,1.0
AMD,_NaiveModel,no_event_day,1,6.94,48.1636,6.94,0.0168,,1.0
AMZN,_NaiveModel,no_event_day,1,5.52,30.4703,5.52,0.0213,,1.0
ASML,_NaiveModel,no_event_day,1,12.9501,167.7044,12.9501,0.0089,,1.0
AVGO,_NaiveModel,no_event_day,1,9.64,92.9293,9.64,0.0235,,1.0
BRK-B,_NaiveModel,no_event_day,1,7.92,62.7266,7.92,0.0165,,1.0
CAT,_NaiveModel,no_event_day,1,3.8,14.4399,3.8,0.0044,,1.0
COST,_NaiveModel,no_event_day,1,17.85,318.6216,17.85,0.0163,,1.0
CRM,_NaiveModel,no_event_day,1,0.06,0.0036,0.06,0.0003,,1.0
GOOGL,_NaiveModel,no_event_day,1,9.28,86.1184,9.28,0.0239,,1.0
JNJ,_NaiveModel,no_event_day,1,1.08,1.1664,1.08,0.0047,,1.0
JPM,_NaiveModel,no_event_day,1,5.03,25.3009,5.03,0.017,,1.0
LLY,_NaiveModel,no_event_day,1,33.3199,1110.2188,33.3199,0.0326,,1.0
LMT,_NaiveModel,no_event_day,1,1.68,2.8224,1.68,0.0032,,1.0
MA,_NaiveModel,no_event_day,1,6.09,37.0881,6.09,0.0122,,1.0
MCD,_NaiveModel,no_event_day,1,1.67,2.7889,1.67,0.0059,,1.0
META,_NaiveModel,no_event_day,1,8.6,73.9606,8.6,0.0143,,1.0
MRK,_NaiveModel,no_event_day,1,1.68,2.8224,1.68,0.0147,,1.0
MSFT,_NaiveModel,no_event_day,1,6.12,37.4543,6.12,0.0147,,1.0
NEE,_NaiveModel,no_event_day,1,1.02,1.0404,1.02,0.0113,,1.0
NVDA,_NaiveModel,no_event_day,1,1.71,2.9241,1.71,0.0078,,1.0
ORCL,_NaiveModel,no_event_day,1,5.15,26.5224,5.15,0.0284,,1.0
PG,_NaiveModel,no_event_day,1,1.09,1.1881,1.09,0.0077,,1.0
PLTR,_NaiveModel,no_event_day,1,0.12,0.0144,0.12,0.0009,,1.0
TSLA,_NaiveModel,no_event_day,1,5.88,34.5745,5.88,0.0146,,1.0
TSM,_NaiveModel,no_event_day,1,3.34,11.1558,3.34,0.0085,,1.0
UNH,_NaiveModel,no_event_day,1,1.89,3.5722,1.89,0.0049,,1.0
V,_NaiveModel,no_event_day,1,2.73,7.453,2.73,0.0083,,1.0
WMT,_NaiveModel,no_event_day,1,0.86,0.7396,0.86,0.0064,,1.0
XOM,_NaiveModel,no_event_day,1,2.06,4.2436,2.06,0.0127,,1.0
