ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,4.5,20.25,4.5,0.0155,,1.0
AMD,_NaiveModel,after_hours,1,23.12,534.5342,23.12,0.0452,,1.0
AMZN,_NaiveModel,after_hours,1,2.96,8.7615,2.96,0.0124,,1.0
ASML,_NaiveModel,after_hours,1,35.9299,1290.96,35.9299,0.0193,,1.0
AVGO,_NaiveModel,after_hours,1,3.5,12.25,3.5,0.0092,,1.0
BRK-B,_NaiveModel,after_hours,1,3.46,11.9715,3.46,0.0071,,1.0
CAT,_NaiveModel,after_hours,1,12.94,167.4437,12.94,0.0142,,1.0
COST,_NaiveModel,after_hours,1,6.66,44.3552,6.66,0.0068,,1.0
CRM,_NaiveModel,after_hours,1,0.56,0.3136,0.56,0.0034,,1.0
GOOGL,_NaiveModel,after_hours,1,1.91,3.6481,1.91,0.0053,,1.0
JNJ,_NaiveModel,after_hours,1,2.54,6.4516,2.54,0.0105,,1.0
JPM,_NaiveModel,after_hours,1,7.23,52.2731,7.23,0.0225,,1.0
LLY,_NaiveModel,after_hours,1,27.95,781.1998,27.95,0.0247,,1.0
LMT,_NaiveModel,after_hours,1,8.35,69.7221,8.35,0.0155,,1.0
MA,_NaiveModel,after_hours,1,3.47,12.0409,3.47,0.0071,,1.0
MCD,_NaiveModel,after_hours,1,0.04,0.0016,0.04,0.0001,,1.0
META,_NaiveModel,after_hours,1,1.45,2.1025,1.45,0.0026,,1.0
MRK,_NaiveModel,after_hours,1,1.71,2.9241,1.71,0.0144,,1.0
MSFT,_NaiveModel,after_hours,1,0.4,0.16,0.4,0.001,,1.0
NEE,_NaiveModel,after_hours,1,1.15,1.3225,1.15,0.0134,,1.0
NVDA,_NaiveModel,after_hours,1,0.32,0.1024,0.32,0.0016,,1.0
ORCL,_NaiveModel,after_hours,1,0.03,0.0009,0.03,0.0002,,1.0
PG,_NaiveModel,after_hours,1,1.27,1.6129,1.27,0.0085,,1.0
PLTR,_NaiveModel,after_hours,1,3.09,9.5481,3.09,0.0241,,1.0
TSLA,_NaiveModel,after_hours,1,7.28,52.9984,7.28,0.0179,,1.0
TSM,_NaiveModel,after_hours,1,2.86,8.1795,2.86,0.0067,,1.0
UNH,_NaiveModel,after_hours,1,2.97,8.8209,2.97,0.0073,,1.0
V,_NaiveModel,after_hours,1,3.34,11.1558,3.34,0.0104,,1.0
WMT,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.0045,,1.0
XOM,_NaiveModel,after_hours,1,0.41,0.1681,0.41,0.0028,,1.0
