ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,3.89,15.1322,3.89,0.0115,,1.0
AMD,_NaiveModel,after_hours,1,27.0,729.0,27.0,0.0546,,1.0
AMZN,_NaiveModel,after_hours,1,0.72,0.5184,0.72,0.0031,,1.0
ASML,_NaiveModel,after_hours,1,101.83,10369.34,101.83,0.0615,,1.0
AVGO,_NaiveModel,after_hours,1,1.3,1.69,1.3,0.0034,,1.0
BRK-B,_NaiveModel,after_hours,1,2.25,5.0625,2.25,0.0045,,1.0
CAT,_NaiveModel,after_hours,1,15.45,238.701,15.45,0.0177,,1.0
COST,_NaiveModel,after_hours,1,16.55,273.9021,16.55,0.0174,,1.0
CRM,_NaiveModel,after_hours,1,9.94,98.8036,9.94,0.0573,,1.0
GOOGL,_NaiveModel,after_hours,1,6.82,46.5125,6.82,0.0209,,1.0
JNJ,_NaiveModel,after_hours,1,2.55,6.5026,2.55,0.0096,,1.0
JPM,_NaiveModel,after_hours,1,2.99,8.9402,2.99,0.0084,,1.0
LLY,_NaiveModel,after_hours,1,1.5,2.25,1.5,0.0013,,1.0
LMT,_NaiveModel,after_hours,1,2.6,6.7599,2.6,0.0045,,1.0
MA,_NaiveModel,after_hours,1,12.05,145.2037,12.05,0.0218,,1.0
MCD,_NaiveModel,after_hours,1,5.91,34.9281,5.91,0.0218,,1.0
META,_NaiveModel,after_hours,1,1.32,1.7424,1.32,0.0022,,1.0
MRK,_NaiveModel,after_hours,1,0.31,0.0961,0.31,0.0024,,1.0
MSFT,_NaiveModel,after_hours,1,7.4,54.7599,7.4,0.019,,1.0
NEE,_NaiveModel,after_hours,1,0.95,0.9025,0.95,0.0107,,1.0
NVDA,_NaiveModel,after_hours,1,10.33,106.7089,10.33,0.0526,,1.0
ORCL,_NaiveModel,after_hours,1,4.91,24.1081,4.91,0.041,,1.0
PG,_NaiveModel,after_hours,1,1.22,1.4884,1.22,0.0082,,1.0
PLTR,_NaiveModel,after_hours,1,8.61,74.1321,8.61,0.0655,,1.0
TSLA,_NaiveModel,after_hours,1,3.81,14.5161,3.81,0.0123,,1.0
TSM,_NaiveModel,after_hours,1,4.32,18.6625,4.32,0.0108,,1.0
UNH,_NaiveModel,after_hours,1,3.1,9.6098,3.1,0.0074,,1.0
V,_NaiveModel,after_hours,1,6.79,46.1042,6.79,0.0187,,1.0
WMT,_NaiveModel,after_hours,1,2.27,5.1529,2.27,0.0203,,1.0
XOM,_NaiveModel,after_hours,1,2.17,4.7089,2.17,0.014,,1.0
