ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,4.59,21.0681,4.59,0.0136,,1.0
AMD,_NaiveModel,after_hours,1,32.59,1062.1099,32.59,0.0598,,1.0
AMZN,_NaiveModel,after_hours,1,5.23,27.3529,5.23,0.0208,,1.0
ASML,_NaiveModel,after_hours,1,27.4501,753.5065,27.4501,0.0168,,1.0
AVGO,_NaiveModel,after_hours,1,7.79,60.6838,7.79,0.0224,,1.0
BRK-B,_NaiveModel,after_hours,1,10.6,112.3595,10.6,0.0208,,1.0
CAT,_NaiveModel,after_hours,1,15.85,251.2237,15.85,0.0198,,1.0
COST,_NaiveModel,after_hours,1,0.19,0.0361,0.19,0.0002,,1.0
CRM,_NaiveModel,after_hours,1,7.69,59.1359,7.69,0.0317,,1.0
GOOGL,_NaiveModel,after_hours,1,4.46,19.8915,4.46,0.0128,,1.0
JNJ,_NaiveModel,after_hours,1,2.94,8.6436,2.94,0.0109,,1.0
JPM,_NaiveModel,after_hours,1,0.39,0.1521,0.39,0.0011,,1.0
LLY,_NaiveModel,after_hours,1,14.62,213.7443,14.62,0.0127,,1.0
LMT,_NaiveModel,after_hours,1,0.84,0.7056,0.84,0.0016,,1.0
MA,_NaiveModel,after_hours,1,2.02,4.0805,2.02,0.0036,,1.0
MCD,_NaiveModel,after_hours,1,0.08,0.0064,0.08,0.0003,,1.0
META,_NaiveModel,after_hours,1,9.0,81.0,9.0,0.0132,,1.0
MRK,_NaiveModel,after_hours,1,2.24,5.0176,2.24,0.0152,,1.0
MSFT,_NaiveModel,after_hours,1,7.45,55.5027,7.45,0.015,,1.0
NEE,_NaiveModel,after_hours,1,0.91,0.8281,0.91,0.0112,,1.0
NVDA,_NaiveModel,after_hours,1,5.44,29.5936,5.44,0.0248,,1.0
ORCL,_NaiveModel,after_hours,1,7.43,55.2048,7.43,0.0493,,1.0
PG,_NaiveModel,after_hours,1,0.53,0.2809,0.53,0.0036,,1.0
PLTR,_NaiveModel,after_hours,1,1.9,3.61,1.9,0.0108,,1.0
TSLA,_NaiveModel,after_hours,1,8.12,65.9348,8.12,0.0222,,1.0
TSM,_NaiveModel,after_hours,1,12.54,157.2518,12.54,0.0291,,1.0
UNH,_NaiveModel,after_hours,1,0.05,0.0025,0.05,0.0001,,1.0
V,_NaiveModel,after_hours,1,1.0,1.0,1.0,0.0027,,1.0
WMT,_NaiveModel,after_hours,1,0.71,0.5041,0.71,0.0066,,1.0
XOM,_NaiveModel,after_hours,1,0.05,0.0025,0.05,0.0003,,1.0
