model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
BIMBOA.MX_linreg,train,0.9194,1.5706,1.2532,0.0148,0.9512,0.9512,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_linreg,test,0.5374,0.6034,0.7768,0.0102,0.8528,0.8778,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_rf,train,0.8618,1.4045,1.1851,0.0138,0.9563,0.9563,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_rf,test,0.5077,0.5311,0.7288,0.0096,0.8704,0.8805,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_xgb,train,0.8948,1.5183,1.2322,0.0144,0.9528,0.9528,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_xgb,test,0.5019,0.5389,0.7341,0.0095,0.8685,0.8748,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_lgbm,train,0.8992,1.5255,1.2351,0.0144,0.9526,0.9526,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_lgbm,test,0.4954,0.5369,0.7328,0.0093,0.869,0.8743,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_lstm,train,1.0248,1.8449,1.3583,0.0165,0.9426,0.9489,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_lstm,test,0.6802,0.8452,0.9193,0.0128,0.7938,0.8725,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_arima,train,0.9266,1.6387,1.2801,0.0148,0.949,0.949,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
BIMBOA.MX_arima,test,0.5087,0.5413,0.7357,0.0096,0.8679,0.871,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_linreg,train,0.1933,0.0701,0.2648,0.0164,0.8622,0.8622,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_linreg,test,0.1606,0.0424,0.2058,0.0121,0.5747,0.6986,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
CEMEXCPO.MX_rf,train,0.1836,0.0626,0.2501,0.0155,0.8771,0.8771,2025-07-11T06:01:44.550678+00:00,2024-05-22 a 2025-07-09,2024-05-22 a 2025-05-13,2025-05-14 a 2025-07-09,2025-07-09
