ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,0.07,0.0049,0.07,0.0002,,1.0
AMD,_NaiveModel,after_hours,1,12.93,167.1855,12.93,0.0317,,1.0
AMZN,_NaiveModel,after_hours,1,3.82,14.5922,3.82,0.0141,,1.0
ASML,_NaiveModel,after_hours,1,28.14,791.8604,28.14,0.0186,,1.0
AVGO,_NaiveModel,after_hours,1,12.88,165.8945,12.88,0.0312,,1.0
BRK-B,_NaiveModel,after_hours,1,5.25,27.5625,5.25,0.0111,,1.0
CAT,_NaiveModel,after_hours,1,31.24,975.937,31.24,0.0349,,1.0
COST,_NaiveModel,after_hours,1,16.31,266.016,16.31,0.0161,,1.0
CRM,_NaiveModel,after_hours,1,5.15,26.5224,5.15,0.0276,,1.0
GOOGL,_NaiveModel,after_hours,1,0.05,0.0025,0.05,0.0001,,1.0
JNJ,_NaiveModel,after_hours,1,2.11,4.4521,2.11,0.0095,,1.0
JPM,_NaiveModel,after_hours,1,8.63,74.477,8.63,0.0282,,1.0
LLY,_NaiveModel,after_hours,1,12.09,146.1673,12.09,0.0124,,1.0
LMT,_NaiveModel,after_hours,1,1.85,3.4226,1.85,0.0036,,1.0
MA,_NaiveModel,after_hours,1,9.05,81.9023,9.05,0.0181,,1.0
MCD,_NaiveModel,after_hours,1,0.4,0.16,0.4,0.0014,,1.0
META,_NaiveModel,after_hours,1,3.93,15.4448,3.93,0.0064,,1.0
MRK,_NaiveModel,after_hours,1,1.26,1.5876,1.26,0.0112,,1.0
MSFT,_NaiveModel,after_hours,1,6.81,46.3761,6.81,0.0162,,1.0
NEE,_NaiveModel,after_hours,1,2.07,4.2849,2.07,0.0222,,1.0
NVDA,_NaiveModel,after_hours,1,3.67,13.4689,3.67,0.0174,,1.0
ORCL,_NaiveModel,after_hours,1,0.56,0.3136,0.56,0.0029,,1.0
PG,_NaiveModel,after_hours,1,1.84,3.3856,1.84,0.0126,,1.0
PLTR,_NaiveModel,after_hours,1,3.26,10.6277,3.26,0.0238,,1.0
TSLA,_NaiveModel,after_hours,1,13.06,170.5635,13.06,0.0317,,1.0
TSM,_NaiveModel,after_hours,1,5.35,28.6226,5.35,0.0129,,1.0
UNH,_NaiveModel,after_hours,1,2.46,6.0516,2.46,0.0067,,1.0
V,_NaiveModel,after_hours,1,2.48,6.1505,2.48,0.0077,,1.0
WMT,_NaiveModel,after_hours,1,0.12,0.0144,0.12,0.0009,,1.0
XOM,_NaiveModel,after_hours,1,2.11,4.4521,2.11,0.0144,,1.0
