ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,3.31,10.9563,3.31,0.012,,1.0
AMD,_NaiveModel,no_event_day,1,19.0,361.0,19.0,0.0556,,1.0
AMZN,_NaiveModel,no_event_day,1,3.79,14.3639,3.79,0.0139,,1.0
ASML,_NaiveModel,no_event_day,1,40.8101,1665.4609,40.8101,0.0294,,1.0
AVGO,_NaiveModel,no_event_day,1,4.78,22.8484,4.78,0.0115,,1.0
BRK-B,_NaiveModel,no_event_day,1,4.49,20.1603,4.49,0.0096,,1.0
CAT,_NaiveModel,no_event_day,1,14.89,221.7107,14.89,0.017,,1.0
COST,_NaiveModel,no_event_day,1,1.09,1.188,1.09,0.0011,,1.0
CRM,_NaiveModel,no_event_day,1,1.66,2.7556,1.66,0.0089,,1.0
GOOGL,_NaiveModel,no_event_day,1,2.44,5.9536,2.44,0.0064,,1.0
JNJ,_NaiveModel,no_event_day,1,2.99,8.9401,2.99,0.0133,,1.0
JPM,_NaiveModel,no_event_day,1,4.82,23.2325,4.82,0.0157,,1.0
LLY,_NaiveModel,no_event_day,1,4.6,21.1598,4.6,0.0048,,1.0
LMT,_NaiveModel,no_event_day,1,5.38,28.9445,5.38,0.0104,,1.0
MA,_NaiveModel,no_event_day,1,9.28,86.1184,9.28,0.0184,,1.0
MCD,_NaiveModel,no_event_day,1,2.54,6.4516,2.54,0.0089,,1.0
META,_NaiveModel,no_event_day,1,1.66,2.7555,1.66,0.0027,,1.0
MRK,_NaiveModel,no_event_day,1,0.95,0.9025,0.95,0.0084,,1.0
MSFT,_NaiveModel,no_event_day,1,0.82,0.6724,0.82,0.002,,1.0
NEE,_NaiveModel,no_event_day,1,1.44,2.0736,1.44,0.0151,,1.0
NVDA,_NaiveModel,no_event_day,1,0.03,0.0009,0.03,0.0002,,1.0
ORCL,_NaiveModel,no_event_day,1,8.46,71.5715,8.46,0.0469,,1.0
PG,_NaiveModel,no_event_day,1,3.84,14.7456,3.84,0.0268,,1.0
PLTR,_NaiveModel,no_event_day,1,1.96,3.8416,1.96,0.0134,,1.0
TSLA,_NaiveModel,no_event_day,1,1.69,2.8561,1.69,0.0043,,1.0
TSM,_NaiveModel,no_event_day,1,3.94,15.5234,3.94,0.0098,,1.0
UNH,_NaiveModel,no_event_day,1,1.97,3.8809,1.97,0.0053,,1.0
V,_NaiveModel,no_event_day,1,1.18,1.3924,1.18,0.0036,,1.0
WMT,_NaiveModel,no_event_day,1,1.27,1.6129,1.27,0.0097,,1.0
XOM,_NaiveModel,no_event_day,1,0.94,0.8836,0.94,0.0061,,1.0
