ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,1.95,3.8024,1.95,0.0063,,1.0
AMD,_NaiveModel,no_event_day,1,3.795,14.4021,3.795,0.008,,1.0
AMZN,_NaiveModel,no_event_day,1,1.48,2.1903,1.48,0.0057,,1.0
ASML,_NaiveModel,no_event_day,1,13.45,180.9012,13.45,0.0076,,1.0
AVGO,_NaiveModel,no_event_day,1,4.42,19.5365,4.42,0.012,,1.0
BRK-B,_NaiveModel,no_event_day,1,1.04,1.0816,1.04,0.0021,,1.0
CAT,_NaiveModel,no_event_day,1,12.51,156.5003,12.51,0.0151,,1.0
COST,_NaiveModel,no_event_day,1,14.23,202.4923,14.23,0.015,,1.0
CRM,_NaiveModel,no_event_day,1,3.74,13.9876,3.74,0.0179,,1.0
GOOGL,_NaiveModel,no_event_day,1,4.15,17.2224,4.15,0.012,,1.0
JNJ,_NaiveModel,no_event_day,1,2.87,8.2369,2.87,0.0106,,1.0
JPM,_NaiveModel,no_event_day,1,0.03,0.0009,0.03,0.0001,,1.0
LLY,_NaiveModel,no_event_day,1,11.0,121.0,11.0,0.0088,,1.0
LMT,_NaiveModel,no_event_day,1,7.91,62.5677,7.91,0.014,,1.0
MA,_NaiveModel,no_event_day,1,6.78,45.9688,6.78,0.0117,,1.0
MCD,_NaiveModel,no_event_day,1,1.82,3.3124,1.82,0.0067,,1.0
META,_NaiveModel,no_event_day,1,4.07,16.565,4.07,0.0074,,1.0
MRK,_NaiveModel,no_event_day,1,3.56,12.6736,3.56,0.0233,,1.0
MSFT,_NaiveModel,no_event_day,1,2.09,4.3681,2.09,0.0043,,1.0
NEE,_NaiveModel,no_event_day,1,1.38,1.9044,1.38,0.0165,,1.0
NVDA,_NaiveModel,no_event_day,1,2.13,4.5369,2.13,0.0099,,1.0
ORCL,_NaiveModel,no_event_day,1,4.4,19.3599,4.4,0.03,,1.0
PG,_NaiveModel,no_event_day,1,1.71,2.9241,1.71,0.0118,,1.0
PLTR,_NaiveModel,no_event_day,1,5.98,35.7603,5.98,0.0332,,1.0
TSLA,_NaiveModel,no_event_day,1,17.73,314.3522,17.73,0.0489,,1.0
TSM,_NaiveModel,no_event_day,1,2.95,8.7026,2.95,0.007,,1.0
UNH,_NaiveModel,no_event_day,1,5.26,27.6674,5.26,0.0135,,1.0
V,_NaiveModel,no_event_day,1,5.31,28.1961,5.31,0.0143,,1.0
WMT,_NaiveModel,no_event_day,1,0.14,0.0196,0.14,0.0014,,1.0
XOM,_NaiveModel,no_event_day,1,1.04,1.0816,1.04,0.0063,,1.0
