ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,5.8,33.6399,5.8,0.0192,,1.0
AMD,_NaiveModel,no_event_day,1,23.95,573.6016,23.95,0.0488,,1.0
AMZN,_NaiveModel,no_event_day,1,0.81,0.6561,0.81,0.0033,,1.0
ASML,_NaiveModel,no_event_day,1,107.3,11513.3005,107.3,0.0613,,1.0
AVGO,_NaiveModel,no_event_day,1,10.87,118.1568,10.87,0.0274,,1.0
BRK-B,_NaiveModel,no_event_day,1,1.13,1.2769,1.13,0.0023,,1.0
CAT,_NaiveModel,no_event_day,1,11.36,129.0493,11.36,0.0124,,1.0
COST,_NaiveModel,no_event_day,1,2.88,8.2944,2.88,0.003,,1.0
CRM,_NaiveModel,no_event_day,1,3.11,9.6721,3.11,0.017,,1.0
GOOGL,_NaiveModel,no_event_day,1,5.22,27.2484,5.22,0.0144,,1.0
JNJ,_NaiveModel,no_event_day,1,0.61,0.3721,0.61,0.0026,,1.0
JPM,_NaiveModel,no_event_day,1,1.26,1.5876,1.26,0.0041,,1.0
LLY,_NaiveModel,no_event_day,1,17.73,314.3522,17.73,0.0154,,1.0
LMT,_NaiveModel,no_event_day,1,3.69,13.6161,3.69,0.0071,,1.0
MA,_NaiveModel,no_event_day,1,5.41,29.2678,5.41,0.0111,,1.0
MCD,_NaiveModel,no_event_day,1,2.06,4.2436,2.06,0.0074,,1.0
META,_NaiveModel,no_event_day,1,7.61,57.9119,7.61,0.013,,1.0
MRK,_NaiveModel,no_event_day,1,1.27,1.6129,1.27,0.0106,,1.0
MSFT,_NaiveModel,no_event_day,1,4.93,24.3051,4.93,0.012,,1.0
NEE,_NaiveModel,no_event_day,1,1.83,3.3489,1.83,0.0218,,1.0
NVDA,_NaiveModel,no_event_day,1,3.54,12.5316,3.54,0.017,,1.0
ORCL,_NaiveModel,no_event_day,1,1.86,3.4595,1.86,0.0088,,1.0
PG,_NaiveModel,no_event_day,1,1.44,2.0736,1.44,0.0099,,1.0
PLTR,_NaiveModel,no_event_day,1,0.94,0.8836,0.94,0.0069,,1.0
TSLA,_NaiveModel,no_event_day,1,17.95,322.2029,17.95,0.0439,,1.0
TSM,_NaiveModel,no_event_day,1,11.63,135.2563,11.63,0.0272,,1.0
UNH,_NaiveModel,no_event_day,1,7.1,50.4101,7.1,0.0175,,1.0
V,_NaiveModel,no_event_day,1,3.9,15.21,3.9,0.0122,,1.0
WMT,_NaiveModel,no_event_day,1,0.95,0.9025,0.95,0.0079,,1.0
XOM,_NaiveModel,no_event_day,1,1.83,3.3489,1.83,0.0121,,1.0
