ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,2.0,4.0,2.0,0.0064,,1.0
AMD,_NaiveModel,after_hours,1,35.94,1291.6838,35.94,0.0696,,1.0
AMZN,_NaiveModel,after_hours,1,1.82,3.3124,1.82,0.0074,,1.0
ASML,_NaiveModel,after_hours,1,77.7899,6051.2712,77.7899,0.0445,,1.0
AVGO,_NaiveModel,after_hours,1,3.12,9.7344,3.12,0.0084,,1.0
BRK-B,_NaiveModel,after_hours,1,2.58,6.6563,2.58,0.0051,,1.0
CAT,_NaiveModel,after_hours,1,29.8,888.0393,29.8,0.0317,,1.0
COST,_NaiveModel,after_hours,1,2.75,7.5625,2.75,0.0029,,1.0
CRM,_NaiveModel,after_hours,1,3.87,14.977,3.87,0.0228,,1.0
GOOGL,_NaiveModel,after_hours,1,0.57,0.3249,0.57,0.0016,,1.0
JNJ,_NaiveModel,after_hours,1,7.91,62.5682,7.91,0.0296,,1.0
JPM,_NaiveModel,after_hours,1,1.5,2.25,1.5,0.0044,,1.0
LLY,_NaiveModel,after_hours,1,35.5,1260.25,35.5,0.0287,,1.0
LMT,_NaiveModel,after_hours,1,2.62,6.8644,2.62,0.0049,,1.0
MA,_NaiveModel,after_hours,1,1.48,2.1903,1.48,0.0028,,1.0
MCD,_NaiveModel,after_hours,1,2.71,7.3441,2.71,0.0096,,1.0
META,_NaiveModel,after_hours,1,15.29,233.7853,15.29,0.0248,,1.0
MRK,_NaiveModel,after_hours,1,2.08,4.3264,2.08,0.0161,,1.0
MSFT,_NaiveModel,after_hours,1,2.1,4.41,2.1,0.0054,,1.0
NEE,_NaiveModel,after_hours,1,1.03,1.0609,1.03,0.0116,,1.0
NVDA,_NaiveModel,after_hours,1,1.38,1.9044,1.38,0.007,,1.0
ORCL,_NaiveModel,after_hours,1,2.16,4.6655,2.16,0.0153,,1.0
PG,_NaiveModel,after_hours,1,3.44,11.8336,3.44,0.0225,,1.0
PLTR,_NaiveModel,after_hours,1,1.83,3.3489,1.83,0.0136,,1.0
TSLA,_NaiveModel,after_hours,1,16.87,284.5967,16.87,0.0419,,1.0
TSM,_NaiveModel,after_hours,1,19.22,369.4084,19.22,0.0444,,1.0
UNH,_NaiveModel,after_hours,1,10.2,104.0402,10.2,0.0238,,1.0
V,_NaiveModel,after_hours,1,5.05,25.5024,5.05,0.0143,,1.0
WMT,_NaiveModel,after_hours,1,0.89,0.7921,0.89,0.008,,1.0
XOM,_NaiveModel,after_hours,1,5.25,27.5625,5.25,0.0371,,1.0
