model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
EEM_linreg,train,0.2842,0.1521,0.3901,0.0066,0.9472,0.9472,2025-06-28T06:36:32.814973+00:00
EEM_linreg,test,0.2875,0.1301,0.3607,0.0061,0.5781,0.6004,2025-06-28T06:36:32.814973+00:00
EEM_rf,train,0.13,0.0355,0.1883,0.003,0.9877,0.9877,2025-06-28T06:36:32.814973+00:00
EEM_rf,test,1.1562,1.5687,1.2525,0.0241,-4.0858,0.2482,2025-06-28T06:36:32.814973+00:00
EEM_xgb,train,0.0159,0.0004,0.021,0.0004,0.9998,0.9998,2025-06-28T06:36:32.814973+00:00
EEM_xgb,test,1.1767,1.5734,1.2544,0.0245,-4.101,0.3882,2025-06-28T06:36:32.814973+00:00
EEM_lgbm,train,0.1953,0.0741,0.2723,0.0046,0.9743,0.9743,2025-06-28T06:36:32.814973+00:00
EEM_lgbm,test,1.4562,2.3996,1.5491,0.0303,-6.7795,0.0948,2025-06-28T06:36:32.814973+00:00
EEM_arima,train,0.3541,0.2551,0.5051,0.0083,0.9115,0.9116,2025-06-28T06:36:32.814973+00:00
EEM_arima,test,1.251,1.7878,1.3371,0.0261,-4.7961,-1.3089,2025-06-28T06:36:32.814973+00:00
GLD_linreg,train,1.9368,6.3743,2.5247,0.0075,0.9929,0.9929,2025-06-28T06:36:32.814973+00:00
GLD_linreg,test,2.7401,9.7102,3.1161,0.009,0.0174,0.0322,2025-06-28T06:36:32.814973+00:00
GLD_rf,train,0.9027,1.5589,1.2486,0.0035,0.9983,0.9983,2025-06-28T06:36:32.814973+00:00
GLD_rf,test,3.5371,16.765,4.0945,0.0116,-0.6965,0.2272,2025-06-28T06:36:32.814973+00:00
GLD_xgb,train,0.2002,0.0741,0.2723,0.0008,0.9999,0.9999,2025-06-28T06:36:32.814973+00:00
GLD_xgb,test,2.9977,11.3033,3.362,0.0098,-0.1438,-0.1337,2025-06-28T06:36:32.814973+00:00
GLD_lgbm,train,1.5142,4.0311,2.0077,0.0059,0.9955,0.9955,2025-06-28T06:36:32.814973+00:00
GLD_lgbm,test,3.4964,17.8115,4.2204,0.0115,-0.8024,-0.0984,2025-06-28T06:36:32.814973+00:00
