ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,24.52,601.2299,24.52,0.0794,,1.0
AMD,_NaiveModel,no_event_day,1,9.24,85.378,9.24,0.0194,,1.0
AMZN,_NaiveModel,no_event_day,1,36.08,1301.7654,36.08,0.1329,,1.0
ASML,_NaiveModel,no_event_day,1,22.4399,503.551,22.4399,0.0138,,1.0
AVGO,_NaiveModel,no_event_day,1,1.44,2.0736,1.44,0.0037,,1.0
BRK-B,_NaiveModel,no_event_day,1,1.86,3.4597,1.86,0.0036,,1.0
CAT,_NaiveModel,no_event_day,1,5.67,32.1487,5.67,0.007,,1.0
COST,_NaiveModel,no_event_day,1,2.28,5.1983,2.28,0.0024,,1.0
CRM,_NaiveModel,no_event_day,1,3.31,10.9561,3.31,0.018,,1.0
GOOGL,_NaiveModel,no_event_day,1,22.47,504.901,22.47,0.0631,,1.0
JNJ,_NaiveModel,no_event_day,1,0.53,0.2809,0.53,0.0021,,1.0
JPM,_NaiveModel,no_event_day,1,0.94,0.8836,0.94,0.0027,,1.0
LLY,_NaiveModel,no_event_day,1,6.13,37.577,6.13,0.0053,,1.0
LMT,_NaiveModel,no_event_day,1,8.63,74.477,8.63,0.0148,,1.0
MA,_NaiveModel,no_event_day,1,4.25,18.0625,4.25,0.0074,,1.0
MCD,_NaiveModel,no_event_day,1,2.2,4.8401,2.2,0.0081,,1.0
META,_NaiveModel,no_event_day,1,17.68,312.5821,17.68,0.0318,,1.0
MRK,_NaiveModel,no_event_day,1,0.41,0.1681,0.41,0.0031,,1.0
MSFT,_NaiveModel,no_event_day,1,13.62,185.5043,13.62,0.0293,,1.0
NEE,_NaiveModel,no_event_day,1,1.01,1.0201,1.01,0.0116,,1.0
NVDA,_NaiveModel,no_event_day,1,5.71,32.6042,5.71,0.0284,,1.0
ORCL,_NaiveModel,no_event_day,1,2.31,5.3361,2.31,0.0178,,1.0
PG,_NaiveModel,no_event_day,1,0.53,0.2809,0.53,0.0037,,1.0
PLTR,_NaiveModel,no_event_day,1,0.8,0.64,0.8,0.0065,,1.0
TSLA,_NaiveModel,no_event_day,1,2.36,5.5695,2.36,0.0076,,1.0
TSM,_NaiveModel,no_event_day,1,0.94,0.8836,0.94,0.0023,,1.0
UNH,_NaiveModel,no_event_day,1,7.07,49.985,7.07,0.0171,,1.0
V,_NaiveModel,no_event_day,1,0.14,0.0196,0.14,0.0004,,1.0
WMT,_NaiveModel,no_event_day,1,0.1,0.01,0.1,0.0009,,1.0
XOM,_NaiveModel,no_event_day,1,1.53,2.3409,1.53,0.0098,,1.0
