model,feature,importance_mean,importance_std,importance_mean_minus_std,used_in_retrain,run_date
AAPL_linreg,Adj Close,1.0018661382230876,0.3401568016305958,0.6617093365924918,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,High,0.5235188956677563,0.17193959450899735,0.351579301158759,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,Low,-0.06160647705604401,0.042793170645158043,-0.10439964770120205,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,Open,0.6298251286915437,0.1546603040977056,0.47516482459383813,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,Volume,-0.01802176064408432,0.020438966398391715,-0.03846072704247604,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,rsi,-0.04779119070811966,0.06570515250372981,-0.11349634321184947,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,sma_20,-0.035553413105274066,0.05448160965314584,-0.0900350227584199,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,sma_50,-0.12176467013924626,0.03325436917345965,-0.15501903931270591,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,macd,0.564234106733377,0.16858400254910882,0.3956501041842682,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,macd_signal,0.010430710624325101,0.004897066399047326,0.0055336442252777755,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,macd_diff,0.24652505975897565,0.05702007244065942,0.18950498731831622,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,bb_bbm,-0.03555328949263945,0.05448188475884956,-0.09003517425148902,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,bb_bbh,-0.060161717383189026,0.03804675765615865,-0.09820847503934768,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,bb_bbl,0.003821910281855345,0.004938259125997457,-0.0011163488441421118,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,bb_width,1.1529859250458684e-06,1.1059219483369329e-05,-9.90623355832346e-06,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,stoch,0.5343186293900404,0.11072786842014248,0.4235907609698979,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,stoch_signal,0.174762418577723,0.2371886344575933,-0.062426215879870295,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,atr,-0.1358016392404126,0.0172018207725228,-0.1530034600129354,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,obv,0.09244639620464401,0.027387179041577007,0.065059217163067,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,log_return,1.4771485902542736e-05,2.7788396428961122e-05,-1.3016910526418386e-05,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,simple_return,2.0229417872208443e-05,3.8576765164743535e-05,-1.834734729253509e-05,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,volatility_5,-9.682666220900416e-05,2.4830093764815995e-05,-0.00012165675597382015,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,volatility_10,-1.5230337684002393e-05,4.875238917873576e-06,-2.010557660187597e-05,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,close_lag_1,0.2027925142890533,0.1493499421835457,0.053442572105507596,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,close_lag_7,0.001933476475775997,0.03699388251949355,-0.03506040604371755,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,close_lag_14,0.16377430035981339,0.08515012656130709,0.0786241737985063,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,sma_13,-3.8270720575184215e-05,0.0005261212664633479,-0.0005643919870385321,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,sma_26,0.015584718650841545,0.005629793760261887,0.009954924890579657,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,ma_5,-0.004276840019513273,0.0011501970298872356,-0.005427037049400508,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,min_5,0.8674474646590534,0.133567302855374,0.7338801618036794,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,q25_5,-0.06612194960608075,0.025755429980262198,-0.09187737958634296,0,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,median_5,0.32696063029513667,0.050263502973728405,0.2766971273214083,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,q75_5,1.3223367829673511,0.6210194466252293,0.7013173363421218,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,max_5,1.8380303136914353,0.46964841668063184,1.3683818970108035,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,std_5,0.21093040892786696,0.05558277535198637,0.1553476335758806,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,ema_5,2.4874711064073085,0.47612230687803136,2.0113487995292774,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,norm_band_5,0.03459652105718334,0.02106292603995564,0.0135335950172277,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,skew_5,0.02115688909302449,0.14367311604011967,-0.12251622694709519,1,2026-03-06T20:44:16.588836+00:00
AAPL_linreg,kurt_5,0.009958944209400222,0.007921514908140801,0.0020374293012594205,1,2026-03-06T20:44:16.588836+00:00
