model,feature,importance,run_date
CEMEXCPO.MX_linreg,q75_5,-0.02142566116876378,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,Volume,-4.669360106862688e-10,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,skew_20,0.024616937779293458,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,stoch,-0.0007514329984075977,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,stl_resid_60,0.06530638479094887,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,macd_diff,-0.003616489125796835,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,stl_resid_30,0.03651077690426404,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_linreg,skew_10,-0.029457614810104095,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,kurt_20,0.04201124195985317,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,bb_width,0.028630432380759106,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,trend_line_60,0.18191591728399206,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,ema_20,0.10120578642513328,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,cos_month,0.09085969632420679,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,std_50,0.1237315643152557,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,kurt_5,0.03719606448043822,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,q75_5,0.15517524132461702,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,Volume,0.02856500715295674,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,skew_20,0.013573654288300633,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,stoch,0.036512151703825,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,stl_resid_60,0.05934021885198663,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,macd_diff,0.03957841237995634,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,stl_resid_30,0.04099800416867949,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_rf,skew_10,0.020706606960039942,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,kurt_20,0.051286496222019196,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,bb_width,0.04556149244308472,2025-07-11T06:01:44.550678+00:00
CEMEXCPO.MX_xgb,trend_line_60,0.09552052617073059,2025-07-11T06:01:44.550678+00:00
