model,residual
_NaiveModel,-1.6199951171875
_NaiveModel,36.53002929687494
_NaiveModel,4.77001953125
_NaiveModel,33.6700439453125
_NaiveModel,-0.1199951171875
_NaiveModel,-1.6300048828125
_NaiveModel,5.4599609375
_NaiveModel,5.859985351562614
_NaiveModel,-1.9899902343749432
_NaiveModel,15.220001220703068
_NaiveModel,-2.660003662109375
_NaiveModel,-1.720001220703125
_NaiveModel,-54.179931640625
_NaiveModel,11.73004150390625
_NaiveModel,0.6199951171875
_NaiveModel,-5.660003662109375
_NaiveModel,-0.83001708984375
_NaiveModel,-0.3300018310546875
_NaiveModel,5.350006103515625
_NaiveModel,1.2899932861328125
_NaiveModel,-7.279998779296875
_NaiveModel,1.350006103515625
_NaiveModel,1.209991455078125
_NaiveModel,4.230010986328125
_NaiveModel,5.800018310546875
_NaiveModel,3.170013427734375
_NaiveModel,-5.200012207031193
_NaiveModel,1.04998779296875
_NaiveModel,-0.7899932861328267
_NaiveModel,2.3300018310546875
_NaiveModel,24.519989013671875
_NaiveModel,9.240020751953125
_NaiveModel,-36.079986572265625
_NaiveModel,22.43994140625
_NaiveModel,-1.44000244140625
_NaiveModel,-1.8600158691405682
_NaiveModel,-5.66998291015625
_NaiveModel,2.2799682617186363
_NaiveModel,-3.3099975585937216
_NaiveModel,-22.470001220703125
_NaiveModel,-0.529998779296875
_NaiveModel,-0.94000244140625
_NaiveModel,6.1300048828125
_NaiveModel,-8.6300048828125
_NaiveModel,4.25
_NaiveModel,-2.20001220703125
_NaiveModel,-17.67999267578125
_NaiveModel,-0.410003662109375
_NaiveModel,-13.6199951171875
_NaiveModel,1.0100021362304688
_NaiveModel,-5.7100067138671875
_NaiveModel,-2.309997558593736
_NaiveModel,-0.529998779296875
_NaiveModel,-0.7999954223632812
_NaiveModel,-2.3599853515625
_NaiveModel,-0.94000244140625
_NaiveModel,7.07000732421875
_NaiveModel,0.139984130859375
_NaiveModel,-0.09999847412110796
_NaiveModel,1.529998779296875
_NaiveModel,4.760009765625
_NaiveModel,-55.83001708984375
_NaiveModel,-8.850006103515597
_NaiveModel,-100.75
_NaiveModel,-17.519989013671818
_NaiveModel,-0.5199890136719318
_NaiveModel,-26.42999267578125
_NaiveModel,19.86004638671875
_NaiveModel,7.6699981689453125
_NaiveModel,3.04998779296875
_NaiveModel,9.709991455078125
_NaiveModel,-6.1400146484375
_NaiveModel,55.050048828125
_NaiveModel,-4.90997314453125
_NaiveModel,-14.02996826171875
_NaiveModel,3.079986572265625
_NaiveModel,46.5799560546875
_NaiveModel,0.57000732421875
_NaiveModel,-60.55999755859375
_NaiveModel,0.529998779296875
_NaiveModel,-5.029998779296818
_NaiveModel,-9.819999694824247
_NaiveModel,2.1399993896484375
_NaiveModel,0.739997863769517
_NaiveModel,-10.529998779296875
_NaiveModel,-28.639984130859375
_NaiveModel,-0.8999938964843182
_NaiveModel,2.46002197265625
_NaiveModel,3.1200027465820312
_NaiveModel,-0.220001220703125
_NaiveModel,1.889984130859375
_NaiveModel,25.05999755859375
_NaiveModel,4.2100067138671875
_NaiveModel,32.260009765625
_NaiveModel,10.589996337890568
_NaiveModel,3.209991455078125
_NaiveModel,58.13995361328125
