ticker,model,pred_inc,MAPE
AAPL,_NaiveModel,0.0,0.01344262295081967
AMD,_NaiveModel,-3.5440219019053154e-07,0.03494590163934426
AMZN,_NaiveModel,-1.973110606614492e-18,0.015170491803278688
ASML,_NaiveModel,-0.00036707848490000325,0.024272131147540982
AVGO,_NaiveModel,0.0,0.018859016393442625
BRK-B,_NaiveModel,4.230945955548033e-05,0.006288524590163934
CAT,_NaiveModel,-0.00033609567189036226,0.02019672131147541
COST,_NaiveModel,0.0003483923359534853,0.010163934426229508
CRM,_NaiveModel,-6.64657072107157e-18,0.027165573770491804
GOOGL,_NaiveModel,0.0,0.014878688524590164
JNJ,_NaiveModel,0.00014002120810040027,0.01090327868852459
JPM,_NaiveModel,0.00015735307060109016,0.008008196721311475
LLY,_NaiveModel,-2.076870157557213e-05,0.015380327868852458
LMT,_NaiveModel,-5.909852171618197e-05,0.015229508196721312
MA,_NaiveModel,0.000388569477691323,0.01062950819672131
MCD,_NaiveModel,0.0003114037043016733,0.00990327868852459
META,_NaiveModel,0.0,0.021636065573770492
MRK,_NaiveModel,-0.0001304533066479049,0.014109836065573771
MSFT,_NaiveModel,0.0,0.017211475409836065
NEE,_NaiveModel,-0.00032013167761747377,0.008583606557377048
NVDA,_NaiveModel,5.528487933944058e-19,0.01920983606557377
ORCL,_NaiveModel,0.0,0.030724590163934428
PG,_NaiveModel,0.00012237652017460494,0.008960655737704918
PLTR,_NaiveModel,0.0,0.028273770491803275
TSLA,_NaiveModel,0.0,0.02498688524590164
TSM,_NaiveModel,0.0,0.020939344262295084
UNH,_NaiveModel,-8.714297010864591e-05,0.011508196721311474
V,_NaiveModel,8.376789339095574e-05,0.010218032786885245
WMT,_NaiveModel,0.0,0.013236065573770491
XOM,_NaiveModel,2.829391127245574e-05,0.013544262295081967
