Predicted,model,MAE
2026-01-16,Top3Ensamble,0.8138299999999999
2026-01-16,lgbm,1.9639
2026-01-19,Top3Ensamble,0.66905
2026-01-19,arima,0.23120000000000002
2026-01-19,lgbm,0.8170999999999999
2026-01-19,rf,0.7377
2026-01-19,xgb,0.3041
2026-01-20,rf,0.6854250000000001
2026-01-20,lgbm,1.0005333333333333
2026-01-20,xgb,0.2237
2026-01-20,Top3Ensamble,0.7537
2026-01-20,arima,0.26380000000000003
2026-01-21,Top3Ensamble,3.17532
2026-01-21,arima,1.8483
2026-01-21,lgbm,5.556933333333333
2026-01-21,linreg,0.8874
2026-01-21,rf,3.01609
2026-01-21,xgb,0.7382999999999998
2026-01-22,rf,2.0979
2026-01-22,Top3Ensamble,1.74572
2026-01-22,arima,2.3404499999999997
2026-01-22,lgbm,2.5371
2026-01-22,linreg,0.3958
2026-01-22,xgb,0.2528666666666667
2026-01-23,xgb,0.3549
2026-01-23,linreg,0.5451
2026-01-23,rf,1.20969
2026-01-23,arima,1.5961
2026-01-23,Top3Ensamble,1.2797399999999999
2026-01-23,lgbm,2.715666666666667
2026-01-26,Top3Ensamble,1.87283
2026-01-26,arima,1.84145
2026-01-26,lgbm,3.2908833333333334
2026-01-26,linreg,0.5511
2026-01-26,rf,1.8889799999999997
2026-01-26,xgb,0.21863333333333335
2026-01-27,xgb,0.6480333333333332
2026-01-27,rf,2.64676
2026-01-27,linreg,0.2481
2026-01-27,arima,2.96045
2026-01-27,Top3Ensamble,2.74888
2026-01-27,lgbm,4.9923166666666665
2026-01-28,Top3Ensamble,3.5323699999999993
2026-01-28,arima,4.90615
2026-01-28,lgbm,6.093433333333333
2026-01-28,linreg,0.3907
2026-01-28,rf,3.4926900000000005
2026-01-28,xgb,0.5465333333333333
2026-01-29,xgb,0.2957
2026-01-29,rf,1.5741999999999998
2026-01-29,linreg,0.5638
2026-01-29,arima,1.2136
2026-01-29,Top3Ensamble,1.88613
2026-01-29,lgbm,3.5782666666666665
2026-01-30,Top3Ensamble,6.95087
2026-01-30,arima,13.09985
2026-01-30,lgbm,11.160766666666667
2026-01-30,linreg,0.338
2026-01-30,rf,6.81497
2026-01-30,xgb,0.5664
2026-02-03,lgbm,14.548699999999998
2026-02-03,xgb,0.24830000000000002
2026-02-03,rf,6.667383333333333
2026-02-03,arima,13.4291
2026-02-03,Top3Ensamble,7.029516666666667
2026-02-03,linreg,0.5425
2026-02-04,rf,2.28919
2026-02-04,Top3Ensamble,2.68813
2026-02-04,arima,0.90735
2026-02-04,lgbm,4.690133333333334
2026-02-04,linreg,0.4917
2026-02-04,xgb,0.31083333333333335
2026-02-05,xgb,0.3456333333333334
2026-02-05,linreg,1.1375
2026-02-05,rf,2.5339
2026-02-05,arima,3.5092000000000003
2026-02-05,lgbm,7.205983333333333
2026-02-05,Top3Ensamble,3.6538000000000004
2026-02-06,xgb,0.6218333333333333
2026-02-06,rf,6.2480400000000005
2026-02-06,linreg,0.4007
2026-02-06,Top3Ensamble,5.85177
2026-02-06,arima,4.2073
2026-02-06,lgbm,9.1411
2026-02-09,Top3Ensamble,2.4991700000000003
2026-02-09,arima,3.1433
2026-02-09,lgbm,3.247633333333333
2026-02-09,linreg,0.4871
2026-02-09,rf,3.40537
2026-02-09,xgb,0.6267999999999999
2026-02-10,Top3Ensamble,1.18042
2026-02-10,arima,1.8895499999999998
2026-02-10,lgbm,2.2422166666666667
2026-02-10,linreg,0.7529
2026-02-10,rf,1.7413900000000002
2026-02-10,xgb,0.5707
2026-02-11,xgb,0.6160333333333333
2026-02-11,linreg,0.1441
2026-02-11,rf,2.25385
2026-02-11,arima,1.40515
2026-02-11,lgbm,3.0493
2026-02-11,Top3Ensamble,1.9245
2026-02-12,xgb,0.6003
2026-02-12,rf,4.16668
2026-02-12,linreg,0.8148
2026-02-12,lgbm,6.660783333333334
2026-02-12,arima,4.5192
2026-02-12,Top3Ensamble,4.31246
2026-02-13,xgb,0.43850000000000006
2026-02-13,linreg,0.5786
2026-02-13,rf,3.49393
2026-02-13,arima,3.1673
2026-02-13,Top3Ensamble,2.7913799999999998
2026-02-13,lgbm,3.77265
2026-02-16,Top3Ensamble,1.190125
2026-02-16,arima,0.2782
2026-02-16,rf,2.5805249999999997
2026-02-16,xgb,0.2969
2026-02-16,lgbm,0.8182999999999999
2026-02-17,Top3Ensamble,0.9871
2026-02-17,arima,0.6417999999999999
2026-02-17,lgbm,1.3238666666666665
2026-02-17,rf,0.9594499999999999
2026-02-17,xgb,0.2319
2026-02-18,linreg,0.0642
2026-02-18,xgb,0.21643333333333337
2026-02-18,rf,3.5842199999999997
2026-02-18,lgbm,3.186833333333333
2026-02-18,Top3Ensamble,2.69163
2026-02-18,arima,3.02865
2026-02-19,Top3Ensamble,1.6017199999999998
2026-02-19,arima,0.31865
2026-02-19,lgbm,1.9553166666666668
2026-02-19,linreg,0.2441
2026-02-19,rf,2.55522
2026-02-19,xgb,0.14959999999999998
2026-02-20,xgb,0.6651333333333332
2026-02-20,lgbm,4.13395
2026-02-20,rf,2.6078900000000003
2026-02-20,Top3Ensamble,2.66336
2026-02-20,arima,2.3848
2026-02-20,linreg,0.2507
2026-02-23,Top3Ensamble,3.08252
2026-02-23,arima,3.3886
2026-02-23,lgbm,5.3107
2026-02-23,linreg,0.7122
2026-02-23,rf,2.91294
2026-02-23,xgb,0.5043000000000001
2026-02-24,linreg,0.0495
2026-02-24,xgb,0.5292
2026-02-24,rf,1.95503
2026-02-24,lgbm,2.9744166666666665
2026-02-24,Top3Ensamble,2.04969
2026-02-24,arima,2.04105
2026-02-25,Top3Ensamble,1.83829
2026-02-25,arima,0.9324
2026-02-25,lgbm,2.6001666666666665
2026-02-25,linreg,0.2715
2026-02-25,rf,1.9603300000000001
2026-02-25,xgb,0.48469999999999996
2026-02-26,xgb,0.1952
2026-02-26,rf,2.7735
2026-02-26,linreg,0.5233
2026-02-26,lgbm,2.544383333333333
2026-02-26,Top3Ensamble,2.06081
2026-02-26,arima,1.1085999999999998
2026-02-27,Top3Ensamble,1.53021
2026-02-27,arima,1.7986
2026-02-27,lgbm,1.8785833333333333
2026-02-27,linreg,0.6686
2026-02-27,rf,2.36998
2026-02-27,xgb,0.19803333333333337
2026-03-02,xgb,0.6423
2026-03-02,linreg,0.5517
2026-03-02,rf,1.6589299999999998
2026-03-02,arima,1.6426
2026-03-02,Top3Ensamble,1.72366
2026-03-02,lgbm,2.6719500000000003
2026-03-03,Top3Ensamble,4.13564
2026-03-03,arima,6.0202
2026-03-03,lgbm,6.06065
2026-03-03,linreg,0.2828
2026-03-03,rf,4.18765
2026-03-03,xgb,1.3507666666666667
2026-03-04,xgb,0.5100666666666667
2026-03-04,rf,4.72742
2026-03-04,linreg,0.1282
2026-03-04,lgbm,4.573683333333333
2026-03-04,Top3Ensamble,3.5815799999999998
2026-03-04,arima,1.2648
2026-03-06,Top3Ensamble,8.015346666666666
2026-03-06,arima,8.402285714285714
2026-03-06,lgbm,6.2717217391304345
2026-03-06,linreg,1.4775
2026-03-06,rf,11.240111764705881
2026-03-06,xgb,9.679423076923076
2026-03-23,xgb,6.28812
2026-03-23,linreg,10.143043333333333
2026-03-23,rf,6.454546666666666
2026-03-23,arima,6.14398
2026-03-23,Top3Ensamble,5.706
2026-03-23,lgbm,5.8836
2026-03-24,Top3Ensamble,5.800573333333333
2026-03-24,arima,5.259933333333334
2026-03-24,lgbm,6.339823333333333
2026-03-24,linreg,12.956556666666668
2026-03-24,rf,6.15929
2026-03-24,xgb,6.681626666666667
2026-03-25,xgb,5.727346666666667
2026-03-25,linreg,12.53708
2026-03-25,rf,4.397616666666666
2026-03-25,arima,3.314786666666667
2026-03-25,Top3Ensamble,4.237053333333333
2026-03-25,lgbm,5.012600000000001
2026-03-26,Top3Ensamble,10.09064
2026-03-26,arima,9.526393333333335
2026-03-26,lgbm,10.387363333333333
2026-03-26,linreg,17.925693333333335
2026-03-26,rf,10.228746666666666
2026-03-26,xgb,12.313893333333333
2026-03-27,rf,8.372826666666667
2026-03-27,Top3Ensamble,8.32002
2026-03-27,arima,7.616706666666667
2026-03-27,lgbm,8.72449
2026-03-27,linreg,17.695656666666665
2026-03-27,xgb,11.431193333333333
