ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,294.3800048828125,308.6300048828125,2026-07-02 00:00:00,0.0,14.25,0.0,0.04840682031265226,False,2026-07-02,False,False,14.25,203.0625,14.25,0.0462,,1.0
AMD,_NaiveModel,540.8800048828125,517.8200073242188,2026-07-02 00:00:00,0.0,-23.05999755859375,0.0,-0.04263422080760768,False,2026-07-02,False,False,23.06,531.7635,23.06,0.0445,,1.0
AMZN,_NaiveModel,241.6999969482422,242.6699981689453,2026-07-02 00:00:00,0.0,0.970001220703125,0.0,0.004013244654325923,False,2026-07-02,False,False,0.97,0.9409,0.97,0.004,,1.0
ASML,_NaiveModel,1843.0400390625,1769.3199462890625,2026-07-02 00:00:00,0.0,-73.7200927734375,0.0,-0.0399991813584998,False,2026-07-02,False,False,73.7201,5434.6521,73.7201,0.0417,,1.0
AVGO,_NaiveModel,369.3399963378906,360.4500122070313,2026-07-02 00:00:00,0.0,-8.889984130859318,0.0,-0.024069919908501644,False,2026-07-02,False,False,8.89,79.0318,8.89,0.0247,,1.0
BRK-B,_NaiveModel,499.739990234375,507.7799987792969,2026-07-02 00:00:00,0.0,8.040008544921875,0.0,0.016088383363418966,False,2026-07-02,False,False,8.04,64.6417,8.04,0.0158,,1.0
CAT,_NaiveModel,991.4099731445312,963.530029296875,2026-07-02 00:00:00,0.0,-27.87994384765625,0.0,-0.028121508359682208,False,2026-07-02,False,False,27.8799,777.2913,27.8799,0.0289,,1.0
COST,_NaiveModel,924.6699829101562,951.6699829101562,2026-07-02 00:00:00,0.0,27.0,0.0,0.029199606885717846,False,2026-07-02,False,False,27.0,729.0,27.0,0.0284,,1.0
CRM,_NaiveModel,163.22999572753906,166.11000061035156,2026-07-02 00:00:00,0.0,2.8800048828125,0.0,0.01764384585061044,False,2026-07-02,False,False,2.88,8.2944,2.88,0.0173,,1.0
GOOGL,_NaiveModel,361.2099914550781,359.9100036621094,2026-07-02 00:00:00,0.0,-1.29998779296875,0.0,-0.0035989807140493317,False,2026-07-02,False,False,1.3,1.69,1.3,0.0036,,1.0
JNJ,_NaiveModel,253.97999572753903,263.0400085449219,2026-07-02 00:00:00,0.0,9.060012817382841,0.0,0.03567215123155648,False,2026-07-02,False,False,9.06,82.0838,9.06,0.0344,,1.0
JPM,_NaiveModel,334.07000732421875,334.4700012207031,2026-07-02 00:00:00,0.0,0.399993896484375,0.0,0.0011973355515755007,False,2026-07-02,False,False,0.4,0.16,0.4,0.0012,,1.0
LLY,_NaiveModel,1191.739990234375,1213.9100341796875,2026-07-02 00:00:00,0.0,22.1700439453125,0.0,0.018603088028414993,False,2026-07-02,False,False,22.17,491.5108,22.17,0.0183,,1.0
LMT,_NaiveModel,521.8200073242188,545.9099731445312,2026-07-02 00:00:00,0.0,24.0899658203125,0.0,0.046165278222735626,False,2026-07-02,False,False,24.09,580.3265,24.09,0.0441,,1.0
