ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,lgbm,64.28217631934058,64.12999725341797,-0.9978224599562964,-1.1500015258789062,-0.015285270812118171,-0.017616445272416605,True,2026-02-20,0.1522,0.0232,0.1522,0.0024,,1.0
BIMBOA.MX,rf,64.80784509324579,64.12999725341797,-0.47215368605108665,-1.1500015258789062,-0.007232746551472472,-0.017616445272416605,True,2026-02-20,0.6778,0.4595,0.6778,0.0106,,1.0
BIMBOA.MX,Top3Ensamble,64.54501070629318,64.12999725341797,-0.7349880730036915,-1.1500015258789062,-0.01125900868179532,-0.017616445272416605,True,2026-02-20,0.415,0.1722,0.415,0.0065,,1.0
CEMEXCPO.MX,arima,21.89558424813436,22.040000915527344,0.07558455331014002,0.220001220703125,0.0034640034082158554,0.010082549210819195,True,2026-02-20,0.1444,0.0209,0.1444,0.0066,,1.0
CEMEXCPO.MX,xgb,21.890186531469222,22.040000915527344,0.07018683664500358,0.220001220703125,0.0032166286721650207,0.010082549210819195,True,2026-02-20,0.1498,0.0224,0.1498,0.0068,,1.0
CEMEXCPO.MX,rf,21.708510767790223,22.040000915527344,-0.11148892703399582,0.220001220703125,-0.005109483436905885,0.010082549210819195,False,2026-02-20,0.3315,0.1099,0.3315,0.015,,1.0
CEMEXCPO.MX,Top3Ensamble,21.831427182464605,22.040000915527344,0.011427487640386147,0.220001220703125,0.0005237162144918263,0.010082549210819195,True,2026-02-20,0.2086,0.0435,0.2086,0.0095,,1.0
EEM,xgb,60.53113180398941,62.34000015258789,-0.5088691115379333,1.2999992370605469,-0.008336649801859478,0.021297497011174737,False,2026-02-20,1.8089,3.272,1.8089,0.029,,1.0
EEM,rf,61.724968355776845,62.34000015258789,0.6849674402495012,1.2999992370605469,0.011221615825291695,0.021297497011174737,True,2026-02-20,0.615,0.3783,0.615,0.0099,,1.0
EEM,Top3Ensamble,61.12805007988312,62.34000015258789,0.08804916435577326,1.2999992370605469,0.001442483011715934,0.021297497011174737,True,2026-02-20,1.212,1.4688,1.212,0.0194,,1.0
