ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,xgb,57.46261069178581,58.61000061035156,-0.43739083409309387,0.7099990844726562,-0.00755424564017668,0.012262505453567493,False,2025-08-21,1.1474,1.3165,1.1474,0.0196,,1.0
BIMBOA.MX,lgbm,57.1510250875268,58.61000061035156,-0.7489764383521091,0.7099990844726562,-0.012935689440653082,0.012262505453567493,False,2025-08-21,1.459,2.1286,1.459,0.0249,,1.0
BIMBOA.MX,arima,57.85641870722269,58.61000061035156,-0.04358281865621905,0.7099990844726562,-0.0007527256909784247,0.012262505453567493,False,2025-08-21,0.7536,0.5679,0.7536,0.0129,,1.0
BIMBOA.MX,Top3Ensamble,57.49001816217844,58.61000061035156,-0.4099833637004693,0.7099990844726562,-0.0070808869239359805,0.012262505453567493,False,2025-08-21,1.12,1.2544,1.12,0.0191,,1.0
CEMEXCPO.MX,arima,16.195100089196092,16.3799991607666,-0.004900673743360784,0.17999839782714844,-0.00030251071065206343,0.011111011688278967,False,2025-08-21,0.1849,0.0342,0.1849,0.0113,,1.0
CEMEXCPO.MX,lgbm,16.00214053742005,16.3799991607666,-0.19786022551940263,0.17999839782714844,-0.012213593592664829,0.011111011688278967,False,2025-08-21,0.3779,0.1428,0.3779,0.0231,,1.0
CEMEXCPO.MX,linreg,15.300633363286169,16.3799991607666,-0.8993673996532845,0.17999839782714844,-0.05551650353688603,0.011111011688278967,False,2025-08-21,1.0794,1.165,1.0794,0.0659,,1.0
CEMEXCPO.MX,Top3Ensamble,15.83262466330077,16.3799991607666,-0.36737609963868323,0.17999839782714844,-0.022677535946734342,0.011111011688278967,False,2025-08-21,0.5474,0.2996,0.5474,0.0334,,1.0
EEM,rf,49.64622106214827,49.63999938964844,-0.10377893785172887,-0.1100006103515625,-0.0020860088010397765,-0.002211067544755025,True,2025-08-21,0.0062,0.0,0.0062,0.0001,,1.0
EEM,lgbm,49.47921046588269,49.63999938964844,-0.27078953411731277,-0.1100006103515625,-0.005443005710900759,-0.002211067544755025,True,2025-08-21,0.1608,0.0259,0.1608,0.0032,,1.0
