ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.8213,1.591,1.2613,0.0153,0.6332,0.6503,0.6667
BIMBOA.MX,arima,0.9782,1.9089,1.3816,0.0182,0.5599,0.5873,0.6667
BIMBOA.MX,lgbm,0.7817,1.4171,1.1904,0.0146,0.6733,0.6829,0.6667
BIMBOA.MX,xgb,0.8121,1.6761,1.2947,0.0151,0.6136,0.6302,0.6667
CEMEXCPO.MX,Top3Ensamble,0.35,0.1582,0.3977,0.0223,0.3544,0.5886,0.3333
CEMEXCPO.MX,arima,0.2663,0.106,0.3256,0.017,0.5672,0.6168,0.3333
CEMEXCPO.MX,lgbm,0.294,0.1196,0.3458,0.0187,0.5119,0.5794,0.3333
CEMEXCPO.MX,linreg,0.5335,0.3648,0.604,0.034,-0.4891,0.4509,0.3333
EEM,Top3Ensamble,0.2531,0.0949,0.3081,0.0051,0.5168,0.5567,0.3333
EEM,arima,0.2515,0.0873,0.2955,0.0051,0.5555,0.5573,0.3333
EEM,lgbm,0.2863,0.1347,0.367,0.0058,0.3142,0.5021,0.3333
EEM,rf,0.261,0.0973,0.312,0.0053,0.5045,0.5482,0.3333
GFNORTEO.MX,Top3Ensamble,2.0866,6.9821,2.6424,0.0125,-0.0945,0.0783,0.8333
GFNORTEO.MX,arima,2.0998,6.9374,2.6339,0.0126,-0.0875,-0.01,0.8333
GFNORTEO.MX,lgbm,2.1251,7.8362,2.7993,0.0127,-0.2284,0.1153,0.8333
GFNORTEO.MX,lstm,3.059,14.068,3.7507,0.0183,0.0448,0.3383,0.8333
GLD,Top3Ensamble,2.6974,11.1293,3.3361,0.0087,0.2737,0.317,0.8333
GLD,arima,2.5757,9.8771,3.1428,0.0084,0.3554,0.3909,0.8333
GLD,lgbm,2.8881,13.0963,3.6189,0.0094,0.1453,0.1973,0.8333
IEF,Top3Ensamble,0.2536,0.1045,0.3233,0.0027,0.4831,0.4968,0.3333
IEF,lgbm,0.258,0.1074,0.3278,0.0027,0.4687,0.5006,0.3333
IEF,rf,0.2375,0.1007,0.3174,0.0025,0.5018,0.5042,0.3333
IEF,xgb,0.2786,0.1171,0.3422,0.0029,0.421,0.4363,0.3333
QQQ,Top3Ensamble,4.0249,27.1247,5.2081,0.0071,-0.147,0.0859,0.8333
QQQ,arima,3.6922,23.8736,4.8861,0.0065,-0.0095,0.0011,0.8333
QQQ,lgbm,4.6488,36.2558,6.0213,0.0082,-0.5331,0.0198,0.8333
QQQ,xgb,4.3776,30.4722,5.5202,0.0077,-0.2885,0.0733,0.8333
SPY,Top3Ensamble,3.2291,23.2401,4.8208,0.0051,-0.4342,-0.3554,0.8333
SPY,arima,3.2257,19.9187,4.463,0.0051,-0.2292,-0.2252,0.8333
SPY,lgbm,3.3277,24.1784,4.9171,0.0053,-0.4921,-0.4338,0.8333
SPY,xgb,3.7497,28.011,5.2925,0.0059,-0.7287,-0.4406,0.8333
VNQ,Top3Ensamble,0.7797,0.8479,0.9208,0.0086,0.3858,0.397,0.3333
VNQ,lgbm,0.8026,0.9291,0.9639,0.0089,0.327,0.3272,0.3333
VNQ,rf,0.7725,0.8586,0.9266,0.0086,0.3781,0.4118,0.3333
VNQ,xgb,0.7874,0.8663,0.9308,0.0087,0.3725,0.3937,0.3333
WALMEX.MX,Top3Ensamble,0.828,1.4019,1.184,0.0149,0.3025,0.3316,0.6667
WALMEX.MX,arima,0.9843,1.7838,1.3356,0.0178,0.1125,0.2188,0.6667
WALMEX.MX,linreg,0.7884,1.4229,1.1928,0.0143,0.292,0.2926,0.6667
WALMEX.MX,rf,0.8853,1.5141,1.2305,0.016,0.2467,0.2728,0.6667
