ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,Top3Ensamble,high_vol_regime,high_vol_regime,8.9064,79.3238,8.9064,0.0351,,1.0,0.5,3,3,False
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,6.352,42.5292,6.5214,0.0236,-5.065,-4.3621,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.3633,3.1181,1.7658,0.0051,0.9325,0.9334,0.5,5,5,False
AAPL,arima,high_vol_regime,high_vol_regime,7.5512,57.0213,7.5512,0.0298,,1.0,0.5,3,3,False
AAPL,lgbm,high_vol_regime,high_vol_regime,9.4714,89.7078,9.4714,0.0373,,1.0,0.5,3,3,False
AAPL,linreg,high_vol_regime,high_vol_regime,15.6769,245.7641,15.6769,0.0618,,1.0,0.6667,3,3,False
AAPL,rf,high_vol_regime,high_vol_regime,9.6208,92.5607,9.6208,0.0379,,1.0,0.5,3,3,False
AAPL,xgb,high_vol_regime,high_vol_regime,7.6269,58.1696,7.6269,0.0301,,1.0,0.5,3,3,False
AMD,Top3Ensamble,high_vol_regime,high_vol_regime,5.7974,33.6103,5.7974,0.0285,,1.0,0.5,3,3,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,15.0022,341.3696,18.4762,0.0514,0.8345,0.9052,0.6667,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,2.056,5.5708,2.3603,0.0076,0.986,0.9871,0.5,5,5,False
AMD,arima,high_vol_regime,high_vol_regime,6.8064,46.3269,6.8064,0.0335,,1.0,0.5,3,3,False
AMD,lgbm,high_vol_regime,high_vol_regime,7.6545,58.5918,7.6545,0.0376,,1.0,0.5,3,3,False
AMD,linreg,high_vol_regime,high_vol_regime,2.245,5.04,2.245,0.011,,1.0,0.5,3,3,False
AMD,rf,high_vol_regime,high_vol_regime,2.9314,8.5932,2.9314,0.0144,,1.0,0.5,3,3,False
AMD,xgb,high_vol_regime,high_vol_regime,12.1178,146.8415,12.1178,0.0596,,1.0,0.6667,3,3,False
AMZN,Top3Ensamble,high_vol_regime,high_vol_regime,8.3694,70.0461,8.3694,0.0402,,1.0,0.5,3,3,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,7.055,53.7051,7.3284,0.0279,0.3845,0.9549,0.6667,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.425,2.6831,1.638,0.0059,0.9906,0.9906,0.5,5,5,False
AMZN,arima,high_vol_regime,high_vol_regime,7.6412,58.3887,7.6412,0.0367,,1.0,0.5,3,3,False
AMZN,lgbm,high_vol_regime,high_vol_regime,7.8004,60.8466,7.8004,0.0375,,1.0,0.5,3,3,False
AMZN,linreg,high_vol_regime,high_vol_regime,6.902,47.6375,6.902,0.0331,,1.0,0.5,3,3,False
AMZN,rf,high_vol_regime,high_vol_regime,7.8165,61.0982,7.8165,0.0375,,1.0,0.5,3,3,False
AMZN,xgb,high_vol_regime,high_vol_regime,9.4911,90.0811,9.4911,0.0456,,1.0,0.5,3,3,False
ASML,Top3Ensamble,high_vol_regime,high_vol_regime,62.9775,3966.1691,62.9775,0.0477,,1.0,0.5,3,3,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,38.048,1634.7181,40.4316,0.0267,0.4504,0.452,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,16.91,287.0495,16.9425,0.0115,0.6314,0.6317,0.8333,5,5,False
ASML,arima,high_vol_regime,high_vol_regime,65.2244,4254.2214,65.2244,0.0494,,1.0,0.5,3,3,False
ASML,lgbm,high_vol_regime,high_vol_regime,57.5984,3317.5793,57.5984,0.0436,,1.0,0.5,3,3,False
ASML,linreg,high_vol_regime,high_vol_regime,17.8382,318.2013,17.8382,0.0135,,1.0,0.5,3,3,False
ASML,rf,high_vol_regime,high_vol_regime,56.1603,3153.9822,56.1603,0.0425,,1.0,0.5,3,3,False
ASML,xgb,high_vol_regime,high_vol_regime,67.5479,4562.7142,67.5479,0.0511,,1.0,0.6667,3,3,False
AVGO,Top3Ensamble,high_vol_regime,high_vol_regime,13.6593,186.5759,13.6593,0.0441,,1.0,0.5,3,3,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,11.46,163.7651,12.7971,0.0293,0.8482,0.9316,0.5,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,2.3529,6.827,2.6128,0.0058,0.9945,0.9945,0.5,5,5,False
AVGO,arima,high_vol_regime,high_vol_regime,15.6217,244.0362,15.6217,0.0505,,1.0,0.6667,3,3,False
AVGO,lgbm,high_vol_regime,high_vol_regime,13.003,169.0775,13.003,0.042,,1.0,0.5,3,3,False
AVGO,linreg,high_vol_regime,high_vol_regime,14.9867,224.6015,14.9867,0.0484,,1.0,0.5,3,3,False
AVGO,rf,high_vol_regime,high_vol_regime,8.9294,79.735,8.9294,0.0289,,1.0,0.5,3,3,False
AVGO,xgb,high_vol_regime,high_vol_regime,12.3532,152.6016,12.3532,0.0399,,1.0,0.5,3,3,False
BRK-B,Top3Ensamble,high_vol_regime,normal_vol_regime,2.5656,6.5823,2.5656,0.0054,,1.0,0.5,3,3,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.44,8.5111,2.9174,0.0052,0.5449,0.6003,0.8333,4,4,False
BRK-B,arima,high_vol_regime,normal_vol_regime,4.3984,19.3457,4.3984,0.0092,,1.0,0.5,3,3,False
BRK-B,lgbm,high_vol_regime,normal_vol_regime,2.0725,4.2951,2.0725,0.0043,,1.0,0.5,3,3,False
BRK-B,linreg,high_vol_regime,normal_vol_regime,1.7683,3.1269,1.7683,0.0037,,1.0,0.5,3,3,False
BRK-B,rf,high_vol_regime,normal_vol_regime,3.856,14.869,3.856,0.008,,1.0,0.5,3,3,False
BRK-B,xgb,high_vol_regime,normal_vol_regime,1.6904,2.8575,1.6904,0.0035,,1.0,0.5,3,3,False
CAT,Top3Ensamble,high_vol_regime,high_vol_regime,41.2748,1703.6109,41.2748,0.0583,,1.0,0.6667,3,3,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,21.48,481.6512,21.9466,0.0277,0.7389,0.7626,0.5,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,3.3711,15.5052,3.9377,0.0042,0.9495,0.9617,0.5,5,5,False
CAT,arima,high_vol_regime,high_vol_regime,39.9888,1599.108,39.9888,0.0564,,1.0,0.6667,3,3,False
CAT,lgbm,high_vol_regime,high_vol_regime,37.5233,1407.996,37.5233,0.053,,1.0,0.6667,3,3,False
CAT,linreg,high_vol_regime,high_vol_regime,28.2306,796.9644,28.2306,0.0398,,1.0,0.5,3,3,False
CAT,rf,high_vol_regime,high_vol_regime,46.3123,2144.8332,46.3123,0.0654,,1.0,0.6667,3,3,False
CAT,xgb,high_vol_regime,high_vol_regime,45.1267,2036.4224,45.1267,0.0637,,1.0,0.6667,3,3,False
COST,Top3Ensamble,high_vol_regime,normal_vol_regime,6.8934,47.5188,6.8934,0.0069,,1.0,0.5,3,3,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,19.08,421.749,20.5365,0.0191,-2.6071,-2.2291,0.8333,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,4.9589,37.5937,6.1314,0.005,0.7518,0.7775,0.5,5,5,False
COST,arima,high_vol_regime,normal_vol_regime,0.2689,0.0723,0.2689,0.0003,,1.0,0.0,3,0,False
COST,lgbm,high_vol_regime,normal_vol_regime,6.3866,40.7892,6.3866,0.0064,,1.0,0.5,3,3,False
COST,linreg,high_vol_regime,normal_vol_regime,50.6152,2561.8968,50.6152,0.0508,,1.0,0.6667,3,3,False
COST,rf,high_vol_regime,normal_vol_regime,2.666,7.1078,2.666,0.0027,,1.0,0.5,3,3,False
COST,xgb,high_vol_regime,normal_vol_regime,11.6275,135.1984,11.6275,0.0117,,1.0,0.5,3,3,False
CRM,Top3Ensamble,high_vol_regime,normal_vol_regime,1.8407,3.3883,1.8407,0.0099,,1.0,0.5,3,3,False
